""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH12Z.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

3.11,0.200,-0.03330,0.523,-0.001
3.12,0.300,-0.03330,0.524,-0.001
3.12,0.400,-0.03326,0.525,-0.001
3.14,0.500,-0.03326,0.527,-0.001
3.13,0.600,-0.03326,0.526,-0.001
3.12,0.700,-0.03322,0.525,-0.001
3.11,0.800,-0.03322,0.524,-0.001
3.12,0.900,-0.03322,0.525,-0.001
3.13,1.000,-0.03317,0.527,-0.001
3.12,1.100,-0.03317,0.524,-0.001
3.12,1.200,-0.03313,0.525,-0.001
3.14,1.300,-0.03313,0.528,-0.001
3.15,1.400,-0.03309,0.529,-0.001
3.14,1.500,-0.03309,0.527,-0.001
3.14,1.600,-0.03305,0.529,-0.001
3.15,1.700,-0.03305,0.529,-0.001
3.17,1.800,-0.03301,0.533,-0.001
3.18,1.900,-0.03301,0.534,-0.001
3.20,2.000,-0.03297,0.538,-0.001
3.26,2.100,-0.03284,0.548,-0.001
3.39,2.200,-0.03259,0.570,-0.001
3.54,2.300,-0.03238,0.594,-0.001
3.58,2.400,-0.03218,0.602,-0.001
3.64,2.500,-0.03197,0.611,-0.001
3.69,2.600,-0.03180,0.621,-0.001
3.74,2.700,-0.03164,0.628,-0.001
3.78,2.800,-0.03147,0.636,-0.001
3.84,2.900,-0.03126,0.646,-0.001
3.85,3.000,-0.03110,0.647,-0.001
3.90,3.100,-0.03097,0.656,-0.001
3.92,3.200,-0.03081,0.659,-0.001
3.96,3.300,-0.03064,0.666,-0.001
3.99,3.400,-0.03047,0.671,-0.001
4.04,3.500,-0.03035,0.679,-0.001
4.05,3.600,-0.03022,0.680,-0.001
4.06,3.700,-0.03006,0.683,-0.001
4.09,3.800,-0.02993,0.688,-0.001
4.12,3.900,-0.02977,0.693,-0.001
4.15,4.000,-0.02964,0.698,-0.001
4.20,4.100,-0.02952,0.705,-0.001
4.21,4.200,-0.02939,0.708,-0.001
4.23,4.300,-0.02927,0.712,-0.001
4.27,4.400,-0.02910,0.718,-0.001
4.29,4.500,-0.02898,0.721,-0.001
4.31,4.600,-0.02885,0.725,-0.001
4.34,4.700,-0.02873,0.730,-0.001
4.39,4.800,-0.02856,0.738,-0.001
4.42,4.900,-0.02844,0.743,-0.001
4.44,5.000,-0.02827,0.747,-0.001
4.48,5.100,-0.02815,0.753,-0.001
4.50,5.200,-0.02798,0.757,-0.001
4.54,5.300,-0.02786,0.764,-0.001
4.56,5.400,-0.02769,0.767,-0.001
4.58,5.500,-0.02756,0.771,-0.001
4.62,5.600,-0.02740,0.777,-0.001
4.66,5.700,-0.02723,0.783,-0.001
4.67,5.800,-0.02707,0.785,-0.001
4.70,5.900,-0.02694,0.791,-0.001
4.73,6.000,-0.02677,0.796,-0.001
4.76,6.100,-0.02661,0.801,-0.001
4.79,6.200,-0.02648,0.806,-0.001
4.82,6.300,-0.02632,0.810,-0.001
4.85,6.400,-0.02615,0.816,-0.001
4.90,6.500,-0.02599,0.824,-0.001
4.94,6.600,-0.02582,0.830,-0.001
4.97,6.700,-0.02565,0.835,-0.001
5.01,6.800,-0.02549,0.842,-0.001
5.05,6.900,-0.02532,0.849,0.000
5.07,7.000,-0.02515,0.853,0.000
5.12,7.100,-0.02499,0.860,0.000
5.17,7.200,-0.02478,0.869,0.000
