""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH17X.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

10.43,0.200,-0.04840,0.974,-0.001
10.42,0.300,-0.04840,0.973,-0.001
10.42,0.400,-0.04840,0.973,-0.001
10.43,0.500,-0.04840,0.974,-0.001
10.43,0.600,-0.04836,0.974,-0.001
10.46,0.700,-0.04836,0.977,-0.001
10.45,0.800,-0.04836,0.976,-0.001
10.44,0.900,-0.04832,0.975,-0.001
10.41,1.000,-0.04832,0.972,-0.001
10.45,1.100,-0.04828,0.976,-0.001
10.44,1.200,-0.04828,0.975,-0.001
10.43,1.300,-0.04828,0.974,-0.001
10.42,1.400,-0.04824,0.973,-0.001
10.44,1.500,-0.04824,0.975,-0.001
10.44,1.600,-0.04819,0.975,-0.001
10.43,1.700,-0.04819,0.975,-0.001
10.46,1.800,-0.04815,0.977,-0.001
10.47,1.900,-0.04815,0.978,-0.001
10.51,2.000,-0.04811,0.981,-0.001
10.45,2.100,-0.04807,0.976,-0.001
10.51,2.200,-0.04799,0.981,-0.001
10.55,2.300,-0.04786,0.986,-0.001
10.68,2.400,-0.04765,0.997,-0.001
10.84,2.500,-0.04745,1.012,-0.001
10.99,2.600,-0.04724,1.026,-0.001
11.09,2.700,-0.04703,1.036,-0.001
11.17,2.800,-0.04686,1.043,-0.001
11.26,2.900,-0.04670,1.052,-0.001
11.34,3.000,-0.04653,1.059,-0.001
11.39,3.100,-0.04637,1.064,-0.001
11.46,3.200,-0.04624,1.070,-0.001
11.51,3.300,-0.04607,1.075,-0.001
11.57,3.400,-0.04595,1.080,-0.001
11.61,3.500,-0.04578,1.084,-0.001
11.64,3.600,-0.04566,1.087,-0.001
11.71,3.700,-0.04553,1.094,-0.001
11.76,3.800,-0.04537,1.098,-0.001
11.73,3.900,-0.04524,1.096,-0.001
11.78,4.000,-0.04512,1.100,-0.001
11.84,4.100,-0.04499,1.106,-0.001
11.86,4.200,-0.04483,1.108,-0.001
11.89,4.300,-0.04470,1.110,-0.001
11.96,4.400,-0.04458,1.117,-0.001
11.99,4.500,-0.04445,1.119,-0.001
12.02,4.600,-0.04433,1.122,-0.001
12.04,4.700,-0.04420,1.124,-0.001
12.09,4.800,-0.04408,1.129,-0.001
12.14,4.900,-0.04396,1.134,-0.001
12.18,5.000,-0.04383,1.138,-0.001
12.20,5.100,-0.04371,1.140,-0.001
12.21,5.200,-0.04354,1.141,-0.001
12.32,5.300,-0.04342,1.150,-0.001
12.36,5.400,-0.04329,1.154,-0.001
12.38,5.500,-0.04312,1.156,-0.001
12.41,5.600,-0.04300,1.159,-0.001
12.44,5.700,-0.04283,1.162,-0.001
12.52,5.800,-0.04271,1.169,-0.001
12.52,5.900,-0.04258,1.169,-0.001
12.55,6.000,-0.04242,1.172,-0.001
12.62,6.100,-0.04229,1.179,-0.001
12.65,6.200,-0.04213,1.182,-0.001
12.65,6.300,-0.04200,1.182,-0.001
12.71,6.400,-0.04184,1.187,-0.001
12.77,6.500,-0.04167,1.193,-0.001
12.84,6.600,-0.04155,1.199,-0.001
12.83,6.700,-0.04138,1.198,-0.001
12.88,6.800,-0.04125,1.203,-0.001
12.93,6.900,-0.04109,1.208,-0.001
12.97,7.000,-0.04092,1.211,-0.001
13.02,7.100,-0.04076,1.216,-0.001
13.06,7.200,-0.04059,1.220,-0.001
13.10,7.300,-0.04042,1.223,-0.001
13.16,7.400,-0.04022,1.229,-0.001
13.21,7.500,-0.04005,1.234,-0.001
13.25,7.600,-0.03984,1.237,-0.001
13.31,7.700,-0.03963,1.243,-0.001
13.38,7.800,-0.03943,1.249,-0.001
13.42,7.900,-0.03922,1.254,-0.001
13.50,8.000,-0.03901,1.261,-0.001
13.55,8.100,-0.03880,1.266,-0.001
13.60,8.200,-0.03855,1.270,-0.001
13.68,8.300,-0.03835,1.278,-0.001
13.72,8.400,-0.03814,1.281,-0.001
13.78,8.500,-0.03793,1.287,-0.001
13.82,8.600,-0.03776,1.291,-0.001
13.86,8.700,-0.03756,1.294,-0.001
13.89,8.800,-0.03739,1.298,-0.001
13.92,8.900,-0.03718,1.300,-0.001
13.98,9.000,-0.03702,1.306,-0.001
14.00,9.100,-0.03685,1.308,-0.001
14.05,9.200,-0.03668,1.312,-0.001
14.10,9.300,-0.03652,1.317,-0.001
14.13,9.400,-0.03639,1.320,-0.001
14.13,9.500,-0.03623,1.320,-0.001
14.15,9.600,-0.03610,1.321,-0.001
14.21,9.700,-0.03594,1.327,-0.001
14.22,9.800,-0.03581,1.328,-0.001
14.24,9.900,-0.03564,1.330,-0.001
14.29,10.000,-0.03552,1.335,-0.001
14.32,10.100,-0.03540,1.338,-0.001
14.31,10.200,-0.03527,1.337,-0.001
14.33,10.300,-0.03510,1.339,-0.001
14.36,10.400,-0.03498,1.341,-0.001
14.39,10.500,-0.03485,1.344,-0.001
14.45,10.600,-0.03473,1.349,-0.001
14.48,10.700,-0.03456,1.353,-0.001
14.53,10.800,-0.03444,1.357,-0.001
14.58,10.900,-0.03431,1.362,-0.001
14.61,11.000,-0.03415,1.365,-0.001
14.64,11.100,-0.03402,1.367,-0.001
14.70,11.200,-0.03386,1.373,-0.001
14.74,11.300,-0.03373,1.377,-0.001
14.79,11.400,-0.03357,1.382,-0.001
14.84,11.500,-0.03344,1.386,-0.001
14.86,11.600,-0.03328,1.388,-0.001
14.88,11.700,-0.03311,1.390,-0.001
14.91,11.800,-0.03298,1.393,-0.001
14.97,11.900,-0.03282,1.398,-0.001
15.01,12.000,-0.03265,1.402,-0.001
15.07,12.100,-0.03249,1.408,-0.001
15.10,12.200,-0.03236,1.410,-0.001
15.16,12.300,-0.03220,1.416,-0.001
15.18,12.400,-0.03203,1.418,-0.001
15.22,12.500,-0.03186,1.422,-0.001
15.27,12.600,-0.03170,1.426,-0.001
15.32,12.700,-0.03153,1.431,-0.001
15.37,12.800,-0.03136,1.436,-0.001
15.41,12.900,-0.03120,1.440,-0.001
15.47,13.000,-0.03103,1.445,-0.001
15.53,13.100,-0.03082,1.450,-0.001
15.57,13.200,-0.03066,1.454,-0.001
15.62,13.300,-0.03045,1.459,-0.001
15.70,13.400,-0.03024,1.466,-0.001
15.75,13.500,-0.03003,1.471,-0.001
15.79,13.600,-0.02983,1.475,-0.001
15.87,13.700,-0.02962,1.482,-0.001
15.95,13.800,-0.02941,1.489,-0.001
16.00,13.900,-0.02920,1.494,-0.001
16.06,14.000,-0.02895,1.500,-0.001
16.13,14.100,-0.02875,1.506,-0.001
16.18,14.200,-0.02858,1.511,-0.001
16.25,14.300,-0.02837,1.518,-0.001
16.31,14.400,-0.02816,1.524,-0.001
16.37,14.500,-0.02796,1.529,-0.001
16.43,14.600,-0.02779,1.535,-0.001
16.48,14.700,-0.02758,1.539,-0.001
16.54,14.800,-0.02742,1.545,-0.001
16.56,14.900,-0.02725,1.547,-0.001
16.60,15.000,-0.02708,1.550,-0.001
16.64,15.100,-0.02696,1.554,-0.001
16.68,15.200,-0.02679,1.558,-0.001
16.73,15.300,-0.02663,1.562,-0.001
16.77,15.400,-0.02650,1.566,-0.001
16.80,15.500,-0.02634,1.569,-0.001
16.84,15.600,-0.02621,1.573,-0.001
16.89,15.700,-0.02604,1.577,-0.001
16.93,15.800,-0.02592,1.581,-0.001
16.96,15.900,-0.02580,1.584,-0.001
17.00,16.000,-0.02567,1.588,-0.001
17.04,16.100,-0.02555,1.591,-0.001
