""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH17T.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

8.19,0.200,-0.00993,0.733,0.000
8.18,0.300,-0.00989,0.732,0.000
8.19,0.400,-0.00989,0.733,0.000
8.20,0.500,-0.00989,0.734,0.000
8.22,0.600,-0.00985,0.735,0.000
8.23,0.700,-0.00985,0.736,0.000
8.25,0.800,-0.00981,0.738,0.000
8.27,0.900,-0.00981,0.740,0.000
8.23,1.000,-0.00981,0.737,0.000
8.24,1.100,-0.00976,0.737,0.000
8.22,1.200,-0.00976,0.736,0.000
8.25,1.300,-0.00972,0.738,0.000
8.27,1.400,-0.00972,0.740,0.000
8.30,1.500,-0.00968,0.742,0.000
8.30,1.600,-0.00964,0.743,0.000
8.36,1.700,-0.00956,0.748,0.000
8.41,1.800,-0.00947,0.753,0.000
8.51,1.900,-0.00935,0.762,0.000
8.60,2.000,-0.00922,0.769,0.000
8.69,2.100,-0.00906,0.777,0.000
8.76,2.200,-0.00889,0.783,0.000
8.83,2.300,-0.00877,0.790,0.000
8.89,2.400,-0.00860,0.795,0.000
8.94,2.500,-0.00848,0.800,0.000
8.98,2.600,-0.00835,0.803,0.000
9.02,2.700,-0.00823,0.807,0.000
9.07,2.800,-0.00810,0.811,0.000
9.12,2.900,-0.00798,0.816,0.000
9.14,3.000,-0.00785,0.818,0.000
9.19,3.100,-0.00773,0.822,0.000
9.23,3.200,-0.00756,0.825,0.000
9.27,3.300,-0.00744,0.830,0.000
9.31,3.400,-0.00731,0.833,0.000
9.36,3.500,-0.00719,0.837,0.000
9.38,3.600,-0.00706,0.839,0.000
9.43,3.700,-0.00694,0.843,0.000
9.46,3.800,-0.00677,0.846,0.000
9.50,3.900,-0.00665,0.850,0.000
9.54,4.000,-0.00652,0.853,0.000
9.57,4.100,-0.00640,0.856,0.000
9.60,4.200,-0.00623,0.859,0.000
9.67,4.300,-0.00611,0.865,0.000
9.69,4.400,-0.00594,0.867,0.000
9.73,4.500,-0.00582,0.871,0.000
9.78,4.600,-0.00565,0.875,0.000
9.82,4.700,-0.00553,0.879,0.000
9.86,4.800,-0.00536,0.882,0.000
9.90,4.900,-0.00524,0.886,0.000
9.94,5.000,-0.00507,0.889,0.000
9.99,5.100,-0.00494,0.894,0.000
10.02,5.200,-0.00478,0.897,0.000
10.07,5.300,-0.00461,0.901,0.000
10.12,5.400,-0.00449,0.905,0.000
10.14,5.500,-0.00432,0.907,0.000
10.19,5.600,-0.00415,0.912,0.000
10.20,5.700,-0.00399,0.913,0.000
10.26,5.800,-0.00378,0.918,0.000
10.30,5.900,-0.00361,0.922,0.000
10.38,6.000,-0.00341,0.929,0.000
10.44,6.100,-0.00324,0.934,0.000
10.50,6.200,-0.00303,0.939,0.000
10.57,6.300,-0.00282,0.946,0.000
10.60,6.400,-0.00262,0.949,0.000
10.65,6.500,-0.00241,0.953,0.000
10.72,6.600,-0.00216,0.959,0.000
10.77,6.700,-0.00195,0.963,0.000
10.86,6.800,-0.00174,0.971,0.000
10.89,6.900,-0.00154,0.975,0.000
10.95,7.000,-0.00133,0.980,0.000
11.02,7.100,-0.00112,0.986,0.000
11.09,7.200,-0.00095,0.992,0.000
11.14,7.300,-0.00075,0.997,0.000
11.17,7.400,-0.00058,0.999,0.000
11.22,7.500,-0.00037,1.004,0.000
11.27,7.600,-0.00021,1.008,0.000
11.31,7.700,-0.00004,1.012,0.000
11.36,7.800,0.00008,1.016,0.000
11.38,7.900,0.00025,1.018,0.000
11.43,8.000,0.00042,1.022,0.000
11.47,8.100,0.00054,1.026,0.000
11.52,8.200,0.00071,1.031,0.000
11.56,8.300,0.00083,1.034,0.000
11.60,8.400,0.00096,1.038,0.000
11.68,8.500,0.00112,1.045,0.000
11.68,8.600,0.00125,1.045,0.000
11.72,8.700,0.00137,1.049,0.000
11.77,8.800,0.00150,1.053,0.000
11.80,8.900,0.00162,1.056,0.000
11.86,9.000,0.00179,1.061,0.000
11.88,9.100,0.00191,1.063,0.000
11.93,9.200,0.00204,1.067,0.000
11.97,9.300,0.00220,1.071,0.000
12.02,9.400,0.00233,1.076,0.000
12.06,9.500,0.00249,1.079,0.000
12.12,9.600,0.00262,1.084,0.000
12.17,9.700,0.00279,1.089,0.000
12.21,9.800,0.00295,1.092,0.000
12.24,9.900,0.00308,1.095,0.000
12.30,10.000,0.00324,1.101,0.000
12.33,10.100,0.00341,1.103,0.000
12.42,10.200,0.00353,1.111,0.000
12.45,10.300,0.00370,1.113,0.000
12.50,10.400,0.00387,1.118,0.000
12.55,10.500,0.00403,1.123,0.000
12.62,10.600,0.00416,1.129,0.000
12.65,10.700,0.00432,1.131,0.000
12.71,10.800,0.00449,1.137,0.000
12.74,10.900,0.00466,1.140,0.000
12.80,11.000,0.00482,1.145,0.000
12.85,11.100,0.00499,1.149,0.000
12.90,11.200,0.00515,1.154,0.000
12.95,11.300,0.00532,1.159,0.000
13.01,11.400,0.00549,1.164,0.000
13.08,11.500,0.00569,1.170,0.000
13.13,11.600,0.00586,1.175,0.000
13.20,11.700,0.00607,1.181,0.000
13.28,11.800,0.00628,1.188,0.000
13.36,11.900,0.00648,1.195,0.000
13.42,12.000,0.00673,1.201,0.000
13.50,12.100,0.00694,1.208,0.000
13.58,12.200,0.00715,1.215,0.000
13.65,12.300,0.00740,1.221,0.000
13.71,12.400,0.00761,1.227,0.000
13.79,12.500,0.00781,1.234,0.000
13.86,12.600,0.00802,1.240,0.000
13.93,12.700,0.00823,1.246,0.000
13.98,12.800,0.00844,1.251,0.000
14.04,12.900,0.00864,1.256,0.000
14.11,13.000,0.00885,1.262,0.000
14.16,13.100,0.00902,1.267,0.000
14.21,13.200,0.00918,1.271,0.000
14.27,13.300,0.00935,1.277,0.000
14.32,13.400,0.00952,1.281,0.000
14.37,13.500,0.00968,1.285,0.000
14.44,13.600,0.00981,1.291,0.000
14.48,13.700,0.00997,1.296,0.000
14.53,13.800,0.01014,1.300,0.000
14.58,13.900,0.01027,1.304,0.000
14.61,14.000,0.01043,1.307,0.000
