""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","WH17Y.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

7.69,0.200,-0.01767,0.822,0.000
7.69,0.300,-0.01767,0.822,0.000
7.69,0.400,-0.01767,0.822,0.000
7.69,0.500,-0.01767,0.822,0.000
7.69,0.600,-0.01763,0.822,0.000
7.69,0.700,-0.01763,0.822,0.000
7.69,0.800,-0.01763,0.822,0.000
7.68,0.900,-0.01763,0.821,0.000
7.68,1.000,-0.01763,0.821,0.000
7.70,1.100,-0.01759,0.824,0.000
7.69,1.200,-0.01759,0.822,0.000
7.69,1.300,-0.01759,0.822,0.000
7.70,1.400,-0.01755,0.824,0.000
7.71,1.500,-0.01755,0.824,0.000
7.70,1.600,-0.01755,0.823,0.000
7.69,1.700,-0.01751,0.822,0.000
7.70,1.800,-0.01751,0.823,0.000
7.70,1.900,-0.01746,0.824,0.000
7.73,2.000,-0.01742,0.827,0.000
7.79,2.100,-0.01734,0.833,0.000
7.87,2.200,-0.01717,0.842,0.000
7.97,2.300,-0.01701,0.852,0.000
8.06,2.400,-0.01688,0.862,0.000
8.10,2.500,-0.01676,0.866,0.000
8.14,2.600,-0.01659,0.870,0.000
8.19,2.700,-0.01647,0.876,0.000
8.24,2.800,-0.01630,0.881,0.000
8.30,2.900,-0.01618,0.887,0.000
8.32,3.000,-0.01601,0.890,0.000
8.39,3.100,-0.01589,0.897,0.000
8.43,3.200,-0.01572,0.901,0.000
8.47,3.300,-0.01559,0.906,0.000
8.52,3.400,-0.01543,0.911,0.000
8.57,3.500,-0.01526,0.916,0.000
8.60,3.600,-0.01510,0.919,0.000
8.68,3.700,-0.01493,0.928,0.000
8.71,3.800,-0.01476,0.931,0.000
8.76,3.900,-0.01460,0.936,0.000
8.79,4.000,-0.01443,0.939,0.000
8.85,4.100,-0.01422,0.946,0.000
8.92,4.200,-0.01402,0.954,0.000
8.97,4.300,-0.01385,0.959,0.000
9.02,4.400,-0.01364,0.964,0.000
9.08,4.500,-0.01343,0.971,0.000
9.11,4.600,-0.01323,0.975,0.000
9.19,4.700,-0.01306,0.982,0.000
9.23,4.800,-0.01285,0.987,0.000
9.25,4.900,-0.01264,0.989,0.000
9.30,5.000,-0.01248,0.995,0.000
9.40,5.100,-0.01227,1.005,0.000
9.44,5.200,-0.01210,1.009,0.000
9.48,5.300,-0.01190,1.014,0.000
9.54,5.400,-0.01173,1.020,0.000
9.60,5.500,-0.01156,1.026,0.000
9.64,5.600,-0.01140,1.031,0.000
9.67,5.700,-0.01123,1.034,0.000
9.71,5.800,-0.01106,1.039,0.000
9.78,5.900,-0.01094,1.045,0.000
9.79,6.000,-0.01077,1.047,0.000
9.85,6.100,-0.01065,1.053,0.000
9.88,6.200,-0.01048,1.057,0.000
9.94,6.300,-0.01036,1.063,0.000
9.97,6.400,-0.01019,1.066,0.000
10.02,6.500,-0.01007,1.071,0.000
10.05,6.600,-0.00994,1.074,0.000
10.11,6.700,-0.00978,1.081,0.000
10.11,6.800,-0.00965,1.081,0.000
10.17,6.900,-0.00953,1.088,0.000
10.20,7.000,-0.00940,1.091,0.000
10.24,7.100,-0.00924,1.095,0.000
10.27,7.200,-0.00911,1.099,0.000
10.32,7.300,-0.00899,1.103,0.000
10.37,7.400,-0.00886,1.109,0.000
10.41,7.500,-0.00870,1.113,0.000
10.45,7.600,-0.00857,1.117,0.000
10.50,7.700,-0.00841,1.122,0.000
10.53,7.800,-0.00828,1.126,0.000
10.59,7.900,-0.00811,1.132,0.000
10.62,8.000,-0.00799,1.135,0.000
10.68,8.100,-0.00782,1.142,0.000
10.72,8.200,-0.00766,1.147,0.000
10.76,8.300,-0.00753,1.150,0.000
10.79,8.400,-0.00737,1.154,0.000
10.84,8.500,-0.00724,1.159,0.000
10.87,8.600,-0.00708,1.162,0.000
10.92,8.700,-0.00691,1.167,0.000
10.98,8.800,-0.00678,1.174,0.000
11.01,8.900,-0.00662,1.177,0.000
11.06,9.000,-0.00645,1.183,0.000
11.10,9.100,-0.00629,1.187,0.000
11.14,9.200,-0.00612,1.191,0.000
11.19,9.300,-0.00595,1.197,0.000
11.24,9.400,-0.00579,1.202,0.000
11.29,9.500,-0.00562,1.207,0.000
11.32,9.600,-0.00541,1.210,0.000
11.44,9.700,-0.00525,1.223,0.000
11.46,9.800,-0.00504,1.226,0.000
11.52,9.900,-0.00483,1.232,0.000
11.58,10.000,-0.00462,1.238,0.000
11.65,10.100,-0.00442,1.246,0.000
11.70,10.200,-0.00417,1.251,0.000
11.78,10.300,-0.00396,1.260,0.000
11.84,10.400,-0.00375,1.266,0.000
11.91,10.500,-0.00354,1.274,0.000
11.98,10.600,-0.00334,1.281,0.000
12.04,10.700,-0.00313,1.287,0.000
12.12,10.800,-0.00288,1.296,0.000
12.15,10.900,-0.00271,1.299,0.000
12.21,11.000,-0.00250,1.306,0.000
12.27,11.100,-0.00230,1.311,0.000
12.34,11.200,-0.00213,1.319,0.000
12.37,11.300,-0.00196,1.322,0.000
12.41,11.400,-0.00180,1.327,0.000
12.46,11.500,-0.00163,1.332,0.000
12.50,11.600,-0.00147,1.337,0.000
12.55,11.700,-0.00134,1.342,0.000
12.61,11.800,-0.00117,1.348,0.000
12.64,11.900,-0.00105,1.351,0.000
12.67,12.000,-0.00088,1.354,0.000
12.73,12.100,-0.00076,1.361,0.000
12.78,12.200,-0.00063,1.366,0.000
12.80,12.300,-0.00047,1.369,0.000
12.84,12.400,-0.00034,1.372,0.000
12.86,12.500,-0.00022,1.376,0.000
12.91,12.600,-0.00009,1.381,0.000
12.97,12.700,0.00007,1.387,0.000
13.02,12.800,0.00020,1.392,0.000
13.05,12.900,0.00032,1.395,0.000
13.09,13.000,0.00049,1.400,0.000
13.15,13.100,0.00061,1.406,0.000
13.19,13.200,0.00078,1.411,0.000
13.23,13.300,0.00090,1.415,0.000
13.28,13.400,0.00107,1.420,0.000
13.33,13.500,0.00124,1.425,0.000
13.37,13.600,0.00136,1.430,0.000
13.43,13.700,0.00153,1.436,0.000
