 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
302,NTO-LC-800-4A-900-10H0003.tiff,0.019,5.905,5.646,5.905,5.646,0.507,0.926,0.178,100,5.875,5.731,72.897,0.144,1.172,0.853,0.921
303,NTO-LC-800-4A-900-10H0003.tiff,0.020,17.796,5.712,17.796,5.712,0.539,0.877,0.204,100,17.770,5.810,75.069,0.149,1.374,0.728,0.884
304,NTO-LC-800-4A-900-10H0003.tiff,0.021,24.480,5.697,24.480,5.697,0.559,0.858,0.200,100,24.433,5.613,121.608,0.162,1.184,0.844,0.895
305,NTO-LC-800-4A-900-10H0003.tiff,0.014,26.422,5.690,26.422,5.690,0.436,0.923,0.150,100,26.413,5.613,105.255,0.131,1.109,0.902,0.885
306,NTO-LC-800-4A-900-10H0003.tiff,0.097,22.524,5.809,22.524,5.809,1.163,0.898,0.382,100,22.439,5.980,59.036,0.349,1.026,0.975,0.943
307,NTO-LC-800-4A-900-10H0003.tiff,0.098,6.574,5.874,6.574,5.874,1.776,0.392,0.530,100,6.295,5.967,8.531,0.354,1.707,0.586,0.705
308,NTO-LC-800-4A-900-10H0003.tiff,0.107,8.175,5.876,8.175,5.876,1.203,0.927,0.407,100,8.000,5.980,33.179,0.352,1.135,0.881,0.954
309,NTO-LC-800-4A-900-10H0003.tiff,0.037,0.917,5.856,0.917,5.856,0.707,0.920,0.236,100,0.866,5.967,70.560,0.210,1.044,0.958,0.928
310,NTO-LC-800-4A-900-10H0003.tiff,0.008,3.685,5.804,3.685,5.804,0.343,0.846,0.142,100,3.646,5.744,123.690,0.092,1.605,0.623,0.885
311,NTO-LC-800-4A-900-10H0003.tiff,0.014,4.706,5.842,4.706,5.842,0.443,0.902,0.153,100,4.656,5.784,120.964,0.131,1.028,0.973,0.886
312,NTO-LC-800-4A-900-10H0003.tiff,0.005,25.031,5.830,25.031,5.830,0.264,0.836,0.100,100,25.010,5.784,113.199,0.066,1.547,0.646,0.857
313,NTO-LC-800-4A-900-10H0003.tiff,0.013,5.720,5.918,5.720,5.918,0.428,0.921,0.162,100,5.639,5.902,165.964,0.118,1.393,0.718,0.886
314,NTO-LC-800-4A-900-10H0003.tiff,0.035,7.818,5.983,7.818,5.983,0.689,0.915,0.242,100,7.803,5.862,102.529,0.197,1.204,0.831,0.931
315,NTO-LC-800-4A-900-10H0003.tiff,0.527,21.440,6.309,21.440,6.309,3.495,0.543,1.049,99.967,21.023,5.993,143.130,0.721,1.406,0.711,0.903
316,NTO-LC-800-4A-900-10H0003.tiff,0.022,13.452,5.969,13.452,5.969,0.559,0.885,0.215,100,13.390,6.059,52.431,0.156,1.414,0.707,0.918
317,NTO-LC-800-4A-900-10H0003.tiff,0.080,19.514,6.059,19.514,6.059,1.039,0.930,0.346,100,19.449,5.902,114.624,0.315,1.064,0.940,0.941
318,NTO-LC-800-4A-900-10H0003.tiff,0.033,26.367,6.040,26.367,6.040,0.678,0.907,0.229,100,26.269,6.098,30.964,0.197,1.131,0.884,0.921
319,NTO-LC-800-4A-900-10H0003.tiff,0.044,13.868,6.065,13.868,6.065,0.768,0.939,0.276,100,13.810,6.190,64.654,0.223,1.231,0.812,0.946
320,NTO-LC-800-4A-900-10H0003.tiff,0.036,24.468,6.065,24.468,6.065,0.718,0.888,0.255,100,24.459,5.941,101.889,0.197,1.230,0.813,0.918
321,NTO-LC-800-4A-900-10H0003.tiff,0.052,4.530,6.111,4.530,6.111,0.887,0.836,0.335,100,4.446,5.967,120.579,0.217,1.567,0.638,0.921
322,NTO-LC-800-4A-900-10H0003.tiff,0.008,5.054,6.061,5.054,6.061,0.327,0.947,0.124,100,5.049,6.125,71.565,0.092,1.286,0.778,0.895
323,NTO-LC-800-4A-900-10H0003.tiff,0.046,17.882,6.120,17.882,6.120,0.805,0.885,0.266,100,17.770,6.046,147.095,0.236,1.070,0.935,0.925
324,NTO-LC-800-4A-900-10H0003.tiff,0.009,12.789,6.108,12.789,6.108,0.358,0.926,0.135,100,12.761,6.046,119.055,0.092,1.376,0.727,0.940
325,NTO-LC-800-4A-900-10H0003.tiff,0.062,1.897,6.234,1.899,6.233,1.630,0.293,0.517,99.167,1.626,6.387,30.466,0.246,2.737,0.365,0.692
326,NTO-LC-800-4A-900-10H0003.tiff,0.024,2.305,6.157,2.305,6.157,0.581,0.910,0.207,100,2.256,6.243,55.305,0.176,1.191,0.839,0.910
327,NTO-LC-800-4A-900-10H0003.tiff,0.062,14.328,6.216,14.328,6.216,0.939,0.887,0.319,100,14.269,6.374,70.821,0.275,1.137,0.880,0.931
328,NTO-LC-800-4A-900-10H0003.tiff,0.001,7.445,6.122,7.445,6.122,0.138,0.686,0.066,100,7.423,6.098,143.130,0.033,2.519,0.397,0.706
329,NTO-LC-800-4A-900-10H0003.tiff,0.013,1.066,6.176,1.066,6.176,0.417,0.920,0.148,100,1.023,6.111,135.000,0.130,1.071,0.934,0.886
330,NTO-LC-800-4A-900-10H0003.tiff,0.001,7.510,6.169,7.510,6.169,0.119,1.000,0.056,100,7.489,6.151,135.000,0.039,1.229,0.814,0.941
331,NTO-LC-800-4A-900-10H0003.tiff,0.026,5.324,6.258,5.324,6.258,0.581,0.955,0.205,100,5.285,6.164,116.565,0.184,1.079,0.927,0.917
332,NTO-LC-800-4A-900-10H0003.tiff,0.030,24.985,6.288,24.985,6.288,0.652,0.885,0.242,100,24.970,6.164,102.529,0.170,1.431,0.699,0.918
333,NTO-LC-800-4A-900-10H0003.tiff,0.021,6.272,6.277,6.272,6.277,0.533,0.914,0.189,100,6.216,6.203,123.690,0.157,1.148,0.871,0.909
334,NTO-LC-800-4A-900-10H0003.tiff,0.026,16.496,6.327,16.496,6.327,0.792,0.530,0.283,100,16.433,6.203,111.801,0.164,2.040,0.490,0.798
335,NTO-LC-800-4A-900-10H0003.tiff,0.051,2.600,6.333,2.600,6.333,0.857,0.874,0.281,100,2.492,6.426,37.405,0.236,1.101,0.908,0.930
336,NTO-LC-800-4A-900-10H0003.tiff,0.030,13.289,6.343,13.289,6.343,0.652,0.890,0.217,100,13.193,6.295,154.983,0.197,1.042,0.960,0.911
337,NTO-LC-800-4A-900-10H0003.tiff,0.070,0.675,6.399,0.675,6.399,1.013,0.855,0.342,100,0.538,6.282,147.529,0.285,1.170,0.855,0.925
338,NTO-LC-800-4A-900-10H0003.tiff,0.027,16.873,6.344,16.873,6.344,0.615,0.892,0.205,100,16.787,6.400,39.806,0.184,1.093,0.915,0.918
339,NTO-LC-800-4A-900-10H0003.tiff,0.049,1.186,6.397,1.186,6.397,0.820,0.906,0.281,100,1.102,6.282,127.405,0.249,1.081,0.925,0.935
340,NTO-LC-800-4A-900-10H0003.tiff,0.013,8.504,6.343,8.504,6.343,0.425,0.911,0.158,100,8.472,6.413,65.556,0.118,1.313,0.762,0.910
