"avevoronoix","voronoicount","Labelfineshort"
0.956226605548818,33809,"1000-5-20Ni-B0008.tiff"
0.886088620289783,40099,"1000-5-20Ni-B0010.tiff"
0.926979019769741,34396,"1000-5-20Ni-B0012.tiff"
1.36709564178858,30281,"1000-5-28A0002.tiff"
1.27435984640433,32859,"1000-5-28A0004.tiff"
1.2485060971449,30717,"1000-5-28A0006.tiff"
1.58014603219133,27554,"1000-5-28B0002.tiff"
1.79621844898348,26266,"1000-5-28B0004.tiff"
1.4129682659112,28062,"1000-5-28B0006.tiff"
1.31646517919874,30402,"1000-5-28C0002.tiff"
1.26810150924958,30596,"1000-5-28C0004.tiff"
1.47891361887727,29072,"1000-5-28C0006.tiff"
0.92966085776305,38928,"1000-5-28Ni-B0008.tiff"
0.929845420578508,40518,"1000-5-28Ni-B0010.tiff"
0.978360561818622,37149,"1000-5-28Ni-B0012.tiff"
1.02525670769061,27228,"1000-5-35A0002.tiff"
0.990831646229028,30695,"1000-5-35A0004.tiff"
1.16065241099141,26548,"1000-5-35A0006.tiff"
1.18422137621249,26392,"1000-5-35C0002.tiff"
0.953364282140375,27341,"1000-5-35C0004.tiff"
1.09982550764601,24588,"1000-5-35C0006.tiff"
0.921719847625119,31370,"1000-5-35Ni-B0008.tiff"
0.948485019428186,32633,"1000-5-35Ni-B0010.tiff"
0.977385670563391,26518,"1000-5-35Ni-B0012.tiff"
1.04176851469669,35178,"1100-5-20Ni-A0008.tiff"
0.892587597527266,46669,"1100-5-20Ni-A0010.tiff"
0.874081363373409,39758,"1100-5-20Ni-A0012.tiff"
1.52133103642361,28800,"1100-5-28C0002.tiff"
1.46209843339274,26371,"1100-5-28C0004.tiff"
1.69596711268953,27172,"1100-5-28C0006.tiff"
1.62703736764706,28424,"1100-5-28Ni-A0008.tiff"
1.7260005206243,26013,"1100-5-28Ni-A0010.tiff"
1.67674449299039,26749,"1100-5-28Ni-A0012.tiff"
1.1302216595862,23586,"1100-5-35B0002.tiff"
1.17243168238234,24413,"1100-5-35B0004.tiff"
1.16886300914118,26583,"1100-5-35B0006.tiff"
1.34674922057122,27660,"1100-5-35C0002.tiff"
1.40940836832767,26490,"1100-5-35C0004.tiff"
1.28266858441659,25925,"1100-5-35C0006.tiff"
0.949870955301614,32641,"1100-5-35Ni-A0010.tiff"
0.705612850976362,36974,"1100-5-35Ni-A0012.tiff"
0.752943589030612,43120,"1100-5-35Ni-A0014.tiff"
0.794704971272996,83928,"700-10-10B0002.tiff"
0.855595231838369,79935,"700-10-10B0004.tiff"
0.891344718287267,75435,"700-10-10B0006.tiff"
0.891425443746723,76280,"700-10-10C0002.tiff"
0.889388627481262,75113,"700-10-10C0004.tiff"
0.838549256603679,79539,"700-10-10C0006.tiff"
0.930558153563007,69548,"700-10-24B0002.tiff"
0.76230552917993,79164,"700-10-24B0004.tiff"
0.750775953580902,82940,"700-10-24B0006.tiff"
0.745984429319625,82675,"700-10-24B0008.tiff"
0.758999776977279,82171,"700-10-24B0010.tiff"
0.90554987759607,74295,"700-10-24B0012.tiff"
0.584992362156035,98811,"700-5-28B0002.tiff"
0.599398194280771,98265,"700-5-28B0004.tiff"
0.627510658946845,96548,"700-5-28B0006.tiff"
0.556267833516162,97541,"700-5-28C0002.tiff"
0.568537468630638,98440,"700-5-28C0004.tiff"
0.593256830905512,96520,"700-5-28C0006.tiff"
0.735817266363844,83217,"700-5-35A0002.tiff"
0.676589889648326,87638,"700-5-35A0004.tiff"
0.688899966761877,85775,"700-5-35A0006.tiff"
0.468056503775483,94425,"700-5-35C0002.tiff"
0.497488938101942,89502,"700-5-35C0004.tiff"
0.608946213569594,88772,"700-5-35C0006.tiff"
0.793750710456672,64992,"800-10-10B0002.tiff"
0.803836644259854,63805,"800-10-10B0004.tiff"
0.773849587626031,65460,"800-10-10B0006.tiff"
0.732665543859339,56647,"800-10-24B0002.tiff"
0.735795932176418,59699,"800-10-24B0004.tiff"
0.877818435079871,47389,"800-10-24B0006.tiff"
0.898170025084894,54774,"800-10-24B0008.tiff"
0.804091512449345,53055,"800-10-24B0010.tiff"
0.868528123353606,53602,"800-10-24B0012.tiff"
0.520167146776061,39734,"800-10-40B0002.tiff"
0.577393788629264,40015,"800-10-40B0004.tiff"
0.526320104768212,37750,"800-10-40B0006.tiff"
0.550006788168475,35566,"800-10-40C0002.tiff"
0.546916618238065,35881,"800-10-40C0004.tiff"
0.521989391729789,33929,"800-10-40C0006.tiff"
0.515996324003434,40765,"800-10H_40NiA0005.tiff"
0.548213131673332,38755,"800-10H_40NiA0006.tiff"
0.527762366177673,44036,"800-10H_40NiA0008.tiff"
0.486586416601077,63526,"800-5-28A0002.tiff"
0.479717143030782,65818,"800-5-28A0004.tiff"
0.509538610903709,60805,"800-5-28A0006.tiff"
0.517749365020759,63106,"800-5-28B0002.tiff"
0.532087782999393,57645,"800-5-28B0004.tiff"
0.544803043342513,62456,"800-5-28B0006.tiff"
0.485704956500139,50322,"800-5-35A0002.tiff"
0.50400446346438,48049,"800-5-35A0004.tiff"
0.484323174822637,55113,"800-5-35A0006.tiff"
0.483992107106076,53405,"800-5-35B0002.tiff"
0.466939836061386,50891,"800-5-35B0004.tiff"
0.464079999242998,50198,"800-5-35B0006.tiff"
1.51373525748901,39124,"900-10-10C0002.tiff"
1.41316281767293,40016,"900-10-10C0004.tiff"
1.49101383097881,37658,"900-10-10C0006.tiff"
0.954588436736688,38893,"900-10-20A0010.tiff"
0.932062114563435,41357,"900-10-20A0012.tiff"
0.927299908828266,42228,"900-10-20A0014.tiff"
0.734064261221814,38140,"900-10-20B0008.tiff"
0.683373390289883,40844,"900-10-20B0010.tiff"
0.914330352588556,38535,"900-10-20B0012.tiff"
1.16719498022783,39854,"900-10-24B0002.tiff"
1.19343088342867,34614,"900-10-24B0004.tiff"
1.13715638866531,39260,"900-10-24B0006.tiff"
1.15800000202448,41986,"900-10-24C0002.tiff"
1.15203182821583,39049,"900-10-24C0004.tiff"
1.13692027532896,35187,"900-10-24C0006.tiff"
0.910198533602151,42408,"900-10-28A0008.tiff"
0.987958570128078,41303,"900-10-28A0010.tiff"
