 ,Label,Area,X,Y,XM,YM,Perim.,Circ.,Feret,%Area,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
911,WH40P,0.001,14.898,9.456,14.898,9.456,0.111,1.000,0.059,100,14.872,9.443,153.435,0.026,2.000,0.500,1.000
912,WH40P,0.017,26.126,9.617,26.126,9.617,0.454,1.000,0.189,100,26.046,9.574,146.310,0.131,1.345,0.743,0.906
913,WH40P,0.009,11.994,9.643,11.994,9.643,0.349,0.922,0.141,100,11.961,9.705,68.199,0.105,1.312,0.762,0.812
914,WH40P,0.008,20.874,9.657,20.874,9.657,0.312,1.000,0.148,100,20.826,9.600,135.000,0.093,1.651,0.606,0.889
915,WH40P,0.010,13.225,9.679,13.225,9.679,0.327,1.000,0.131,100,13.193,9.626,126.870,0.105,1.020,0.981,0.933
916,WH40P,0.026,25.106,9.878,25.106,9.878,0.794,0.521,0.373,100,24.997,10.020,50.711,0.111,4.351,0.230,0.760
917,WH40P,0.006,8.387,9.803,8.387,9.803,0.275,0.914,0.117,100,8.367,9.862,63.435,0.079,1.416,0.706,0.800
918,WH40P,0.001,8.210,9.797,8.210,9.797,0.111,1.000,0.059,100,8.184,9.784,153.435,0.026,2.000,0.500,1.000
919,WH40P,0.008,8.577,9.862,8.577,9.862,0.297,1.000,0.117,100,8.551,9.810,116.565,0.105,1.000,1.000,0.857
920,WH40P,0.022,8.021,10.014,8.021,10.014,0.587,0.803,0.260,100,7.921,10.098,45.000,0.130,2.131,0.469,0.842
921,WH40P,0.006,12.023,10.010,12.023,10.010,0.238,1.000,0.111,100,11.987,9.967,135.000,0.079,1.229,0.814,0.941
922,WH40P,0.023,3.733,10.361,3.733,10.361,0.677,0.642,0.316,100,3.620,10.466,41.634,0.130,3.026,0.330,0.791
923,WH40P,0.027,12.311,10.373,12.311,10.373,0.581,1.000,0.226,100,12.249,10.282,125.538,0.184,1.194,0.838,0.907
924,WH40P,0.014,10.012,10.380,10.012,10.380,0.423,1.000,0.176,100,9.941,10.439,26.565,0.130,1.311,0.763,0.875
925,WH40P,0.004,24.927,10.588,24.927,10.588,0.223,1.000,0.095,100,24.892,10.623,33.690,0.074,1.291,0.775,0.800
926,WH40P,0.021,3.337,10.661,3.337,10.661,0.528,0.960,0.211,100,3.279,10.754,60.255,0.157,1.386,0.722,0.873
927,WH40P,0.042,15.698,10.716,15.698,10.716,1.011,0.516,0.451,100,15.502,10.597,144.462,0.151,4.040,0.248,0.739
928,WH40P,0.004,24.245,10.981,24.245,10.981,0.223,1.000,0.095,100,24.210,11.016,33.690,0.074,1.291,0.775,0.800
929,WH40P,0.054,20.229,11.140,20.229,11.140,1.057,0.604,0.400,100,20.039,11.252,31.608,0.241,1.962,0.510,0.743
930,WH40P,0.016,13.021,11.092,13.021,11.092,0.439,1.000,0.189,100,12.957,11.016,123.690,0.130,1.473,0.679,0.902
931,WH40P,0.007,12.110,11.108,12.110,11.108,0.275,1.000,0.117,100,12.066,11.069,153.435,0.079,1.236,0.809,0.909
932,WH40P,0.041,10.786,11.227,10.786,11.227,0.745,0.936,0.283,100,10.754,11.095,111.801,0.210,1.307,0.765,0.902
933,WH40P,0.049,15.705,11.262,15.705,11.262,0.862,0.826,0.320,100,15.554,11.200,145.008,0.226,1.413,0.708,0.830
934,WH40P,0.009,24.082,11.177,24.082,11.177,0.312,1.000,0.131,100,24.052,11.121,126.870,0.105,1.159,0.863,0.897
935,WH40P,0.003,20.695,11.252,20.695,11.252,0.148,1.000,0.074,100,20.669,11.226,135.000,0.052,1.000,1.000,1.000
936,WH40P,0.026,12.783,11.460,12.783,11.460,0.618,0.861,0.258,100,12.721,11.567,66.038,0.157,1.807,0.554,0.874
937,WH40P,0.001,5.626,11.384,5.626,11.384,0.127,1.000,0.059,100,5.613,11.357,116.565,0.026,2.000,0.500,1.000
938,WH40P,0.025,7.973,11.459,7.973,11.459,0.587,0.928,0.247,100,7.869,11.541,32.005,0.148,1.649,0.606,0.892
939,WH40P,0.003,14.164,11.436,14.164,11.436,0.148,1.000,0.074,100,14.138,11.410,135.000,0.052,1.000,1.000,1.000
940,WH40P,0.004,5.246,11.738,5.246,11.738,0.201,1.000,0.095,100,5.220,11.698,123.690,0.052,1.500,0.667,1.000
