"skel.num","Branches","Junctions","End.point.voxels","Junction.voxels","Slab.voxels","Average.Branch.Length","Triple.points","Quadruple.points","Maximum.Branch.Length","Labelfine"
1,8,3,6,16,118,0.535,2,1,1.22,"900-10-10C0002.tiff"
2,18,8,11,21,181,0.351,7,1,0.979,"900-10-10C0002.tiff"
3,5,2,4,4,108,0.723,2,0,1.21,"900-10-10C0002.tiff"
4,3,1,3,3,67,0.731,1,0,1.055,"900-10-10C0002.tiff"
5,4,1,4,6,102,0.887,0,1,1.149,"900-10-10C0002.tiff"
6,5,2,4,7,86,0.597,2,0,1.664,"900-10-10C0002.tiff"
7,5,2,3,3,77,0.502,1,1,0.996,"900-10-10C0002.tiff"
8,3,1,3,4,73,0.785,1,0,1.765,"900-10-10C0002.tiff"
9,3,1,3,4,46,0.516,1,0,0.808,"900-10-10C0002.tiff"
10,15,6,10,24,162,0.401,4,2,1.009,"900-10-10C0002.tiff"
11,3,1,3,3,55,0.622,1,0,0.738,"900-10-10C0002.tiff"
12,6,2,5,9,115,0.659,1,1,1.885,"900-10-10C0002.tiff"
13,9,4,6,12,125,0.486,4,0,1.863,"900-10-10C0002.tiff"
14,5,2,4,6,77,0.525,2,0,1.053,"900-10-10C0002.tiff"
15,5,2,4,6,79,0.531,2,0,0.972,"900-10-10C0002.tiff"
1,5,2,4,8,112,0.73,2,0,1.284,"900-10-10C0004.tiff"
2,7,3,5,11,89,0.437,3,0,1.221,"900-10-10C0004.tiff"
3,3,1,3,3,79,0.872,1,0,1.135,"900-10-10C0004.tiff"
4,15,7,9,18,258,0.574,7,0,1.432,"900-10-10C0004.tiff"
5,7,3,5,13,83,0.432,3,0,0.935,"900-10-10C0004.tiff"
6,5,2,4,6,78,0.565,2,0,1.131,"900-10-10C0004.tiff"
7,5,2,4,6,112,0.719,2,0,1.158,"900-10-10C0004.tiff"
8,5,2,4,8,47,0.356,2,0,0.592,"900-10-10C0004.tiff"
9,7,3,5,7,170,0.782,3,0,1.439,"900-10-10C0004.tiff"
10,9,4,6,13,123,0.483,4,0,1.465,"900-10-10C0004.tiff"
11,4,1,4,6,103,0.819,0,1,0.878,"900-10-10C0004.tiff"
12,5,2,4,7,68,0.461,2,0,0.906,"900-10-10C0004.tiff"
1,11,5,7,14,140,0.45,5,0,0.754,"900-10-10C0006.tiff"
2,11,5,7,15,137,0.448,5,0,1.107,"900-10-10C0006.tiff"
3,11,5,7,11,155,0.48,5,0,1.086,"900-10-10C0006.tiff"
4,7,3,5,9,133,0.625,3,0,1.263,"900-10-10C0006.tiff"
5,5,2,4,8,86,0.615,2,0,0.972,"900-10-10C0006.tiff"
6,9,4,6,11,145,0.528,4,0,1.341,"900-10-10C0006.tiff"
7,3,1,3,4,60,0.693,1,0,0.812,"900-10-10C0006.tiff"
8,9,4,6,11,125,0.477,4,0,0.797,"900-10-10C0006.tiff"
9,3,1,3,1,62,0.659,1,0,0.894,"900-10-10C0006.tiff"
10,5,2,4,5,97,0.638,2,0,1.149,"900-10-10C0006.tiff"
11,7,3,5,5,126,0.579,3,0,0.721,"900-10-10C0006.tiff"
12,10,4,7,13,125,0.447,3,1,0.644,"900-10-10C0006.tiff"
13,7,3,5,11,122,0.599,3,0,1.531,"900-10-10C0006.tiff"
14,1,0,2,0,72,2.338,0,0,2.338,"900-10-10C0006.tiff"
15,5,2,4,7,107,0.722,2,0,1.489,"900-10-10C0006.tiff"
16,5,2,4,4,79,0.562,2,0,1.155,"900-10-10C0006.tiff"
1,3,1,3,3,85,0.903,1,0,1.007,"900-10-20A0010.tiff"
2,17,8,10,21,200,0.412,8,0,1.053,"900-10-20A0010.tiff"
3,9,4,6,11,117,0.444,4,0,1.048,"900-10-20A0010.tiff"
4,18,8,11,29,312,0.607,7,1,1.336,"900-10-20A0010.tiff"
5,9,4,6,11,212,0.8,4,0,1.588,"900-10-20A0010.tiff"
6,7,3,5,10,100,0.502,3,0,1.566,"900-10-20A0010.tiff"
7,9,4,6,10,136,0.509,4,0,1.341,"900-10-20A0010.tiff"
8,15,6,10,23,238,0.553,4,2,1.065,"900-10-20A0010.tiff"
9,3,1,3,3,126,1.345,1,0,2.727,"900-10-20A0010.tiff"
10,4,1,4,4,175,1.408,0,1,1.961,"900-10-20A0010.tiff"
11,70,34,37,101,1176,0.592,33,1,1.666,"900-10-20A0010.tiff"
12,9,4,6,13,101,0.39,4,0,1.212,"900-10-20A0010.tiff"
13,5,2,4,8,83,0.555,2,0,0.998,"900-10-20A0010.tiff"
14,9,4,6,12,68,0.297,4,0,0.661,"900-10-20A0010.tiff"
15,9,4,6,9,154,0.569,4,0,1.359,"900-10-20A0010.tiff"
16,9,4,6,13,90,0.374,4,0,0.738,"900-10-20A0010.tiff"
17,17,7,11,25,299,0.639,5,2,1.21,"900-10-20A0010.tiff"
18,9,4,6,13,100,0.422,4,0,0.792,"900-10-20A0010.tiff"
19,3,1,3,4,88,0.996,1,0,2.745,"900-10-20A0010.tiff"
20,43,21,23,60,803,0.655,21,0,1.22,"900-10-20A0010.tiff"
21,16,7,10,19,266,0.561,6,1,1.127,"900-10-20A0010.tiff"
22,5,2,4,6,197,1.226,2,0,1.41,"900-10-20A0010.tiff"
23,11,5,7,14,166,0.521,5,0,1.749,"900-10-20A0010.tiff"
24,24,11,14,38,213,0.338,10,1,0.935,"900-10-20A0010.tiff"
25,13,6,8,16,170,0.469,6,0,1.821,"900-10-20A0010.tiff"
26,4,1,4,6,72,0.62,0,1,1.442,"900-10-20A0010.tiff"
27,5,2,4,6,79,0.529,2,0,0.732,"900-10-20A0010.tiff"
28,5,2,4,4,78,0.537,2,0,1.181,"900-10-20A0010.tiff"
29,15,7,9,22,217,0.491,7,0,1.025,"900-10-20A0010.tiff"
30,5,2,4,7,65,0.445,2,0,1.002,"900-10-20A0010.tiff"
31,19,9,11,25,339,0.611,9,0,1.352,"900-10-20A0010.tiff"
32,19,9,11,29,300,0.55,9,0,1.328,"900-10-20A0010.tiff"
33,13,6,8,22,297,0.745,6,0,1.614,"900-10-20A0010.tiff"
34,5,2,4,8,125,0.837,2,0,1.444,"900-10-20A0010.tiff"
35,13,6,8,17,167,0.458,6,0,1.107,"900-10-20A0010.tiff"
36,5,2,4,4,97,0.628,2,0,1.018,"900-10-20A0010.tiff"
37,5,2,4,7,122,0.788,2,0,1.086,"900-10-20A0010.tiff"
38,7,3,5,11,127,0.603,3,0,1.175,"900-10-20A0010.tiff"
39,9,4,6,15,142,0.553,4,0,1.127,"900-10-20A0010.tiff"
1,5,2,4,4,128,0.832,2,0,1.247,"900-10-20A0012.tiff"
2,5,2,4,5,80,0.575,2,0,1.131,"900-10-20A0012.tiff"
3,5,2,4,7,101,0.652,2,0,1.099,"900-10-20A0012.tiff"
4,9,4,6,7,133,0.476,4,0,1.258,"900-10-20A0012.tiff"
5,9,4,6,13,135,0.507,4,0,0.963,"900-10-20A0012.tiff"
6,7,3,5,8,89,0.447,3,0,1.013,"900-10-20A0012.tiff"
7,3,1,3,4,85,0.94,1,0,1.387,"900-10-20A0012.tiff"
8,11,5,7,18,167,0.537,5,0,1.322,"900-10-20A0012.tiff"
9,16,7,10,22,186,0.421,6,1,1.481,"900-10-20A0012.tiff"
10,5,2,4,8,83,0.58,2,0,0.88,"900-10-20A0012.tiff"
11,22,10,13,27,327,0.508,9,1,1.013,"900-10-20A0012.tiff"
12,5,2,4,8,81,0.559,2,0,1.555,"900-10-20A0012.tiff"
13,17,8,10,23,283,0.583,8,0,1.572,"900-10-20A0012.tiff"
14,10,4,7,18,147,0.518,3,1,0.981,"900-10-20A0012.tiff"
15,9,4,6,12,159,0.609,4,0,1.461,"900-10-20A0012.tiff"
16,19,8,12,30,249,0.471,6,2,0.911,"900-10-20A0012.tiff"
17,9,4,6,11,157,0.606,4,0,1.372,"900-10-20A0012.tiff"
18,10,4,7,13,164,0.585,3,1,1.496,"900-10-20A0012.tiff"
19,3,1,3,4,20,0.282,1,0,0.465,"900-10-20A0012.tiff"
20,22,10,13,27,344,0.546,9,1,1.183,"900-10-20A0012.tiff"
21,9,4,6,12,112,0.442,4,0,0.913,"900-10-20A0012.tiff"
22,15,7,9,19,231,0.534,7,0,1.483,"900-10-20A0012.tiff"
23,13,6,8,14,151,0.401,6,0,0.828,"900-10-20A0012.tiff"
24,11,5,7,17,143,0.465,5,0,1.053,"900-10-20A0012.tiff"
25,9,4,6,12,118,0.456,4,0,1.228,"900-10-20A0012.tiff"
26,18,8,11,27,215,0.448,7,1,1.043,"900-10-20A0012.tiff"
27,9,4,6,10,118,0.451,4,0,0.8,"900-10-20A0012.tiff"
28,17,8,10,22,229,0.471,8,0,1.229,"900-10-20A0012.tiff"
29,9,4,6,11,190,0.701,4,0,1.835,"900-10-20A0012.tiff"
30,19,9,11,27,304,0.553,9,0,1.464,"900-10-20A0012.tiff"
31,13,6,8,14,164,0.443,6,0,1.103,"900-10-20A0012.tiff"
32,9,3,7,17,116,0.497,2,0,1.018,"900-10-20A0012.tiff"
33,15,7,9,20,168,0.398,7,0,0.937,"900-10-20A0012.tiff"
34,7,3,5,11,148,0.707,3,0,1.348,"900-10-20A0012.tiff"
35,7,3,5,5,114,0.554,3,0,1.031,"900-10-20A0012.tiff"
36,5,2,4,7,85,0.559,2,0,1.315,"900-10-20A0012.tiff"
37,12,5,8,17,176,0.523,4,1,1.357,"900-10-20A0012.tiff"
38,8,3,6,9,191,0.791,2,1,2.213,"900-10-20A0012.tiff"
39,14,6,9,17,150,0.38,5,1,1.055,"900-10-20A0012.tiff"
40,3,1,3,4,64,0.75,1,0,1.531,"900-10-20A0012.tiff"
41,3,1,3,3,70,0.79,1,0,0.919,"900-10-20A0012.tiff"
42,21,10,12,36,301,0.488,10,0,1.095,"900-10-20A0012.tiff"
43,10,4,7,15,203,0.73,3,1,1.406,"900-10-20A0012.tiff"
44,5,2,4,8,68,0.48,2,0,0.601,"900-10-20A0012.tiff"
45,5,2,4,4,82,0.536,2,0,1.12,"900-10-20A0012.tiff"
46,5,2,4,5,126,0.781,2,0,1.158,"900-10-20A0012.tiff"
47,3,1,3,4,91,0.942,1,0,1.153,"900-10-20A0012.tiff"
48,9,4,6,12,160,0.621,4,0,0.996,"900-10-20A0012.tiff"
49,13,6,8,21,120,0.344,6,0,0.754,"900-10-20A0012.tiff"
1,11,4,8,19,170,0.564,3,0,1.009,"900-10-20A0014.tiff"
2,13,6,8,18,139,0.385,6,0,0.627,"900-10-20A0014.tiff"
3,9,4,6,16,83,0.35,4,0,0.699,"900-10-20A0014.tiff"
4,5,2,4,2,100,0.636,2,0,0.839,"900-10-20A0014.tiff"
5,10,4,7,15,85,0.341,3,1,0.839,"900-10-20A0014.tiff"
6,17,7,10,25,321,0.668,4,3,2.006,"900-10-20A0014.tiff"
7,11,5,7,15,170,0.548,5,0,2.125,"900-10-20A0014.tiff"
8,3,1,3,4,84,0.923,1,0,1.987,"900-10-20A0014.tiff"
9,7,3,5,11,84,0.434,3,0,0.843,"900-10-20A0014.tiff"
10,5,2,4,6,77,0.51,2,0,1.195,"900-10-20A0014.tiff"
11,10,4,7,14,195,0.681,3,1,1.421,"900-10-20A0014.tiff"
12,7,3,5,10,78,0.401,3,0,0.828,"900-10-20A0014.tiff"
13,7,3,5,8,160,0.744,3,0,1.197,"900-10-20A0014.tiff"
14,9,4,6,14,102,0.402,4,0,1.33,"900-10-20A0014.tiff"
15,12,5,8,19,107,0.347,4,1,0.797,"900-10-20A0014.tiff"
16,5,2,4,6,94,0.647,2,0,1.45,"900-10-20A0014.tiff"
17,14,6,9,22,129,0.345,5,1,0.806,"900-10-20A0014.tiff"
18,12,5,8,19,150,0.469,4,1,1.396,"900-10-20A0014.tiff"
19,5,2,4,5,87,0.603,2,0,0.982,"900-10-20A0014.tiff"
20,7,3,5,7,112,0.543,3,0,1.016,"900-10-20A0014.tiff"
21,14,6,9,18,241,0.604,5,1,1.435,"900-10-20A0014.tiff"
22,8,3,6,11,105,0.478,2,1,0.93,"900-10-20A0014.tiff"
23,9,4,6,13,180,0.682,4,0,1.177,"900-10-20A0014.tiff"
24,3,1,3,4,46,0.509,1,0,0.815,"900-10-20A0014.tiff"
25,15,7,9,22,213,0.503,7,0,1.444,"900-10-20A0014.tiff"
26,3,1,3,3,57,0.625,1,0,1.169,"900-10-20A0014.tiff"
27,10,4,7,15,266,0.907,3,1,1.762,"900-10-20A0014.tiff"
28,5,2,4,7,100,0.67,2,0,1.053,"900-10-20A0014.tiff"
29,5,2,4,7,120,0.78,2,0,1.376,"900-10-20A0014.tiff"
30,5,2,4,2,91,0.599,2,0,0.821,"900-10-20A0014.tiff"
31,3,1,3,3,75,0.83,1,0,1.173,"900-10-20A0014.tiff"
32,3,1,3,3,84,0.887,1,0,1.147,"900-10-20A0014.tiff"
33,17,8,10,18,300,0.607,8,0,1.636,"900-10-20A0014.tiff"
34,5,2,4,6,89,0.608,2,0,0.965,"900-10-20A0014.tiff"
35,11,5,7,17,116,0.4,5,0,1.114,"900-10-20A0014.tiff"
36,11,5,7,13,181,0.579,5,0,1.221,"900-10-20A0014.tiff"
37,5,2,4,4,53,0.381,2,0,0.557,"900-10-20A0014.tiff"
38,15,7,9,22,254,0.579,7,0,1.055,"900-10-20A0014.tiff"
39,5,2,4,8,69,0.493,2,0,0.775,"900-10-20A0014.tiff"
40,3,1,3,1,64,0.709,1,0,0.893,"900-10-20A0014.tiff"
41,7,3,5,8,153,0.72,3,0,1.362,"900-10-20A0014.tiff"
42,7,3,5,7,101,0.485,3,0,0.747,"900-10-20A0014.tiff"
43,27,13,15,41,476,0.614,13,0,1.773,"900-10-20A0014.tiff"
44,4,1,4,7,75,0.673,0,1,1.266,"900-10-20A0014.tiff"
45,3,1,3,4,52,0.598,1,0,0.668,"900-10-20A0014.tiff"
46,5,2,4,5,126,0.812,2,0,1.732,"900-10-20A0014.tiff"
47,8,3,6,13,213,0.903,2,1,1.306,"900-10-20A0014.tiff"
48,11,5,7,14,106,0.366,5,0,1.236,"900-10-20A0014.tiff"
1,14,6,9,20,131,0.355,5,1,0.745,"900-10-20B0008.tiff"
2,16,7,10,27,282,0.627,6,1,2.043,"900-10-20B0008.tiff"
3,7,3,5,9,99,0.486,3,0,1.053,"900-10-20B0008.tiff"
4,5,2,4,6,85,0.571,2,0,1.086,"900-10-20B0008.tiff"
5,8,3,6,13,139,0.619,2,1,0.972,"900-10-20B0008.tiff"
6,19,9,11,28,216,0.425,9,0,0.804,"900-10-20B0008.tiff"
7,12,5,8,21,150,0.456,4,1,0.786,"900-10-20B0008.tiff"
8,14,5,10,26,186,0.478,3,1,0.99,"900-10-20B0008.tiff"
9,31,15,17,44,546,0.638,15,0,1.46,"900-10-20B0008.tiff"
10,15,7,9,13,225,0.5,7,0,1.604,"900-10-20B0008.tiff"
11,11,5,7,13,148,0.465,5,0,1.036,"900-10-20B0008.tiff"
12,5,2,4,8,74,0.522,2,0,1.158,"900-10-20B0008.tiff"
13,13,6,8,17,160,0.44,6,0,0.972,"900-10-20B0008.tiff"
14,35,16,20,48,422,0.43,14,2,1.252,"900-10-20B0008.tiff"
15,66,31,35,102,1102,0.584,28,2,2.236,"900-10-20B0008.tiff"
16,11,5,6,13,100,0.333,4,1,1.123,"900-10-20B0008.tiff"
17,24,11,14,36,350,0.506,10,1,0.9,"900-10-20B0008.tiff"
18,9,4,6,15,104,0.419,4,0,0.76,"900-10-20B0008.tiff"
19,20,9,12,29,322,0.553,8,1,1.651,"900-10-20B0008.tiff"
20,13,6,8,19,157,0.434,6,0,0.692,"900-10-20B0008.tiff"
21,7,3,5,8,94,0.47,3,0,0.8,"900-10-20B0008.tiff"
22,9,4,6,12,121,0.461,4,0,0.915,"900-10-20B0008.tiff"
23,3,1,3,4,63,0.697,1,0,1.039,"900-10-20B0008.tiff"
24,5,2,4,5,88,0.568,2,0,0.867,"900-10-20B0008.tiff"
25,24,10,15,40,427,0.627,7,3,1.385,"900-10-20B0008.tiff"
26,5,2,4,4,110,0.714,2,0,0.908,"900-10-20B0008.tiff"
27,7,3,5,11,106,0.529,3,0,1.009,"900-10-20B0008.tiff"
28,21,10,12,30,354,0.591,10,0,1.566,"900-10-20B0008.tiff"
29,21,10,12,30,426,0.692,10,0,2.392,"900-10-20B0008.tiff"
30,13,6,8,21,213,0.598,6,0,1.137,"900-10-20B0008.tiff"
31,5,2,4,9,157,1.001,2,0,1.783,"900-10-20B0008.tiff"
32,5,2,4,6,104,0.704,2,0,1.059,"900-10-20B0008.tiff"
33,27,13,15,31,434,0.544,13,0,1.74,"900-10-20B0008.tiff"
34,5,2,4,5,85,0.594,2,0,0.998,"900-10-20B0008.tiff"
35,3,1,3,3,65,0.703,1,0,1.228,"900-10-20B0008.tiff"
36,40,19,22,64,704,0.601,18,1,2.094,"900-10-20B0008.tiff"
37,9,4,6,12,91,0.384,4,0,1.002,"900-10-20B0008.tiff"
38,13,6,8,13,332,0.849,6,0,3.806,"900-10-20B0008.tiff"
39,3,1,3,3,97,1.055,1,0,1.54,"900-10-20B0008.tiff"
40,22,10,13,33,343,0.55,9,1,1.06,"900-10-20B0008.tiff"
41,11,5,7,17,198,0.623,5,0,1.651,"900-10-20B0008.tiff"
42,13,6,8,17,161,0.431,6,0,1.208,"900-10-20B0008.tiff"
43,7,3,5,10,153,0.761,3,0,1.135,"900-10-20B0008.tiff"
1,7,3,5,10,97,0.485,3,0,0.97,"900-10-20B0010.tiff"
2,17,8,10,26,146,0.34,8,0,0.714,"900-10-20B0010.tiff"
3,23,11,13,35,460,0.669,11,0,1.918,"900-10-20B0010.tiff"
4,25,12,14,41,365,0.523,12,0,1.103,"900-10-20B0010.tiff"
5,9,4,6,10,175,0.659,4,0,0.996,"900-10-20B0010.tiff"
6,7,3,5,12,118,0.602,3,0,1.177,"900-10-20B0010.tiff"
7,28,13,16,40,571,0.694,12,1,1.79,"900-10-20B0010.tiff"
8,25,12,14,43,434,0.603,12,0,1.372,"900-10-20B0010.tiff"
9,7,3,5,8,96,0.515,3,0,0.879,"900-10-20B0010.tiff"
10,15,7,9,23,209,0.492,7,0,1.046,"900-10-20B0010.tiff"
11,9,4,6,10,126,0.482,4,0,1.219,"900-10-20B0010.tiff"
12,27,13,15,41,363,0.499,13,0,1.347,"900-10-20B0010.tiff"
13,76,37,40,107,1331,0.605,36,1,2.779,"900-10-20B0010.tiff"
14,7,3,5,7,85,0.431,3,0,1.132,"900-10-20B0010.tiff"
15,25,12,13,37,371,0.521,11,1,1.063,"900-10-20B0010.tiff"
16,16,7,10,25,308,0.645,6,1,1.42,"900-10-20B0010.tiff"
17,13,6,8,18,99,0.286,6,0,0.778,"900-10-20B0010.tiff"
18,5,2,4,7,72,0.495,2,0,1.186,"900-10-20B0010.tiff"
19,10,4,7,16,175,0.62,3,1,1.038,"900-10-20B0010.tiff"
20,12,5,8,18,147,0.45,4,1,0.729,"900-10-20B0010.tiff"
21,16,7,10,24,276,0.594,6,1,1.276,"900-10-20B0010.tiff"
22,11,5,7,10,130,0.41,5,0,0.81,"900-10-20B0010.tiff"
23,9,4,6,12,124,0.493,4,0,0.858,"900-10-20B0010.tiff"
24,5,2,4,6,88,0.587,2,0,0.782,"900-10-20B0010.tiff"
25,3,1,3,4,56,0.651,1,0,1.066,"900-10-20B0010.tiff"
26,13,6,8,14,180,0.476,6,0,1.435,"900-10-20B0010.tiff"
27,32,15,18,50,437,0.488,14,1,1.553,"900-10-20B0010.tiff"
28,3,1,3,3,100,1.099,1,0,1.636,"900-10-20B0010.tiff"
29,14,6,9,19,178,0.434,5,1,1.444,"900-10-20B0010.tiff"
30,7,3,5,7,103,0.503,3,0,0.97,"900-10-20B0010.tiff"
31,8,3,6,12,129,0.596,2,1,0.928,"900-10-20B0010.tiff"
32,19,9,10,32,160,0.324,8,1,1.271,"900-10-20B0010.tiff"
33,21,10,12,29,317,0.544,10,0,1.179,"900-10-20B0010.tiff"
34,13,6,8,20,164,0.476,6,0,0.895,"900-10-20B0010.tiff"
35,3,1,3,4,48,0.529,1,0,0.848,"900-10-20B0010.tiff"
36,33,16,18,44,618,0.628,16,0,1.756,"900-10-20B0010.tiff"
37,13,6,8,15,147,0.418,6,0,1.362,"900-10-20B0010.tiff"
38,13,6,8,20,245,0.651,6,0,1.039,"900-10-20B0010.tiff"
39,12,5,8,21,301,0.837,4,1,1.522,"900-10-20B0010.tiff"
40,9,4,6,15,212,0.778,4,0,1.457,"900-10-20B0010.tiff"
41,13,6,8,17,99,0.292,6,0,0.876,"900-10-20B0010.tiff"
42,4,1,4,6,76,0.677,0,1,1.083,"900-10-20B0010.tiff"
1,12,5,8,15,222,0.64,4,1,1.658,"900-10-20B0012.tiff"
2,22,10,13,37,257,0.418,9,1,1.002,"900-10-20B0012.tiff"
3,7,3,5,8,121,0.591,3,0,0.974,"900-10-20B0012.tiff"
4,7,3,5,10,127,0.613,3,0,1.354,"900-10-20B0012.tiff"
5,9,4,6,9,145,0.561,4,0,1.474,"900-10-20B0012.tiff"
6,7,3,5,10,80,0.425,3,0,0.777,"900-10-20B0012.tiff"
7,19,9,11,30,327,0.58,9,0,1.708,"900-10-20B0012.tiff"
8,9,4,6,10,91,0.369,4,0,0.887,"900-10-20B0012.tiff"
9,6,2,5,9,125,0.692,1,1,1.064,"900-10-20B0012.tiff"
10,7,3,5,9,143,0.668,3,0,1.072,"900-10-20B0012.tiff"
11,32,15,18,47,444,0.499,14,1,1.524,"900-10-20B0012.tiff"
12,38,18,21,59,552,0.52,17,1,1.328,"900-10-20B0012.tiff"
13,8,3,6,14,133,0.582,2,1,1.018,"900-10-20B0012.tiff"
14,7,3,5,10,112,0.544,3,0,0.801,"900-10-20B0012.tiff"
15,9,4,6,11,120,0.475,4,0,1.155,"900-10-20B0012.tiff"
16,6,2,5,7,130,0.753,1,1,1.194,"900-10-20B0012.tiff"
17,18,8,11,26,240,0.474,7,1,1.275,"900-10-20B0012.tiff"
18,8,3,6,12,169,0.733,2,1,1.889,"900-10-20B0012.tiff"
19,11,5,7,15,174,0.55,5,0,1.472,"900-10-20B0012.tiff"
20,10,4,7,17,149,0.548,3,1,1.081,"900-10-20B0012.tiff"
21,15,7,9,20,194,0.451,7,0,1.107,"900-10-20B0012.tiff"
22,6,2,5,8,111,0.677,1,1,1.231,"900-10-20B0012.tiff"
23,35,17,19,48,601,0.592,17,0,1.463,"900-10-20B0012.tiff"
24,18,8,11,24,232,0.462,7,1,1.533,"900-10-20B0012.tiff"
25,6,2,5,8,137,0.776,1,1,1.66,"900-10-20B0012.tiff"
26,7,3,5,8,95,0.5,3,0,0.734,"900-10-20B0012.tiff"
27,62,30,33,94,1116,0.621,29,1,2.06,"900-10-20B0012.tiff"
28,13,6,8,19,147,0.4,6,0,0.697,"900-10-20B0012.tiff"
29,27,12,16,31,260,0.352,10,2,0.983,"900-10-20B0012.tiff"
30,51,24,28,79,885,0.607,22,2,2.009,"900-10-20B0012.tiff"
31,11,5,7,15,132,0.433,5,0,1.288,"900-10-20B0012.tiff"
32,42,20,23,65,838,0.69,19,1,2.134,"900-10-20B0012.tiff"
33,11,5,7,16,238,0.73,5,0,1.478,"900-10-20B0012.tiff"
34,7,3,5,10,60,0.323,3,0,0.863,"900-10-20B0012.tiff"
35,9,4,6,16,120,0.465,4,0,0.902,"900-10-20B0012.tiff"
36,15,7,8,16,221,0.511,6,1,2.138,"900-10-20B0012.tiff"
37,12,5,8,14,147,0.431,4,1,1.496,"900-10-20B0012.tiff"
38,1,0,2,0,65,2.166,0,0,2.166,"900-10-20B0012.tiff"
39,7,3,5,11,86,0.444,3,0,1.07,"900-10-20B0012.tiff"
40,11,5,7,16,145,0.448,5,0,1.136,"900-10-20B0012.tiff"
1,17,8,10,28,256,0.539,8,0,1.28,"900-10-24B0002.tiff"
2,68,32,37,94,1358,0.707,29,3,2.668,"900-10-24B0002.tiff"
3,15,7,9,22,213,0.51,7,0,1.657,"900-10-24B0002.tiff"
4,15,7,9,22,248,0.576,7,0,1.141,"900-10-24B0002.tiff"
5,10,4,7,17,114,0.424,3,1,1.135,"900-10-24B0002.tiff"
6,9,4,6,11,153,0.569,4,0,1.274,"900-10-24B0002.tiff"
7,9,4,6,13,88,0.358,4,0,0.673,"900-10-24B0002.tiff"
8,11,5,7,16,151,0.49,5,0,0.78,"900-10-24B0002.tiff"
9,3,1,3,3,111,1.134,1,0,2.226,"900-10-24B0002.tiff"
10,5,2,4,4,72,0.49,2,0,0.819,"900-10-24B0002.tiff"
11,11,5,7,16,149,0.478,5,0,1.004,"900-10-24B0002.tiff"
12,5,2,4,8,104,0.692,2,0,1.036,"900-10-24B0002.tiff"
13,8,3,6,12,125,0.567,2,1,1.22,"900-10-24B0002.tiff"
14,13,6,8,17,135,0.384,6,0,0.738,"900-10-24B0002.tiff"
15,9,4,6,9,233,0.836,4,0,1.961,"900-10-24B0002.tiff"
16,3,1,3,3,74,0.796,1,0,1.516,"900-10-24B0002.tiff"
17,13,6,8,17,198,0.524,6,0,1.044,"900-10-24B0002.tiff"
18,9,4,6,14,119,0.467,4,0,0.738,"900-10-24B0002.tiff"
19,31,14,18,48,486,0.564,12,2,1.284,"900-10-24B0002.tiff"
20,5,2,4,8,122,0.832,2,0,2.267,"900-10-24B0002.tiff"
21,16,7,10,29,168,0.394,6,1,0.891,"900-10-24B0002.tiff"
22,5,2,4,7,95,0.628,2,0,1.374,"900-10-24B0002.tiff"
23,5,2,4,2,82,0.541,2,0,0.976,"900-10-24B0002.tiff"
24,3,1,3,3,42,0.465,1,0,1.022,"900-10-24B0002.tiff"
25,31,15,17,47,431,0.512,15,0,1.33,"900-10-24B0002.tiff"
26,5,2,4,5,62,0.454,2,0,0.764,"900-10-24B0002.tiff"
1,18,8,11,30,351,0.655,7,1,1.538,"900-10-24B0004.tiff"
2,7,3,5,7,102,0.482,3,0,1.182,"900-10-24B0004.tiff"
3,4,1,4,6,59,0.561,0,1,0.607,"900-10-24B0004.tiff"
4,15,7,9,26,152,0.372,7,0,0.878,"900-10-24B0004.tiff"
5,7,2,6,13,114,0.589,1,0,1.17,"900-10-24B0004.tiff"
6,3,1,3,3,60,0.652,1,0,1.039,"900-10-24B0004.tiff"
7,4,1,4,7,112,1.016,0,1,1.49,"900-10-24B0004.tiff"
8,16,7,10,24,227,0.506,6,1,2.042,"900-10-24B0004.tiff"
9,12,5,8,15,215,0.633,4,1,1.779,"900-10-24B0004.tiff"
10,9,4,6,14,140,0.518,4,0,1.717,"900-10-24B0004.tiff"
11,12,5,8,17,301,0.848,4,1,1.527,"900-10-24B0004.tiff"
12,5,2,4,5,67,0.459,2,0,0.681,"900-10-24B0004.tiff"
13,10,5,6,14,120,0.425,4,0,0.74,"900-10-24B0004.tiff"
14,9,4,6,10,146,0.584,4,0,1.21,"900-10-24B0004.tiff"
15,31,15,17,39,896,0.948,15,0,2.365,"900-10-24B0004.tiff"
16,3,1,3,4,82,0.896,1,0,1.144,"900-10-24B0004.tiff"
17,11,5,7,15,216,0.67,5,0,1.701,"900-10-24B0004.tiff"
18,6,2,5,10,82,0.512,1,1,1.087,"900-10-24B0004.tiff"
19,5,2,4,4,102,0.683,2,0,1.76,"900-10-24B0004.tiff"
20,29,14,16,40,571,0.657,14,0,1.732,"900-10-24B0004.tiff"
21,11,5,7,15,174,0.546,5,0,1.092,"900-10-24B0004.tiff"
22,7,3,5,9,119,0.592,3,0,0.987,"900-10-24B0004.tiff"
23,44,21,24,57,1337,1.062,20,1,3.296,"900-10-24B0004.tiff"
24,9,4,6,12,175,0.654,4,0,1.212,"900-10-24B0004.tiff"
25,5,2,4,7,103,0.699,2,0,1.105,"900-10-24B0004.tiff"
26,9,4,6,13,198,0.765,4,0,1.282,"900-10-24B0004.tiff"
