filename,fit_method,data_pts,rchi2,red_rchi2,aic,bic,G2_amplitude,G2_center,G2_sigma,G2_fwhm,G2_height,SG1_amplitude,SG1_center,SG1_sigma,SG1_gamma,SG1_height,SG1_fwhm
WH01A-1100-5-20Ni-A0008.tiff-.txt,leastsq,512,0.04906230369359938,9.715307662098887e-05,-4723.530321733933,-4693.862049358657,0.08505114920934098,1.3271142841181847,0.5480163471872441,1.2904798546834664,0.06191512581215836,0.9224792116723329,-3.2757058928134164,1.6212964215790713,3.9184111501553485,0.2269887070054198,3.817861239462829
WH01A-1100-5-20Ni-A0010.tiff-.txt,leastsq,512,0.005592887208172036,1.1075024174598092e-05,-5835.387138555725,-5805.7188661804485,0.06313952003844303,0.8917374629362905,0.6905388986763663,1.626094809381081,0.036477344568590114,0.9366632765168396,-3.363280696663825,1.6908537444679168,5.488603380451229,0.22099758957966711,3.98165621454794
WH01A-1100-5-20Ni-A0012.tiff-.txt,leastsq,512,0.0205521760157447,4.06973782489994e-05,-5169.033896878697,-5139.365624503421,0.08482555965562011,1.1751638900308357,0.5920527616249429,1.394177684129648,0.057157919126872986,0.915487796468611,-3.302308173410951,1.5948589156516455,4.812610304795639,0.22900258045451694,3.755605671754808
WH02A-1100-5-28Ni-A0008.tiff-.txt,leastsq,512,0.022479327032142067,4.4513518875528846e-05,-5123.143713657276,-5093.475441281999,0.3054896993996258,0.5396123546595439,1.0740398563817022,2.52917053460476,0.11347136009958561,0.7013147602020089,-3.3343438838602544,1.4735715985316342,3.07103401318235,0.18986802116553658,3.469995871654263
WH02A-1100-5-28Ni-A0010.tiff-.txt,leastsq,512,0.0014783976738811555,2.9275201462993177e-06,-6516.621980426495,-6486.953708051218,0.38094818848348255,0.5108378157626285,0.896908104578302,2.112057142823077,0.16944472429077734,0.6224047671955205,-3.3982271913381754,1.8631336306651778,3.5011465878923174,0.1332720236858673,4.3873443361629745
WH02A-1100-5-28Ni-A0012.tiff-.txt,leastsq,512,0.0007059153174444835,1.3978521137514523e-06,-6895.102028629627,-6865.433756254351,0.25663239173962826,0.8659796766720717,0.7785179726305993,1.833269692309988,0.13150822487650846,0.7473161811540666,-3.03451156903524,1.752421875042748,2.5758680835415824,0.1701280042110564,4.126638079788164
WH02B-1000-5-28B0002.tiff-.txt,leastsq,512,0.01135494631233867,2.248504220265083e-05,-5472.810345770424,-5443.142073395147,0.4741579291450949,0.1833174477374082,1.1558233299833758,2.7217558939114532,0.1636596613940142,0.530798885007032,-3.2354305180513836,1.204774797798289,2.277671347582727,0.17576573514745347,2.837027789351367
WH02B-1000-5-28B0004.tiff-.txt,leastsq,512,0.001215118200963846,2.4061746553739528e-06,-6617.034136175145,-6587.365863799869,0.2705687051958656,0.8433609460356952,0.8202484282954058,1.9315374039185875,0.1315958651492672,0.7327459236732513,-3.1126176834504515,1.5608752161177057,2.1813561590156514,0.18728168727857308,3.675580176418296
WH02B-1000-5-28B0006.tiff-.txt,leastsq,512,0.005847388825002605,1.1578987772282386e-05,-5812.603364927591,-5782.935092552315,0.304670222652883,0.7487084801546255,0.8986436940835423,2.116144143701807,0.13525476244576393,0.6994708810115264,-3.1530293843909525,1.5855836643403216,3.0795771986123377,0.17599104249718805,3.733764124461876
WH02C-1100-5-28C0002.tiff-.txt,leastsq,512,0.002889869836751536,5.722514528220863e-06,-6173.452642354134,-6143.784369978857,0.2084543372916532,0.7856866356050023,0.7349040119793444,1.7305666654891998,0.1131593397348949,0.7948827801625725,-3.2944631297352784,1.8813071147941067,3.2302179143662957,0.16855959457908942,4.4301396200594585
WH02C-1100-5-28C0004.tiff-.txt,leastsq,512,0.012781827183243702,2.53105488777103e-05,-5412.204412521981,-5382.536140146704,0.27161575108772273,0.929962081455455,0.7873279870726484,1.854015690518414,0.13762880811344144,0.736571674086782,-3.1151794378356312,1.9999999999655635,2.926887054666927,0.1469247988900454,4.709639999918909
WH02C-1100-5-28C0006.tiff-.txt,leastsq,512,0.0014132211789752982,2.7984577801491055e-06,-6539.706639919735,-6510.038367544458,0.49710466147486365,0.3130031093070831,1.0072875634260405,2.3719809001069088,0.19688129208602578,0.5050300537145178,-3.121684001367371,1.3636954968970727,2.347235796438407,0.14774401738249648,3.211257430003165
WH03A-1100-5-35Ni-A0010.tiff-.txt,leastsq,512,0.01953610298604201,3.868535244760794e-05,-5194.993646112714,-5165.325373737437,0.09797128285605106,1.2153747349044615,0.6047536571882588,1.4240860070200556,0.06462943787436497,0.904967919222822,-3.2788027523290757,1.29072480401668,3.837488587847143,0.2797110445212311,3.0394245829945588
WH03A-1100-5-35Ni-A0012.tiff-.txt,leastsq,512,0.062456563122123866,0.00012367636261806706,-4599.9435924187355,-4570.275320043459,0.019304052456510457,1.2958390952841108,0.2916056941915559,0.6866789207961598,0.026409645763851266,0.9838305052283475,-3.3511002531378025,1.6056683925654078,5.23125434323296,0.24444125971668876,3.7810600441808737
WH03A-1100-5-35Ni-A0014.tiff-.txt,leastsq,512,0.03965426615608883,7.852329931898779e-05,-4832.531259579965,-4802.862987204689,0.06702011592471657,1.4396025413969948,0.5160458091714754,1.2151949923531737,0.05181160028447909,0.9269362346347729,-3.360370500280982,1.384098691005101,5.70844493739976,0.2671731978375039,3.259303279552632
