Distance (µm),Ni Kα1 (counts),
4.90205926264061,154,
4.91419307269665,154,
4.92632688275269,145,
4.93846069280874,193,
4.95059450286478,154,
4.96272831292082,184,
4.97486212297686,180,
4.9869959330329,177,
4.99912974308894,176,
5.01126355314498,153,
5.02339736320102,177,
5.03553117325706,159,
5.04766498331311,157,
5.05979879336915,162,
5.07193260342519,155,
5.08406641348123,167,
5.09620022353727,152,
5.10833403359331,168,
5.12046784364935,172,
5.13260165370539,177,
5.14473546376143,182,
5.15686927381748,190,
5.16900308387352,186,
5.18113689392956,186,
5.1932707039856,151,
5.20540451404164,176,
5.21753832409768,184,
5.22967213415372,163,
5.24180594420976,177,
5.25393975426581,172,
5.26607356432185,180,
5.27820737437789,177,
5.29034118443393,156,
5.30247499448997,173,
5.31460880454601,181,
5.32674261460205,156,
5.33887642465809,159,
5.35101023471413,175,
5.36314404477018,178,
5.37527785482622,174,
5.38741166488226,156,
5.3995454749383,179,
5.41167928499434,177,
5.42381309505038,146,
5.43594690510642,168,
5.44808071516246,169,
5.4602145252185,165,
5.47234833527455,169,
5.48448214533059,151,
5.49661595538663,166,
5.50874976544267,148,
5.52088357549871,145,
5.53301738555475,147,
5.54515119561079,167,
5.55728500566683,159,
5.56941881572287,174,
5.58155262577892,162,
5.59368643583496,171,
5.605820245891,158,
5.61795405594704,171,
5.63008786600308,172,
5.64222167605912,176,
5.65435548611516,182,
5.6664892961712,169,
5.67862310622724,178,
5.69075691628329,174,
5.70289072633933,169,
5.71502453639537,160,
5.72715834645141,157,
5.73929215650745,162,
5.75142596656349,174,
5.76355977661953,165,
5.77569358667557,159,
5.78782739673161,153,
5.79996120678766,165,
5.8120950168437,155,
5.82422882689974,166,
5.83636263695578,162,
5.84849644701182,163,
5.86063025706786,161,
5.8727640671239,145,
5.88489787717994,162,
5.89703168723598,160,
5.90916549729203,167,
5.92129930734807,158,
5.93343311740411,172,
5.94556692746015,183,
5.95770073751619,161,
5.96983454757223,152,
5.98196835762827,157,
5.99410216768431,160,
