filename,fit_method,data_pts,rchi2,red_rchi2,aic,bic,G2_amplitude,G2_center,G2_sigma,G2_fwhm,G2_height,SG1_amplitude,SG1_center,SG1_sigma,SG1_gamma,SG1_height,SG1_fwhm,Label,WHpeakNum
WH20B.txt,leastsq,512,0.021924781,4.34E-05,-5135.932722,-5106.264449,0.009053456,8.88E-09,0.584605497,1.376640715,0.006178195,1.065275244,-2.808277139,1.163054943,1.262877558,0.365402648,2.738785042,WH20B,1
WH20C.txt,leastsq,512,0.06087417,0.000120543,-4613.082729,-4583.414457,0.004647646,0.067965388,0.177764094,0.418602444,0.010430354,1.062538754,-2.045427708,0.874813767,0.003360682,0.484550736,2.060028954,WH20C,1
WH21B.txt,leastsq,512,0.320142488,0.000633946,-3763.184631,-3733.516358,2.82E-10,9.95E-06,2,4.70964,5.62E-11,1.092578133,-2.724454755,2,2.241975739,0.217937817,4.70964,WH21B,1
WH22B.txt,leastsq,512,0.284107295,0.000562589,-3824.324703,-3794.656431,0.094931134,2.02E-08,0.404426386,0.952351343,0.093643852,0.946660869,-1.374142887,1.13999254,0.058908687,0.331285558,2.684477234,WH22B,1
WH22C.txt,leastsq,512,0.264257472,0.000523282,-3861.407874,-3831.739602,1.47E-10,2.54E-07,1.999960111,4.709546069,2.94E-11,1.051464444,-1.282635744,1.151533554,0.02528211,0.364273922,2.711654243,WH22C,1
WH23A.txt,leastsq,512,0.09016745,0.000178549,-4411.938638,-4382.270366,0.187883819,1.44E-10,0.767935403,1.808349646,0.097605609,1.158363235,-1.524535474,1.673957974,0.007448628,0.276064334,3.941869717,WH23A,1
WH23B.txt,leastsq,512,0.100524685,0.000199059,-4356.266409,-4326.598137,0.117164105,7.57E-10,0.80049601,1.885024013,0.058390944,1.202556618,-1.830980608,1.637652029,0.013322718,0.292950331,3.856375751,WH23B,1
WH23C.txt,leastsq,512,0.100674138,0.000199355,-4355.505772,-4325.837499,0.195456256,7.30E-09,0.846324613,1.992942126,0.092134586,1.241811737,-1.864914583,1.75638202,0.01496915,0.282063483,4.135963507,WH23C,1
WH24A.txt,leastsq,512,0.00197076,3.90E-06,-6369.442128,-6339.773855,0.293347674,0.781745511,0.993056973,2.338470422,0.117847011,0.701568882,-3.299781582,1.378148521,3.128784854,0.203088056,3.245291699,WH24A,2
WH24C.txt,leastsq,512,0.00921447,1.82E-05,-5579.756099,-5550.087827,0.411020952,0.108915944,1.195558049,2.815324004,0.13715239,0.644868479,-2.994854207,1.064093629,0.884741644,0.241769434,2.505748959,WH24C,2
WH25A.txt,leastsq,512,0.080475429,0.000159357,-4470.161535,-4440.493262,4.61E-10,0.013250388,1.905186576,4.486371453,9.66E-11,1.048696889,-1.82665531,0.93739361,0.026148333,0.446311501,2.207393221,WH25A,1
WH25B.txt,leastsq,512,1.088219484,0.00215489,-3136.736264,-3107.067991,3.91E-10,0.56590172,1.977545103,4.65676276,7.90E-11,1.158062958,-2.923421687,2,3.084844985,0.23100015,4.70964,WH25B,1
WH26A.txt,leastsq,512,0.025293148,5.01E-05,-5062.759736,-5033.091463,3.82E-11,1.880715729,2,4.70964,7.63E-12,1.058605585,-2.647264871,1.542770009,1.493342472,0.273743037,3.632945672,WH26A,1
WH26B.txt,leastsq,512,0.057307931,0.000113481,-4643.992131,-4614.323858,0.049574589,0.295446579,0.418224989,0.984844568,0.047288903,0.989227164,-1.77067131,1.006096422,0.003620712,0.392253219,2.369175977,WH26B,1
WH26C.txt,leastsq,512,0.066010469,0.000130714,-4571.608475,-4541.940203,0.006757916,1.683670724,0.384068255,0.904411608,0.007019634,1.089299741,-1.838499279,1.15864172,0.01139369,0.375066543,2.728392696,WH26C,1
WH27A.txt,leastsq,512,0.017288452,3.42E-05,-5257.573053,-5227.90478,0.17698956,0.480237234,0.747222876,1.759575372,0.094494728,0.892878829,-1.984552085,1.086835591,0.02845159,0.327747027,2.559302187,WH27A,1
WH27B.txt,leastsq,512,0.021697824,4.30E-05,-5141.260385,-5111.592113,0.258175444,5.23E-08,1.205764165,2.839357571,0.085420606,0.763102847,-3.182014719,1.933858143,4.191896203,0.157423132,4.553887833,WH27B,1
WH27C.txt,leastsq,512,0.036676103,7.26E-05,-4872.504706,-4842.836434,0.135982657,1.45E-10,0.796015353,1.874472873,0.068150989,0.908665642,-3.136274699,1.999999748,2.701043749,0.181252603,4.709639408,WH27C,1
WH28A.txt,leastsq,512,0.20137258,0.000398758,-4000.552616,-3970.884344,0.000370264,0.002198852,0.082591011,0.194486964,0.001788498,1.482599364,-2.958556594,0.912061498,0.002698404,0.648499692,2.147740656,WH28A,1
WH28B.txt,leastsq,512,0.089298826,0.000176829,-4416.89488,-4387.226608,1.41E-10,1.999819874,1.797303847,4.232327045,3.13E-11,1.107216309,-3.30757182,1.122626899,2.737150067,0.393465916,2.643584274,WH28B,1
WH28C.txt,leastsq,512,0.049319281,9.77E-05,-4720.855584,-4691.187311,0.03327,1.990148625,0.084360757,0.198654398,0.157333939,1.044472032,-3.280685758,1.188947031,4.844670102,0.350464793,2.799756249,WH28C,1
WH29A.txt,leastsq,512,0.042426839,8.40E-05,-4797.928959,-4768.260687,0.006283878,1.981891755,0.384716227,0.905937465,0.006516244,1.149462326,-3.182250983,1.106238264,1.4391621,0.414530177,2.60499199,WH29A,1
WH29B.txt,leastsq,512,0.092387947,0.000182946,-4399.482688,-4369.814416,0.01473897,8.46E-11,0.740393653,1.743493781,0.007941719,1.17411993,-2.474199257,0.891612775,0.002103736,0.52534701,2.099587594,WH29B,1
WH29C.txt,leastsq,512,0.103188745,0.000204334,-4342.8743,-4313.206028,0.011309804,1.33E-08,0.517718589,1.219134088,0.00871508,1.113898124,-3.000895417,1.068664903,1.158938457,0.415828271,2.516513487,WH29C,1
WH30A.txt,leastsq,512,0.005155923,1.02E-05,-5877.038055,-5847.369783,0.110745587,0.143420962,0.667816345,1.572587286,0.066157559,0.936214842,-3.038106369,1.954316664,2.69324893,0.191113195,4.602063968,WH30A,1
WH30B.txt,leastsq,512,0.046794204,9.27E-05,-4747.764122,-4718.09585,0.24181257,3.71E-13,0.761743591,1.793769044,0.126642697,0.787790722,-3.18801505,1.925679505,3.802468659,0.163206308,4.534628611,WH30B,1
WH30C.txt,leastsq,512,0.013350809,2.64E-05,-5389.905492,-5360.23722,0.137868671,2.34E-10,0.713462584,1.680075961,0.077091141,0.893132891,-2.910106972,1.811450243,2.469517115,0.196697917,4.26563926,WH30C,1
WH31A.txt,leastsq,512,0.020986031,4.16E-05,-5158.338108,-5128.669835,0.336083049,0.301615926,0.719383585,1.694018854,0.186378654,0.738347859,-1.813246836,1.263721609,0.022539299,0.233087882,2.975836919,WH31A,2
WH31B.txt,leastsq,512,0.037873287,7.50E-05,-4856.058937,-4826.390665,0.479921803,0.067687735,0.810313814,1.908143175,0.236280198,0.600775734,-2.722088967,1.405786143,0.821792218,0.170491688,3.310373324,WH31B,2
WH31C.txt,leastsq,512,0.027444222,5.43E-05,-5020.969213,-4991.300941,0.522595282,0.051579523,0.797936044,1.878995756,0.261280795,0.547533446,-2.307937573,1.243497168,0.333649985,0.175661238,2.928212002,WH31C,2
WH32A.txt,leastsq,512,0.002642098,5.23E-06,-6219.347397,-6189.679125,0.388075218,0.564149391,1.002798415,2.361409764,0.15438758,0.65296051,-3.092034048,1.33960489,1.660529219,0.194455522,3.154528387,WH32A,2
WH32B.txt,leastsq,512,0.011003266,2.18E-05,-5488.918514,-5459.250242,0.33463183,0.609399711,0.954727532,2.248211487,0.139829205,0.663795177,-3.278000901,1.797560622,5.021192994,0.147319635,4.232931704,WH32B,2
WH32C.txt,leastsq,512,0.019385947,3.84E-05,-5198.944127,-5169.275854,0.261264407,1.008374471,0.955762271,2.250648112,0.109053712,0.805883224,-3.257158431,1.999999997,2.38801773,0.160750454,4.709639993,WH32C,2
WH33A.txt,leastsq,512,0.011059877,2.19E-05,-5486.291077,-5456.622805,0.345684974,0.434192947,0.871489866,2.052201767,0.158244363,0.686463746,-2.828133365,1.509556611,1.667725061,0.181417128,3.5547341,WH33A,2
