X	Y	Dlc	r²	Standard-Error	y-intercept	Local-Fractal-Dimension	r²	Standard-Error	y-intercept
206.0	949.0	1.1556	0.9904	0.1108	8.1902	1.1556	0.9904	0.1108	8.1902	
206.0	950.0	1.1506	0.989	0.1183	8.2146	1.1506	0.989	0.1183	8.2146	
206.0	951.0	1.1852	0.997	0.0634	8.3568	1.1852	0.997	0.0634	8.3568	
206.0	973.0	1.0977	0.9956	0.071	7.7649	1.0977	0.9956	0.071	7.7649	
206.0	1063.0	1.1764	0.9896	0.1174	8.3985	1.1764	0.9896	0.1174	8.3985	
207.0	18.0	1.0832	0.9842	0.1338	7.7689	1.0832	0.9842	0.1338	7.7689	
207.0	19.0	1.1111	0.9922	0.0959	7.8855	1.1111	0.9922	0.0959	7.8855	
207.0	136.0	1.2436	0.999	0.0374	8.7211	1.2436	0.999	0.0374	8.7211	
207.0	137.0	1.2082	0.9929	0.0993	8.5935	1.2082	0.9929	0.0993	8.5935	
207.0	177.0	1.1526	0.9527	0.2499	7.8956	1.1526	0.9527	0.2499	7.8956	
207.0	191.0	1.3162	0.9987	0.0466	9.2062	1.3162	0.9987	0.0466	9.2062	
207.0	193.0	1.3438	0.9934	0.1069	9.4353	1.3438	0.9934	0.1069	9.4353	
207.0	194.0	1.3388	0.9968	0.0734	9.4044	1.3388	0.9968	0.0734	9.4044	
207.0	195.0	1.355	0.9957	0.0868	9.4119	1.355	0.9957	0.0868	9.4119	
207.0	377.0	1.1969	0.9982	0.0498	8.4179	1.1969	0.9982	0.0498	8.4179	
207.0	378.0	1.2213	0.9982	0.0498	8.5698	1.2213	0.9982	0.0498	8.5698	
207.0	391.0	1.1142	0.9967	0.0626	7.8771	1.1142	0.9967	0.0626	7.8771	
207.0	392.0	1.1102	0.9964	0.0647	7.8499	1.1102	0.9964	0.0647	7.8499	
207.0	393.0	1.1084	0.9964	0.0649	7.8313	1.1084	0.9964	0.0649	7.8313	
207.0	394.0	1.1064	0.9959	0.0688	7.8034	1.1064	0.9959	0.0688	7.8034	
207.0	423.0	1.1194	0.9915	0.1011	7.8526	1.1194	0.9915	0.1011	7.8526	
207.0	424.0	1.1328	0.9893	0.1145	7.9597	1.1328	0.9893	0.1145	7.9597	
207.0	425.0	1.1471	0.9946	0.0824	8.0566	1.1471	0.9946	0.0824	8.0566	
207.0	426.0	1.1643	0.9965	0.067	8.1523	1.1643	0.9965	0.067	8.1523	
207.0	434.0	1.1364	0.9949	0.0794	7.9643	1.1364	0.9949	0.0794	7.9643	
207.0	435.0	1.1204	0.9911	0.1036	7.8499	1.1204	0.9911	0.1036	7.8499	
207.0	436.0	1.1361	0.9906	0.1079	7.8651	1.1361	0.9906	0.1079	7.8651	
207.0	437.0	1.1155	0.9884	0.1178	7.7069	1.1155	0.9884	0.1178	7.7069	
207.0	438.0	1.0777	0.9897	0.1068	7.4653	1.0777	0.9897	0.1068	7.4653	
207.0	439.0	1.0287	0.9991	0.0297	7.1686	1.0287	0.9991	0.0297	7.1686	
207.0	440.0	1.0225	0.9992	0.0275	7.1278	1.0225	0.9992	0.0275	7.1278	
207.0	441.0	1.0655	0.9831	0.1361	7.3784	1.0655	0.9831	0.1361	7.3784	
207.0	442.0	1.103	0.9777	0.1623	7.6033	1.103	0.9777	0.1623	7.6033	
207.0	443.0	1.134	0.98	0.1576	7.7984	1.134	0.98	0.1576	7.7984	
207.0	444.0	1.1606	0.9834	0.1469	7.9743	1.1606	0.9834	0.1469	7.9743	
207.0	445.0	1.1808	0.9876	0.1288	8.1221	1.1808	0.9876	0.1288	8.1221	
207.0	446.0	1.187	0.9921	0.1032	8.1979	1.187	0.9921	0.1032	8.1979	
207.0	447.0	1.1757	0.9958	0.0744	8.184	1.1757	0.9958	0.0744	8.184	
207.0	448.0	1.1492	0.9987	0.0406	8.0925	1.1492	0.9987	0.0406	8.0925	
207.0	449.0	1.1572	0.9987	0.0405	8.146	1.1572	0.9987	0.0405	8.146	
207.0	450.0	1.1671	0.9985	0.0445	8.2161	1.1671	0.9985	0.0445	8.2161	
207.0	451.0	1.2055	0.9919	0.1063	8.4044	1.2055	0.9919	0.1063	8.4044	
207.0	452.0	1.1954	0.9963	0.071	8.3699	1.1954	0.9963	0.071	8.3699	
207.0	453.0	1.2033	0.9945	0.0871	8.398	1.2033	0.9945	0.0871	8.398	
207.0	489.0	1	1	0	6.9921	1	1	0	6.9921	
207.0	632.0	1.2238	0.9726	0.2	8.7873	1.2238	0.9726	0.2	8.7873	
207.0	633.0	1.224	0.9699	0.2098	8.7944	1.224	0.9699	0.2098	8.7944	
207.0	634.0	1.2272	0.9859	0.1428	8.7605	1.2272	0.9859	0.1428	8.7605	
207.0	635.0	1.2449	0.9984	0.0481	8.7132	1.2449	0.9984	0.0481	8.7132	
207.0	682.0	1.2746	0.9984	0.05	8.9301	1.2746	0.9984	0.05	8.9301	
207.0	698.0	1.119	0.989	0.1146	7.9796	1.1244	0.99	0.1101	8.011	
207.0	757.0	0.9255	0.9826	0.1198	6.5834	0.9255	0.9826	0.1198	6.5834	
207.0	947.0	1.0873	0.9855	0.1285	7.7558	1.0873	0.9855	0.1285	7.7558	
207.0	948.0	1.0978	0.9819	0.1453	7.8823	1.0978	0.9819	0.1453	7.8823	
207.0	949.0	1.1556	0.9904	0.1108	8.1902	1.1556	0.9904	0.1108	8.1902	
207.0	973.0	1.0887	0.9951	0.0745	7.7182	1.0887	0.9951	0.0745	7.7182	
207.0	1063.0	1.2017	0.9968	0.0659	8.4699	1.2017	0.9968	0.0659	8.4699	
207.0	1064.0	1.1874	0.9904	0.1137	8.4694	1.1874	0.9904	0.1137	8.4694	
208.0	19.0	1.0932	0.985	0.1315	7.8414	1.0932	0.985	0.1315	7.8414	
208.0	136.0	1.2133	0.9936	0.0946	8.622	1.2133	0.9936	0.0946	8.622	
208.0	177.0	1.0352	0.9929	0.0853	7.1988	1.0655	0.9831	0.1361	7.3784	
208.0	191.0	1.3466	0.9929	0.1109	9.2852	1.3466	0.9929	0.1109	9.2852	
208.0	195.0	1.3647	0.9928	0.1128	9.5467	1.3647	0.9928	0.1128	9.5467	
208.0	196.0	1.3385	0.992	0.1173	9.3617	1.3385	0.992	0.1173	9.3617	
208.0	377.0	1.1753	0.9917	0.1049	8.3056	1.1753	0.9917	0.1049	8.3056	
208.0	394.0	1.1064	0.9959	0.0688	7.8034	1.1064	0.9959	0.0688	7.8034	
208.0	395.0	1.0974	0.9957	0.0701	7.7645	1.0974	0.9957	0.0701	7.7645	
208.0	396.0	1.0889	0.995	0.0753	7.7185	1.0889	0.995	0.0753	7.7185	
208.0	397.0	1.0838	0.9944	0.0794	7.6858	1.0838	0.9944	0.0794	7.6858	
208.0	418.0	1.0471	0.9943	0.0774	7.4031	1.0471	0.9943	0.0774	7.4031	
208.0	419.0	1.0521	0.9954	0.0694	7.4366	1.0521	0.9954	0.0694	7.4366	
208.0	420.0	1.0884	0.9974	0.0543	7.6015	1.0884	0.9974	0.0543	7.6015	
208.0	421.0	1.0873	0.9971	0.0573	7.5981	1.0873	0.9971	0.0573	7.5981	
208.0	422.0	1.0836	0.9919	0.0956	7.632	1.0836	0.9919	0.0956	7.632	
208.0	423.0	1.1092	0.9932	0.0892	7.7923	1.1092	0.9932	0.0892	7.7923	
208.0	453.0	1.1828	0.9961	0.0719	8.2672	1.1828	0.9961	0.0719	8.2672	
208.0	454.0	1.1784	0.9957	0.0751	8.2539	1.1784	0.9957	0.0751	8.2539	
208.0	455.0	1.1704	0.9952	0.0795	8.2092	1.1704	0.9952	0.0795	8.2092	
208.0	456.0	1.159	0.9946	0.0834	8.1419	1.159	0.9946	0.0834	8.1419	
208.0	489.0	1	1	0	6.9921	1	1	0	6.9921	
208.0	633.0	1.2074	0.965	0.2239	8.7437	1.2074	0.965	0.2239	8.7437	
208.0	682.0	1.268	0.9994	0.0306	8.8789	1.268	0.9994	0.0306	8.8789	
208.0	698.0	1.1294	0.9916	0.101	8.0134	1.1294	0.9916	0.101	8.0134	
208.0	699.0	1.1294	0.9916	0.101	8.0134	1.1294	0.9916	0.101	8.0134	
208.0	757.0	0.8828	0.9903	0.0851	6.2698	0.8828	0.9903	0.0851	6.2698	
208.0	946.0	1.007	0.9673	0.1802	7.3067	1.007	0.9673	0.1802	7.3067	
208.0	947.0	1.0593	0.9775	0.1566	7.6393	1.0593	0.9775	0.1566	7.6393	
208.0	973.0	1.0887	0.9951	0.0745	7.7182	1.0887	0.9951	0.0745	7.7182	
208.0	974.0	1.0887	0.9951	0.0745	7.7182	1.0887	0.9951	0.0745	7.7182	
208.0	1064.0	1.1819	0.993	0.0963	8.4041	1.1819	0.993	0.0963	8.4041	
208.0	1065.0	1.1952	0.9911	0.1102	8.518	1.1952	0.9911	0.1102	8.518	
209.0	19.0	1.1265	0.99	0.1101	8.0001	1.1265	0.99	0.1101	8.0001	
209.0	20.0	1.1265	0.99	0.1101	8.0001	1.1265	0.99	0.1101	8.0001	
209.0	135.0	1.2273	0.9951	0.0841	8.7018	1.2273	0.9951	0.0841	8.7018	
209.0	136.0	1.2393	0.9992	0.0332	8.6969	1.2393	0.9992	0.0332	8.6969	
209.0	177.0	1	1	0	6.9921	1.0152	0.9986	0.0368	7.0813	
209.0	191.0	1.334	0.9909	0.1242	9.1463	1.334	0.9909	0.1242	9.1463	
209.0	196.0	1.387	0.9943	0.1018	9.6518	1.387	0.9943	0.1018	9.6518	
209.0	197.0	1.323	0.9944	0.0967	9.2954	1.323	0.9944	0.0967	9.2954	
209.0	198.0	1.3066	0.9973	0.0663	9.1164	1.3066	0.9973	0.0663	9.1164	
209.0	199.0	1.2506	0.9961	0.0764	8.7458	1.2506	0.9961	0.0764	8.7458	
209.0	200.0	1.2129	0.992	0.1063	8.4376	1.2129	0.992	0.1063	8.4376	
209.0	201.0	1.1955	0.9904	0.1143	8.2547	1.1955	0.9904	0.1143	8.2547	
209.0	202.0	1.1666	0.9713	0.1953	7.9785	1.1666	0.9713	0.1953	7.9785	
209.0	203.0	1.1808	0.922	0.3344	7.8478	1.1808	0.922	0.3344	7.8478	
209.0	376.0	1.1733	0.9986	0.0429	8.2363	1.1733	0.9986	0.0429	8.2363	
209.0	377.0	1.1915	0.9982	0.0491	8.3456	1.1915	0.9982	0.0491	8.3456	
209.0	397.0	1.0838	0.9944	0.0794	7.6858	1.0838	0.9944	0.0794	7.6858	
209.0	398.0	1.0818	0.983	0.1386	7.7121	1.0818	0.983	0.1386	7.7121	
209.0	399.0	1.1359	0.9935	0.0894	7.9856	1.1359	0.9935	0.0894	7.9856	
209.0	413.0	1.1102	0.9883	0.1174	7.7777	1.1102	0.9883	0.1174	7.7777	
209.0	414.0	1.08	0.9897	0.1071	7.5999	1.08	0.9897	0.1071	7.5999	
209.0	415.0	1.0758	0.9966	0.0608	7.5248	1.0822	0.9965	0.062	7.5621	
209.0	416.0	1.0758	0.9966	0.0608	7.5248	1.0758	0.9966	0.0608	7.5248	
209.0	417.0	1.0391	0.9949	0.0724	7.3593	1.0391	0.9949	0.0724	7.3593	
209.0	418.0	1.0471	0.9943	0.0774	7.4031	1.0471	0.9943	0.0774	7.4031	
209.0	456.0	1.1498	0.9956	0.0741	8.087	1.1498	0.9956	0.0741	8.087	
209.0	457.0	1.1059	0.9867	0.1252	7.8776	1.1059	0.9867	0.1252	7.8776	
209.0	458.0	1.101	0.9915	0.0993	7.8229	1.101	0.9915	0.0993	7.8229	
209.0	489.0	1	1	0	6.9921	1	1	0	6.9921	
209.0	630.0	1.3988	0.9534	0.3011	9.3767	1.3988	0.9534	0.3011	9.3767	
209.0	631.0	1.3253	0.9878	0.1435	9.1874	1.3253	0.9878	0.1435	9.1874	
209.0	632.0	1.2485	0.9848	0.1509	8.9105	1.2485	0.9848	0.1509	8.9105	
209.0	633.0	1.2486	0.9827	0.1614	8.9181	1.2486	0.9827	0.1614	8.9181	
209.0	679.0	1.3434	0.9898	0.1326	9.3699	1.3434	0.9898	0.1326	9.3699	
209.0	680.0	1.298	0.9899	0.1276	9.1513	1.298	0.9899	0.1276	9.1513	
209.0	681.0	1.2513	0.9951	0.0858	8.8718	1.2513	0.9951	0.0858	8.8718	
209.0	682.0	1.2633	0.9986	0.0465	8.8284	1.2633	0.9986	0.0465	8.8284	
209.0	699.0	1.0786	0.9789	0.1542	7.7613	1.0786	0.9789	0.1542	7.7613	
209.0	757.0	0.8348	0.9939	0.0636	5.8958	0.8348	0.9939	0.0636	5.8958	
209.0	944.0	0.9315	0.9829	0.1197	6.6892	0.9315	0.9829	0.1197	6.6892	
209.0	945.0	0.951	0.958	0.1937	6.9344	0.951	0.958	0.1937	6.9344	
209.0	946.0	1.0349	0.9779	0.1514	7.4232	1.0349	0.9779	0.1514	7.4232	
209.0	974.0	1.064	0.9845	0.1298	7.6142	1.064	0.9845	0.1298	7.6142	
209.0	1065.0	1.1848	0.9918	0.1051	8.4402	1.1848	0.9918	0.1051	8.4402	
209.0	1066.0	1.2034	0.9922	0.1038	8.5678	1.2034	0.9922	0.1038	8.5678	
210.0	20.0	1.1077	0.987	0.1239	7.9319	1.1077	0.987	0.1239	7.9319	
210.0	134.0	1.2442	0.9964	0.0724	8.795	1.2442	0.9964	0.0724	8.795	
210.0	135.0	1.2193	0.9959	0.0765	8.6287	1.2193	0.9959	0.0765	8.6287	
210.0	177.0	1	1	0	6.9921	1	1	0	6.9921	
210.0	191.0	1.3102	0.9838	0.1635	8.946	1.3102	0.9838	0.1635	8.946	
210.0	198.0	1.2828	0.9934	0.102	9.0876	1.2828	0.9934	0.102	9.0876	
210.0	304.0	1.0096	0.9912	0.0928	7.1678	1.0159	0.99	0.0993	7.2051	
210.0	305.0	0.9917	0.9996	0.02	6.9435	1	1	0	6.9921	
210.0	376.0	1.1643	0.9981	0.049	8.1785	1.1643	0.9981	0.049	8.1785	
210.0	399.0	1.1454	0.9921	0.0997	8.0416	1.1454	0.9921	0.0997	8.0416	
210.0	400.0	1.1775	0.9917	0.105	8.2244	1.1775	0.9917	0.105	8.2244	
210.0	401.0	1.2236	0.9934	0.0971	8.458	1.2236	0.9934	0.0971	8.458	
210.0	402.0	1.2013	0.9958	0.0758	8.378	1.2013	0.9958	0.0758	8.378	
210.0	403.0	1.1969	0.9973	0.0603	8.3639	1.1969	0.9973	0.0603	8.3639	
210.0	408.0	1.1727	0.9988	0.0391	8.2365	1.1727	0.9988	0.0391	8.2365	
210.0	409.0	1.179	0.9976	0.0564	8.2535	1.179	0.9976	0.0564	8.2535	
210.0	410.0	1.2148	0.9955	0.0792	8.3896	1.2148	0.9955	0.0792	8.3896	
210.0	411.0	1.2051	0.9939	0.0919	8.3133	1.2051	0.9939	0.0919	8.3133	
210.0	412.0	1.1497	0.9864	0.1312	8.0235	1.1497	0.9864	0.1312	8.0235	
210.0	413.0	1.125	0.9847	0.1366	7.8657	1.125	0.9847	0.1366	7.8657	
210.0	458.0	1.101	0.9915	0.0993	7.8229	1.101	0.9915	0.0993	7.8229	
210.0	459.0	1.0855	0.9859	0.1266	7.77	1.0855	0.9859	0.1266	7.77	
210.0	460.0	1.1101	0.9917	0.0987	7.881	1.1101	0.9917	0.0987	7.881	
210.0	489.0	1	1	0	6.9921	1	1	0	6.9921	
210.0	633.0	1.2721	0.9933	0.1014	8.9944	1.2721	0.9933	0.1014	8.9944	
210.0	634.0	1.3062	0.9942	0.0972	9.12	1.3062	0.9942	0.0972	9.12	
210.0	678.0	1.32	0.9928	0.1095	9.2556	1.32	0.9928	0.1095	9.2556	
210.0	679.0	1.3095	0.9887	0.1364	9.2154	1.3095	0.9887	0.1364	9.2154	
210.0	682.0	1.2561	0.9987	0.0449	8.782	1.2561	0.9987	0.0449	8.782	
210.0	699.0	1.0777	0.9795	0.1519	7.7041	1.0777	0.9795	0.1519	7.7041	
210.0	700.0	1.0498	0.9714	0.1755	7.5876	1.0498	0.9714	0.1755	7.5876	
210.0	757.0	0.839	0.9834	0.106	5.7275	0.839	0.9834	0.106	5.7275	
210.0	943.0	0.9226	0.9962	0.0551	6.4579	0.9226	0.9962	0.0551	6.4579	
210.0	944.0	0.9315	0.9829	0.1197	6.6892	0.9315	0.9829	0.1197	6.6892	
210.0	974.0	1.0887	0.9951	0.0745	7.7182	1.0887	0.9951	0.0745	7.7182	
210.0	975.0	1.0887	0.9951	0.0745	7.7182	1.0887	0.9951	0.0745	7.7182	
210.0	1066.0	1.1893	0.9913	0.1084	8.4759	1.1893	0.9913	0.1084	8.4759	
210.0	1067.0	1.2075	0.9927	0.1006	8.5926	1.2075	0.9927	0.1006	8.5926	
211.0	20.0	1.1393	0.994	0.0865	8.0634	1.1393	0.994	0.0865	8.0634	
211.0	21.0	1.1114	0.987	0.1243	7.9468	1.1114	0.987	0.1243	7.9468	
211.0	133.0	1.2761	0.9976	0.0605	8.9589	1.2761	0.9976	0.0605	8.9589	
211.0	134.0	1.2248	0.9949	0.0852	8.6826	1.2248	0.9949	0.0852	8.6826	
211.0	177.0	1	1	0	6.9921	1	1	0	6.9921	
211.0	191.0	1.272	0.9777	0.1871	8.6757	1.272	0.9777	0.1871	8.6757	
211.0	198.0	1.3132	0.988	0.1411	9.2503	1.3132	0.988	0.1411	9.2503	
211.0	303.0	1.0439	0.9774	0.1546	7.5157	1.0439	0.9774	0.1546	7.5157	
211.0	304.0	0.997	0.9732	0.1612	7.1917	0.997	0.9732	0.1612	7.1917	
211.0	376.0	1.1348	0.9982	0.0466	8.0031	1.1449	0.9982	0.0473	8.0625	
211.0	403.0	1.2212	0.9961	0.0739	8.5288	1.2212	0.9961	0.0739	8.5288	
211.0	404.0	1.2033	0.9984	0.0465	8.4653	1.2033	0.9984	0.0465	8.4653	
211.0	405.0	1.1998	0.9974	0.06	8.4504	1.1998	0.9974	0.06	8.4504	
211.0	406.0	1.1954	0.9971	0.0626	8.4242	1.1954	0.9971	0.0626	8.4242	
211.0	407.0	1.1671	0.9929	0.0961	8.2967	1.1671	0.9929	0.0961	8.2967	
211.0	408.0	1.1915	0.9976	0.057	8.3897	1.1915	0.9976	0.057	8.3897	
211.0	460.0	1.1101	0.9917	0.0987	7.881	1.1101	0.9917	0.0987	7.881	
211.0	461.0	1.0855	0.9859	0.1266	7.77	1.0855	0.9859	0.1266	7.77	
211.0	462.0	1.1068	0.9925	0.0935	7.857	1.1068	0.9925	0.0935	7.857	
211.0	489.0	1	1	0	6.9921	1.0222	0.9971	0.0537	7.1224	
211.0	634.0	1.3009	0.9952	0.0881	9.077	1.3009	0.9952	0.0881	9.077	
211.0	676.0	1.2972	0.9907	0.1221	9.0308	1.2972	0.9907	0.1221	9.0308	
211.0	677.0	1.3012	0.988	0.1394	9.1294	1.3012	0.988	0.1394	9.1294	
211.0	678.0	1.3428	0.9956	0.0872	9.3369	1.3428	0.9956	0.0872	9.3369	
211.0	682.0	1.2793	0.993	0.1044	8.8711	1.2793	0.993	0.1044	8.8711	
211.0	700.0	1.0083	0.9598	0.201	7.3341	1.0083	0.9598	0.201	7.3341	
211.0	701.0	1.0362	0.9694	0.1791	7.4506	1.0362	0.9694	0.1791	7.4506	
211.0	975.0	1.0826	0.9942	0.0804	7.6826	1.0826	0.9942	0.0804	7.6826	
211.0	1067.0	1.196	0.9917	0.1065	8.5205	1.196	0.9917	0.1065	8.5205	
211.0	1068.0	1.2117	0.9934	0.0964	8.6172	1.2117	0.9934	0.0964	8.6172	
212.0	21.0	1.1241	0.9898	0.1113	8.0101	1.1241	0.9898	0.1113	8.0101	
212.0	22.0	1.152	0.9971	0.0608	8.1266	1.152	0.9971	0.0608	8.1266	
212.0	39.0	1	1	0	6.9921	1	1	0	6.9921	
212.0	133.0	1.2385	0.9956	0.0797	8.7794	1.2385	0.9956	0.0797	8.7794	
212.0	177.0	1	1	0	6.9921	1	1	0	6.9921	
212.0	191.0	1.2187	0.979	0.1736	8.3287	1.2187	0.979	0.1736	8.3287	
212.0	198.0	1.3299	0.9928	0.1105	9.2675	1.3299	0.9928	0.1105	9.2675	
212.0	199.0	1.2395	0.9795	0.1747	8.8118	1.2395	0.9795	0.1747	8.8118	
212.0	302.0	1.1026	0.98	0.1532	7.9278	1.1026	0.98	0.1532	7.9278	
212.0	303.0	1.0579	0.9717	0.1758	7.6367	1.0579	0.9717	0.1758	7.6367	
212.0	375.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
212.0	376.0	1.1242	0.9977	0.0531	7.9403	1.1242	0.9977	0.0531	7.9403	
212.0	406.0	1.1852	0.9908	0.1111	8.4505	1.1852	0.9908	0.1111	8.4505	
212.0	462.0	1.1068	0.9925	0.0935	7.857	1.1068	0.9925	0.0935	7.857	
212.0	463.0	1.0856	0.9874	0.1196	7.7587	1.0856	0.9874	0.1196	7.7587	
212.0	464.0	1.1142	0.9967	0.0626	7.8771	1.1142	0.9967	0.0626	7.8771	
212.0	489.0	1	1	0	6.9921	1.0617	0.9888	0.11	7.357	
212.0	634.0	1.3005	0.9955	0.0847	9.0541	1.3005	0.9955	0.0847	9.0541	
212.0	675.0	1.2134	0.9861	0.1401	8.5757	1.2134	0.9861	0.1401	8.5757	
212.0	676.0	1.2661	0.9873	0.1398	8.8949	1.2661	0.9873	0.1398	8.8949	
212.0	682.0	1.2494	0.9951	0.0857	8.7113	1.2494	0.9951	0.0857	8.7113	
212.0	701.0	0.9614	0.9479	0.2194	7.0382	0.9614	0.9479	0.2194	7.0382	
212.0	975.0	1.0801	0.994	0.0816	7.6606	1.0801	0.994	0.0816	7.6606	
212.0	1068.0	1.1995	0.9918	0.1059	8.5434	1.1995	0.9918	0.1059	8.5434	
212.0	1069.0	1.2117	0.9934	0.0964	8.6172	1.2117	0.9934	0.0964	8.6172	
213.0	22.0	1.1459	0.9949	0.0798	8.1099	1.151	0.9956	0.0748	8.1402	
213.0	38.0	0.9842	0.9737	0.1576	7.117	0.9842	0.9737	0.1576	7.117	
213.0	39.0	0.9885	0.9915	0.0889	7.0442	0.9885	0.9915	0.0889	7.0442	
213.0	109.0	0.8014	0.9881	0.0856	5.4922	0.8263	0.9723	0.1358	5.6384	
213.0	110.0	0.8078	0.9908	0.0756	5.714	0.8613	0.9715	0.1436	6.03	
213.0	111.0	0.8686	0.9923	0.0745	6.1531	0.9488	0.9742	0.1502	6.6277	
213.0	112.0	1.0435	0.9813	0.1401	7.2334	1.0435	0.9813	0.1401	7.2334	
213.0	113.0	1.1162	0.9869	0.1252	7.6964	1.1162	0.9869	0.1252	7.6964	
213.0	114.0	1.1659	0.99	0.1142	8.0236	1.1659	0.99	0.1142	8.0236	
213.0	115.0	1.1949	0.9924	0.102	8.2417	1.1949	0.9924	0.102	8.2417	
213.0	116.0	1.1804	0.9963	0.0697	8.2446	1.1804	0.9963	0.0697	8.2446	
213.0	117.0	1.1825	0.9988	0.0407	8.2933	1.1825	0.9988	0.0407	8.2933	
213.0	129.0	1.2996	0.9886	0.1358	8.9924	1.2996	0.9886	0.1358	8.9924	
213.0	130.0	1.3189	0.9919	0.1162	9.1585	1.3189	0.9919	0.1162	9.1585	
213.0	131.0	1.33	0.9855	0.157	9.2492	1.33	0.9855	0.157	9.2492	
213.0	132.0	1.2506	0.9948	0.0884	8.8687	1.2506	0.9948	0.0884	8.8687	
213.0	133.0	1.2633	0.9987	0.0451	8.8518	1.2633	0.9987	0.0451	8.8518	
213.0	177.0	1	1	0	6.9921	1	1	0	6.9921	
213.0	191.0	1.1552	0.9706	0.1958	7.916	1.1552	0.9706	0.1958	7.916	
213.0	199.0	1.224	0.9899	0.1204	8.6588	1.224	0.9899	0.1204	8.6588	
213.0	200.0	1.1578	0.9793	0.1639	8.2859	1.1578	0.9793	0.1639	8.2859	
213.0	301.0	1.1565	0.9841	0.143	8.2826	1.1565	0.9841	0.143	8.2826	
213.0	302.0	1.1204	0.9796	0.1575	8.0488	1.1204	0.9796	0.1575	8.0488	
213.0	375.0	1.0853	0.9874	0.1196	7.7581	1.0853	0.9874	0.1196	7.7581	
213.0	406.0	1.2742	0.9845	0.1556	8.887	1.2742	0.9845	0.1556	8.887	
213.0	464.0	1.1142	0.9967	0.0626	7.8771	1.1142	0.9967	0.0626	7.8771	
213.0	465.0	1.1102	0.9964	0.0647	7.8499	1.1102	0.9964	0.0647	7.8499	
213.0	466.0	1.1084	0.9964	0.0649	7.8313	1.1084	0.9964	0.0649	7.8313	
213.0	467.0	1.1122	0.9965	0.0642	7.8375	1.1122	0.9965	0.0642	7.8375	
213.0	489.0	1.1098	0.9798	0.155	7.6449	1.1098	0.9798	0.155	7.6449	
213.0	634.0	1.2906	0.9913	0.1179	8.9853	1.2906	0.9913	0.1179	8.9853	
213.0	635.0	1.2882	0.9933	0.1027	8.9582	1.2882	0.9933	0.1027	8.9582	
213.0	673.0	1.1644	0.9943	0.0858	8.2347	1.1644	0.9943	0.0858	8.2347	
213.0	674.0	1.1563	0.9873	0.1275	8.2467	1.1563	0.9873	0.1275	8.2467	
213.0	675.0	1.2379	0.9917	0.1104	8.6724	1.2379	0.9917	0.1104	8.6724	
213.0	682.0	1.2398	0.9922	0.1071	8.6251	1.2398	0.9922	0.1071	8.6251	
213.0	683.0	1.2092	0.9907	0.1142	8.4154	1.2092	0.9907	0.1142	8.4154	
213.0	701.0	0.9507	0.9752	0.1477	6.8542	0.9507	0.9752	0.1477	6.8542	
213.0	702.0	0.9228	0.9573	0.1897	6.7376	0.9228	0.9573	0.1897	6.7376	
213.0	975.0	1.0785	0.9943	0.0794	7.6326	1.0785	0.9943	0.0794	7.6326	
213.0	976.0	1.0785	0.9943	0.0794	7.6326	1.0785	0.9943	0.0794	7.6326	
213.0	1069.0	1.2034	0.9922	0.1038	8.5678	1.2034	0.9922	0.1038	8.5678	
213.0	1070.0	1.2117	0.9934	0.0964	8.6172	1.2117	0.9934	0.0964	8.6172	
214.0	22.0	1.1692	0.9946	0.0837	8.2463	1.1692	0.9946	0.0837	8.2463	
214.0	37.0	1.0282	0.9661	0.1875	7.4623	1.0282	0.9661	0.1875	7.4623	
214.0	38.0	1.0067	0.9708	0.17	7.2948	1.0067	0.9708	0.17	7.2948	
214.0	117.0	1.2183	0.9994	0.0281	8.5347	1.2183	0.9994	0.0281	8.5347	
214.0	118.0	1.1919	0.9942	0.0886	8.45	1.1919	0.9942	0.0886	8.45	
214.0	119.0	1.2267	0.9988	0.0406	8.6127	1.2267	0.9988	0.0406	8.6127	
214.0	126.0	1.2161	0.9792	0.1726	8.4483	1.2161	0.9792	0.1726	8.4483	
214.0	127.0	1.2369	0.977	0.1848	8.5879	1.2369	0.977	0.1848	8.5879	
214.0	128.0	1.2749	0.9816	0.1699	8.8304	1.2749	0.9816	0.1699	8.8304	
214.0	129.0	1.3168	0.9869	0.1475	9.0984	1.3168	0.9869	0.1475	9.0984	
214.0	133.0	1.2596	0.9986	0.0457	8.805	1.2596	0.9986	0.0457	8.805	
214.0	177.0	1	1	0	6.9921	1	1	0	6.9921	
214.0	191.0	1.0779	0.9495	0.242	7.4078	1.0779	0.9495	0.242	7.4078	
214.0	200.0	1.1148	0.9769	0.1669	7.971	1.1148	0.9769	0.1669	7.971	
214.0	201.0	1.1101	0.9806	0.1519	7.925	1.1101	0.9806	0.1519	7.925	
214.0	296.0	1.26	0.966	0.2301	8.4917	1.26	0.966	0.2301	8.4917	
214.0	300.0	1.194	0.9821	0.1569	8.5292	1.194	0.9821	0.1569	8.5292	
214.0	301.0	1.1734	0.9861	0.1354	8.3867	1.1734	0.9861	0.1354	8.3867	
214.0	374.0	1.0958	0.9911	0.1014	7.7906	1.0958	0.9911	0.1014	7.7906	
214.0	375.0	1.0958	0.9911	0.1014	7.7906	1.0958	0.9911	0.1014	7.7906	
214.0	406.0	1.3236	0.9777	0.1946	9.0899	1.3236	0.9777	0.1946	9.0899	
