"modelid","ntree.int","mtry.int","nodesize.int","trainfrac","traindur","rf_rmse","train_adj_r2","test_adj_r2"
"PC-RF-079",151,9,2,0.35,0.0246310234069824,0.28,0.993,0.952
"PC-RF-080",132,4,3,0.6,0.0231308937072754,0.39,0.988,0.914
"PC-RF-081",103,8,2,0.65,0.0328459739685059,0.24,0.995,0.959
"PC-RF-082",300,11,4,0.55,0.0857059955596924,0.18,0.996,0.972
"PC-RF-083",99,8,9,0.7,0.0257251262664795,0.24,0.992,0.953
"PC-RF-084",35,9,9,0.6,0.00941205024719238,0.27,0.989,0.972
"PC-RF-085",61,8,3,0.5,0.0140860080718994,0.27,0.993,0.953
"PC-RF-086",104,11,1,0.55,0.039330005645752,0.22,0.996,0.973
"PC-RF-087",47,11,1,0.45,0.0141830444335938,0.25,0.994,0.957
"PC-RF-088",51,5,8,0.5,0.00681591033935547,0.35,0.984,0.913
"PC-RF-089",106,12,1,0.35,0.0226509571075439,0.23,0.995,0.976
"PC-RF-090",194,8,4,0.5,0.0390651226043701,0.26,0.994,0.965
"PC-RF-091",46,10,2,0.4,0.0106539726257324,0.29,0.991,0.947
"PC-RF-092",209,4,4,0.65,0.0367660522460938,0.35,0.989,0.899
"PC-RF-093",265,10,3,0.45,0.0581989288330078,0.21,0.997,0.967
"PC-RF-094",202,8,3,0.6,0.0550839900970459,0.23,0.995,0.917
"PC-RF-095",82,11,5,0.55,0.0236289501190186,0.18,0.996,0.979
"PC-RF-096",198,6,3,0.3,0.019150972366333,0.32,0.992,0.908
"PC-RF-097",108,10,4,0.45,0.0236198902130127,0.24,0.994,0.951
"PC-RF-098",25,5,1,0.55,0.0068199634552002,0.38,0.986,0.901
"PC-RF-099",284,7,5,0.7,0.0776770114898682,0.25,0.993,0.972
"PC-RF-100",56,5,6,0.4,0.00623202323913574,0.41,0.978,0.895
"PC-RF-101",64,5,8,0.4,0.0065150260925293,0.39,0.983,0.863
"PC-RF-102",175,12,1,0.4,0.0464169979095459,0.21,0.996,0.972
"PC-RF-103",14,12,8,0.45,0.00397515296936035,0.25,0.991,0.985
"PC-RF-104",13,12,2,0.5,0.00587105751037598,0.3,0.992,0.968
"PC-RF-105",107,9,9,0.7,0.0284688472747803,0.18,0.995,0.978
"PC-RF-106",108,5,5,0.6,0.0204410552978516,0.37,0.985,0.877
"PC-RF-107",69,9,5,0.45,0.0146169662475586,0.24,0.992,0.945
"PC-RF-108",192,4,4,0.45,0.0233590602874756,0.4,0.986,0.88
"PC-RF-109",206,8,2,0.35,0.0298440456390381,0.31,0.991,0.95
"PC-RF-110",171,10,3,0.3,0.0473170280456543,0.26,0.994,0.953
"PC-RF-111",140,8,8,0.7,0.0356760025024414,0.21,0.994,0.948
"PC-RF-112",233,8,2,0.45,0.0516579151153564,0.26,0.994,0.967
"PC-RF-113",250,10,8,0.55,0.0530180931091309,0.22,0.993,0.977
"PC-RF-114",61,10,1,0.35,0.0137219429016113,0.25,0.993,0.962
"PC-RF-115",300,6,4,0.65,0.0672650337219238,0.26,0.994,0.952
"PC-RF-116",107,5,5,0.3,0.00771594047546387,0.38,0.983,0.818
"PC-RF-117",221,10,2,0.35,0.0377531051635742,0.25,0.996,0.961
"PC-RF-118",291,8,3,0.7,0.0976090431213379,0.23,0.995,0.966
"PC-RF-119",228,6,7,0.65,0.048325777053833,0.28,0.991,0.938
"PC-RF-120",33,5,8,0.65,0.00700092315673828,0.34,0.982,0.914
"PC-RF-121",12,4,6,0.5,0.00290918350219727,0.51,0.966,0.879
"PC-RF-122",232,6,4,0.65,0.0533010959625244,0.27,0.993,0.94
"PC-RF-123",214,4,5,0.3,0.0133299827575684,0.48,0.981,0.878
"PC-RF-124",162,8,3,0.45,0.0310299396514893,0.29,0.993,0.951
"PC-RF-125",214,10,9,0.3,0.0196728706359863,0.31,0.986,0.955
"PC-RF-126",273,12,9,0.4,0.0419900417327881,0.2,0.994,0.966
"PC-RF-127",158,11,4,0.5,0.0395431518554688,0.17,0.997,0.96
"PC-RF-128",100,4,8,0.55,0.0126969814300537,0.4,0.98,0.894
"PC-RF-129",69,5,2,0.4,0.00906801223754883,0.43,0.984,0.934
"PC-RF-130",256,9,1,0.7,0.10745906829834,0.23,0.996,0.98
"PC-RF-131",261,7,3,0.65,0.0701889991760254,0.23,0.995,0.957
"PC-RF-132",208,11,4,0.65,0.0748870372772217,0.16,0.998,0.983
"PC-RF-133",106,8,5,0.55,0.0231389999389648,0.26,0.993,0.964
"PC-RF-134",282,11,6,0.35,0.0392401218414307,0.24,0.993,0.956
"PC-RF-135",119,5,9,0.3,0.00761985778808594,0.44,0.971,0.832
"PC-RF-136",85,4,7,0.45,0.00861716270446777,0.42,0.979,0.863
"PC-RF-137",29,7,5,0.5,0.0320000648498535,0.27,0.991,0.93
"PC-RF-138",262,7,4,0.4,0.03525710105896,0.29,0.991,0.943
"PC-RF-139",220,6,9,0.45,0.0243449211120605,0.35,0.984,0.947
"PC-RF-140",184,10,4,0.7,0.0653698444366455,0.17,0.997,0.974
"PC-RF-141",69,10,7,0.4,0.0112650394439697,0.26,0.991,0.962
"PC-RF-142",268,4,2,0.45,0.0339601039886475,0.4,0.988,0.925
"PC-RF-143",118,12,5,0.5,0.0291399955749512,0.18,0.997,0.987
"PC-RF-144",190,10,1,0.45,0.0479259490966797,0.23,0.996,0.975
"PC-RF-145",183,5,8,0.55,0.023932933807373,0.36,0.981,0.877
"PC-RF-146",102,4,2,0.5,0.0156629085540771,0.38,0.989,0.912
"PC-RF-147",137,7,4,0.55,0.0289359092712402,0.29,0.992,0.963
"PC-RF-148",145,6,2,0.35,0.0172221660614014,0.36,0.991,0.901
"PC-RF-149",36,4,2,0.3,0.00365495681762695,0.53,0.975,0.8
"PC-RF-150",51,9,1,0.4,0.0108630657196045,0.28,0.991,0.936
"PC-RF-151",258,8,9,0.3,0.021273136138916,0.38,0.978,0.934
"PC-RF-152",241,7,7,0.55,0.0406091213226318,0.28,0.992,0.924
"PC-RF-153",110,6,4,0.3,0.0097959041595459,0.36,0.986,0.858
"PC-RF-154",255,10,1,0.6,0.0942537784576416,0.21,0.997,0.981
"PC-RF-155",192,8,7,0.7,0.0512378215789795,0.22,0.994,0.975
"PC-RF-156",132,4,5,0.45,0.0138678550720215,0.37,0.986,0.928
"PC-RF-157",93,10,6,0.7,0.029973030090332,0.18,0.996,0.979
"PC-RF-158",148,6,7,0.35,0.0124390125274658,0.33,0.986,0.862
"PC-RF-159",184,8,6,0.3,0.0179409980773926,0.34,0.988,0.933
"PC-RF-160",218,12,6,0.4,0.0391459465026855,0.27,0.992,0.977
"PC-RF-161",143,7,2,0.45,0.0252888202667236,0.31,0.991,0.941
"PC-RF-162",116,4,1,0.5,0.0175929069519043,0.41,0.987,0.917
"PC-RF-163",157,7,7,0.6,0.0314249992370605,0.25,0.993,0.949
"PC-RF-164",228,5,5,0.6,0.0386688709259033,0.29,0.992,0.916
"PC-RF-165",129,8,9,0.3,0.0112838745117188,0.38,0.98,0.91
"PC-RF-166",125,6,4,0.45,0.0188679695129395,0.31,0.99,0.913
"PC-RF-167",288,9,3,0.5,0.0669009685516357,0.23,0.995,0.972
"PC-RF-168",117,11,6,0.55,0.0307857990264893,0.19,0.996,0.976
"PC-RF-169",96,7,6,0.7,0.0255610942840576,0.25,0.993,0.974
"PC-RF-170",53,9,3,0.45,0.0122029781341553,0.26,0.993,0.96
"PC-RF-171",175,5,1,0.3,0.0187499523162842,0.42,0.989,0.891
"PC-RF-172",157,6,8,0.6,0.0281510353088379,0.33,0.987,0.921
"PC-RF-173",22,4,1,0.35,0.0032808780670166,0.52,0.971,0.831
"PC-RF-174",14,5,8,0.7,0.00375008583068848,0.45,0.971,0.907
"PC-RF-175",10,7,9,0.55,0.00279688835144043,0.29,0.986,0.945
"PC-RF-176",70,12,3,0.65,0.0295240879058838,0.15,0.998,0.969
"PC-RF-177",77,5,4,0.65,0.0223121643066406,0.31,0.99,0.939
"PC-RF-178",208,8,1,0.6,0.0702071189880371,0.25,0.995,0.972
"PC-RF-179",46,10,3,0.65,0.0222289562225342,0.18,0.997,0.98
"PC-RF-180",289,5,2,0.3,0.0282251834869385,0.44,0.99,0.915
"PC-RF-181",100,8,2,0.45,0.0228838920593262,0.28,0.994,0.962
"PC-RF-182",31,7,6,0.45,0.00533103942871094,0.3,0.989,0.962
"PC-RF-183",177,9,6,0.65,0.0514290332794189,0.19,0.996,0.959
"PC-RF-184",253,11,4,0.35,0.0428109169006348,0.21,0.995,0.949
"PC-RF-185",172,12,4,0.35,0.0359790325164795,0.22,0.995,0.952
"PC-RF-186",215,4,3,0.3,0.0175421237945557,0.45,0.982,0.808
"PC-RF-187",110,6,8,0.4,0.0149209499359131,0.36,0.982,0.949
"PC-RF-188",222,11,9,0.3,0.023622989654541,0.28,0.986,0.942
"PC-RF-189",157,7,4,0.45,0.0304811000823975,0.29,0.992,0.931
"PC-RF-190",46,4,3,0.45,0.00734114646911621,0.38,0.987,0.843
"PC-RF-191",80,9,9,0.65,0.0206730365753174,0.21,0.994,0.973
"PC-RF-192",288,6,8,0.65,0.0561878681182861,0.28,0.989,0.928
"PC-RF-193",195,11,9,0.45,0.0351269245147705,0.2,0.994,0.975
"PC-RF-194",211,7,2,0.35,0.0325708389282227,0.36,0.991,0.959
"PC-RF-195",17,6,1,0.45,0.00449895858764648,0.39,0.981,0.918
