""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","900-5-28D.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

4.01,0.200,-0.04609,0.410,-0.001
4.01,0.300,-0.04609,0.409,-0.001
4.01,0.400,-0.04609,0.409,-0.001
4.00,0.500,-0.04609,0.409,-0.001
4.02,0.600,-0.04605,0.410,-0.001
4.00,0.700,-0.04605,0.409,-0.001
4.01,0.800,-0.04605,0.410,-0.001
4.01,0.900,-0.04601,0.409,-0.001
4.01,1.000,-0.04601,0.409,-0.001
4.02,1.100,-0.04601,0.410,-0.001
4.03,1.200,-0.04596,0.411,-0.001
4.03,1.300,-0.04596,0.411,-0.001
4.03,1.400,-0.04592,0.411,-0.001
4.03,1.500,-0.04592,0.411,-0.001
4.05,1.600,-0.04588,0.413,-0.001
4.06,1.700,-0.04584,0.414,-0.001
4.11,1.800,-0.04576,0.419,-0.001
4.17,1.900,-0.04567,0.426,-0.001
4.27,2.000,-0.04555,0.435,-0.001
4.39,2.100,-0.04538,0.448,-0.001
4.48,2.200,-0.04517,0.457,-0.001
4.59,2.300,-0.04501,0.468,-0.001
4.65,2.400,-0.04484,0.475,-0.001
4.70,2.500,-0.04468,0.480,-0.001
4.71,2.600,-0.04451,0.481,-0.001
4.75,2.700,-0.04434,0.484,-0.001
4.76,2.800,-0.04422,0.486,-0.001
4.76,2.900,-0.04409,0.486,-0.001
4.78,3.000,-0.04393,0.487,-0.001
4.79,3.100,-0.04380,0.489,-0.001
4.80,3.200,-0.04364,0.490,-0.001
4.79,3.300,-0.04351,0.489,-0.001
4.81,3.400,-0.04339,0.491,-0.001
4.82,3.500,-0.04326,0.492,-0.001
4.81,3.600,-0.04314,0.491,-0.001
4.82,3.700,-0.04301,0.492,-0.001
4.82,3.800,-0.04289,0.492,-0.001
4.85,3.900,-0.04272,0.495,-0.001
4.85,4.000,-0.04260,0.495,-0.001
4.85,4.100,-0.04247,0.495,-0.001
4.86,4.200,-0.04235,0.496,-0.001
4.86,4.300,-0.04218,0.496,-0.001
4.86,4.400,-0.04206,0.496,-0.001
4.89,4.500,-0.04193,0.499,-0.001
4.86,4.600,-0.04177,0.496,-0.001
4.90,4.700,-0.04164,0.500,-0.001
4.90,4.800,-0.04148,0.500,-0.001
4.92,4.900,-0.04135,0.502,-0.001
4.93,5.000,-0.04119,0.503,-0.001
4.95,5.100,-0.04106,0.505,-0.001
4.94,5.200,-0.04094,0.504,-0.001
4.95,5.300,-0.04077,0.505,-0.001
4.98,5.400,-0.04060,0.508,-0.001
4.99,5.500,-0.04048,0.509,-0.001
4.99,5.600,-0.04031,0.509,-0.001
5.02,5.700,-0.04019,0.512,-0.001
5.04,5.800,-0.04002,0.514,-0.001
5.04,5.900,-0.03986,0.514,-0.001
5.07,6.000,-0.03969,0.517,-0.001
5.07,6.100,-0.03956,0.517,-0.001
5.13,6.200,-0.03940,0.523,-0.001
5.12,6.300,-0.03923,0.522,-0.001
5.14,6.400,-0.03902,0.524,-0.001
5.16,6.500,-0.03886,0.527,-0.001
5.19,6.600,-0.03869,0.529,-0.001
5.21,6.700,-0.03848,0.532,-0.001
5.24,6.800,-0.03832,0.535,-0.001
5.27,6.900,-0.03811,0.538,-0.001
5.31,7.000,-0.03790,0.542,-0.001
5.35,7.100,-0.03769,0.546,-0.001
5.38,7.200,-0.03749,0.549,-0.001
5.44,7.300,-0.03728,0.555,-0.001
5.46,7.400,-0.03707,0.557,-0.001
5.52,7.500,-0.03686,0.563,-0.001
5.54,7.600,-0.03666,0.565,-0.001
5.58,7.700,-0.03645,0.569,-0.001
5.61,7.800,-0.03628,0.573,-0.001
5.67,7.900,-0.03607,0.578,-0.001
5.71,8.000,-0.03587,0.582,-0.001
5.74,8.100,-0.03570,0.586,-0.001
5.76,8.200,-0.03549,0.587,-0.001
5.79,8.300,-0.03533,0.590,-0.001
5.80,8.400,-0.03516,0.592,-0.001
5.83,8.500,-0.03504,0.595,-0.001
5.86,8.600,-0.03487,0.598,-0.001
