""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","900-10-24B.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

3.22,0.200,-0.04658,0.597,-0.001
3.22,0.300,-0.04658,0.598,-0.001
3.22,0.400,-0.04658,0.597,-0.001
3.21,0.500,-0.04658,0.596,-0.001
3.23,0.600,-0.04654,0.600,-0.001
3.23,0.700,-0.04654,0.599,-0.001
3.23,0.800,-0.04654,0.599,-0.001
3.20,0.900,-0.04650,0.595,-0.001
3.21,1.000,-0.04650,0.595,-0.001
3.22,1.100,-0.04646,0.598,-0.001
3.24,1.200,-0.04646,0.601,-0.001
3.22,1.300,-0.04646,0.598,-0.001
3.24,1.400,-0.04642,0.600,-0.001
3.22,1.500,-0.04642,0.597,-0.001
3.22,1.600,-0.04637,0.598,-0.001
3.23,1.700,-0.04637,0.599,-0.001
3.22,1.800,-0.04633,0.598,-0.001
3.23,1.900,-0.04633,0.600,-0.001
3.26,2.000,-0.04629,0.604,-0.001
3.26,2.100,-0.04625,0.605,-0.001
3.28,2.200,-0.04617,0.609,-0.001
3.31,2.300,-0.04612,0.613,-0.001
3.36,2.400,-0.04600,0.624,-0.001
3.44,2.500,-0.04583,0.638,-0.001
3.56,2.600,-0.04563,0.660,-0.001
3.61,2.700,-0.04538,0.671,-0.001
3.70,2.800,-0.04517,0.686,-0.001
3.75,2.900,-0.04500,0.695,-0.001
3.80,3.000,-0.04479,0.704,-0.001
3.82,3.100,-0.04459,0.709,-0.001
3.83,3.200,-0.04438,0.711,-0.001
3.85,3.300,-0.04417,0.714,-0.001
3.86,3.400,-0.04401,0.716,-0.001
3.86,3.500,-0.04380,0.716,-0.001
3.85,3.600,-0.04363,0.715,-0.001
3.86,3.700,-0.04342,0.716,-0.001
3.85,3.800,-0.04326,0.715,-0.001
3.88,3.900,-0.04309,0.719,-0.001
3.91,4.000,-0.04292,0.726,-0.001
3.91,4.100,-0.04276,0.725,-0.001
3.91,4.200,-0.04259,0.725,-0.001
3.92,4.300,-0.04243,0.727,-0.001
3.91,4.400,-0.04226,0.726,-0.001
3.92,4.500,-0.04214,0.727,-0.001
3.91,4.600,-0.04197,0.726,-0.001
3.92,4.700,-0.04184,0.728,-0.001
3.91,4.800,-0.04172,0.725,-0.001
3.93,4.900,-0.04155,0.730,-0.001
3.93,5.000,-0.04143,0.729,-0.001
3.94,5.100,-0.04130,0.731,-0.001
3.93,5.200,-0.04118,0.730,-0.001
3.95,5.300,-0.04105,0.733,-0.001
3.95,5.400,-0.04089,0.732,-0.001
3.97,5.500,-0.04076,0.737,-0.001
3.95,5.600,-0.04064,0.733,-0.001
3.97,5.700,-0.04051,0.736,-0.001
4.00,5.800,-0.04039,0.741,-0.001
3.98,5.900,-0.04027,0.738,-0.001
4.01,6.000,-0.04010,0.745,-0.001
4.02,6.100,-0.03997,0.746,-0.001
4.03,6.200,-0.03981,0.748,-0.001
4.04,6.300,-0.03968,0.749,-0.001
4.01,6.400,-0.03952,0.745,-0.001
4.02,6.500,-0.03939,0.747,-0.001
4.03,6.600,-0.03923,0.749,-0.001
4.06,6.700,-0.03910,0.753,-0.001
4.07,6.800,-0.03894,0.754,-0.001
4.07,6.900,-0.03877,0.755,-0.001
4.08,7.000,-0.03864,0.758,-0.001
4.09,7.100,-0.03848,0.759,-0.001
4.08,7.200,-0.03831,0.756,-0.001
4.10,7.300,-0.03819,0.761,-0.001
4.09,7.400,-0.03802,0.759,-0.001
4.11,7.500,-0.03785,0.764,-0.001
4.14,7.600,-0.03769,0.768,-0.001
4.16,7.700,-0.03752,0.771,-0.001
4.15,7.800,-0.03736,0.771,-0.001
4.17,7.900,-0.03719,0.774,-0.001
4.17,8.000,-0.03702,0.773,-0.001
4.19,8.100,-0.03686,0.777,-0.001
4.21,8.200,-0.03665,0.782,-0.001
4.23,8.300,-0.03648,0.784,-0.001
4.25,8.400,-0.03628,0.788,-0.001
4.25,8.500,-0.03607,0.789,-0.001
4.26,8.600,-0.03586,0.791,-0.001
4.27,8.700,-0.03565,0.792,-0.001
4.27,8.800,-0.03544,0.793,-0.001
4.28,8.900,-0.03520,0.793,-0.001
4.29,9.000,-0.03499,0.797,-0.001
4.30,9.100,-0.03478,0.797,-0.001
4.32,9.200,-0.03457,0.801,-0.001
4.31,9.300,-0.03436,0.799,-0.001
4.35,9.400,-0.03416,0.806,-0.001
4.35,9.500,-0.03399,0.807,-0.001
4.35,9.600,-0.03378,0.808,-0.001
4.35,9.700,-0.03357,0.807,-0.001
4.36,9.800,-0.03341,0.809,-0.001
4.37,9.900,-0.03324,0.811,-0.001
4.36,10.000,-0.03308,0.810,-0.001
4.41,10.100,-0.03291,0.818,-0.001
4.41,10.200,-0.03274,0.819,-0.001
4.42,10.300,-0.03262,0.821,-0.001
4.44,10.400,-0.03245,0.823,-0.001
4.45,10.500,-0.03229,0.826,-0.001
4.47,10.600,-0.03216,0.829,-0.001
4.48,10.700,-0.03204,0.831,-0.001
4.48,10.800,-0.03187,0.831,-0.001
4.48,10.900,-0.03175,0.832,-0.001
4.51,11.000,-0.03162,0.838,-0.001
4.52,11.100,-0.03146,0.839,-0.001
4.53,11.200,-0.03133,0.840,-0.001
4.55,11.300,-0.03121,0.845,-0.001
4.57,11.400,-0.03108,0.847,-0.001
4.58,11.500,-0.03091,0.849,-0.001
4.60,11.600,-0.03079,0.855,-0.001
4.58,11.700,-0.03067,0.851,-0.001
4.61,11.800,-0.03050,0.856,-0.001
4.62,11.900,-0.03037,0.857,-0.001
4.64,12.000,-0.03021,0.861,-0.001
4.64,12.100,-0.03004,0.862,-0.001
4.66,12.200,-0.02992,0.865,-0.001
4.67,12.300,-0.02975,0.867,-0.001
4.69,12.400,-0.02963,0.870,-0.001
4.70,12.500,-0.02946,0.872,-0.001
4.70,12.600,-0.02929,0.873,-0.001
4.73,12.700,-0.02913,0.878,-0.001
4.74,12.800,-0.02900,0.881,-0.001
4.75,12.900,-0.02884,0.882,-0.001
4.76,13.000,-0.02867,0.883,-0.001
4.77,13.100,-0.02850,0.886,-0.001
4.78,13.200,-0.02838,0.888,-0.001
4.82,13.300,-0.02821,0.894,-0.001
4.81,13.400,-0.02805,0.892,-0.001
4.81,13.500,-0.02788,0.894,-0.001
4.84,13.600,-0.02772,0.898,-0.001
4.86,13.700,-0.02755,0.902,-0.001
4.87,13.800,-0.02738,0.903,-0.001
4.87,13.900,-0.02722,0.903,-0.001
4.89,14.000,-0.02701,0.908,-0.001
4.93,14.100,-0.02684,0.915,-0.001
4.96,14.200,-0.02663,0.921,-0.001
4.97,14.300,-0.02643,0.922,-0.001
4.98,14.400,-0.02622,0.925,-0.001
5.00,14.500,-0.02601,0.929,-0.001
5.02,14.600,-0.02580,0.932,-0.001
5.05,14.700,-0.02555,0.936,-0.001
5.07,14.800,-0.02535,0.940,0.000
5.05,14.900,-0.02514,0.937,0.000
5.08,15.000,-0.02493,0.942,0.000
5.09,15.100,-0.02476,0.944,0.000
5.11,15.200,-0.02456,0.949,0.000
5.13,15.300,-0.02435,0.952,0.000
5.15,15.400,-0.02418,0.955,0.000
5.17,15.500,-0.02402,0.960,0.000
5.16,15.600,-0.02381,0.958,0.000
5.17,15.700,-0.02368,0.960,0.000
5.18,15.800,-0.02352,0.962,0.000
5.21,15.900,-0.02335,0.967,0.000
5.21,16.000,-0.02319,0.967,0.000
5.21,16.100,-0.02306,0.967,0.000
5.23,16.200,-0.02289,0.971,0.000
5.23,16.300,-0.02277,0.970,0.000
5.25,16.400,-0.02260,0.975,0.000
5.25,16.500,-0.02248,0.975,0.000
5.25,16.600,-0.02235,0.974,0.000
5.26,16.700,-0.02219,0.977,0.000
5.26,16.800,-0.02206,0.977,0.000
5.29,16.900,-0.02194,0.982,0.000
5.28,17.000,-0.02181,0.980,0.000
5.30,17.100,-0.02165,0.983,0.000
5.32,17.200,-0.02152,0.988,0.000
5.33,17.300,-0.02140,0.989,0.000
5.33,17.400,-0.02123,0.988,0.000
5.32,17.500,-0.02111,0.988,0.000
5.33,17.600,-0.02098,0.990,0.000
5.36,17.700,-0.02082,0.994,0.000
5.39,17.800,-0.02069,1.000,0.000
5.37,17.900,-0.02053,0.997,0.000
5.41,18.000,-0.02040,1.004,0.000
5.43,18.100,-0.02024,1.008,0.000
5.44,18.200,-0.02007,1.009,0.000
5.46,18.300,-0.01994,1.013,0.000
5.47,18.400,-0.01978,1.015,0.000
5.48,18.500,-0.01961,1.017,0.000
5.50,18.600,-0.01945,1.020,0.000
5.51,18.700,-0.01932,1.022,0.000
5.53,18.800,-0.01915,1.026,0.000
5.54,18.900,-0.01899,1.028,0.000
5.56,19.000,-0.01882,1.033,0.000
5.57,19.100,-0.01866,1.034,0.000
5.60,19.200,-0.01849,1.040,0.000
5.60,19.300,-0.01837,1.040,0.000
5.60,19.400,-0.01816,1.040,0.000
5.64,19.500,-0.01799,1.047,0.000
5.64,19.600,-0.01782,1.047,0.000
5.67,19.700,-0.01762,1.052,0.000
5.70,19.800,-0.01741,1.058,0.000
5.72,19.900,-0.01720,1.062,0.000
5.74,20.000,-0.01699,1.066,0.000
5.77,20.100,-0.01679,1.071,0.000
5.78,20.200,-0.01654,1.074,0.000
5.80,20.300,-0.01633,1.077,0.000
5.84,20.400,-0.01612,1.084,0.000
5.86,20.500,-0.01591,1.088,0.000
5.86,20.600,-0.01571,1.088,0.000
5.89,20.700,-0.01546,1.094,0.000
5.93,20.800,-0.01525,1.100,0.000
5.93,20.900,-0.01508,1.100,0.000
5.93,21.000,-0.01487,1.101,0.000
5.94,21.100,-0.01471,1.103,0.000
5.95,21.200,-0.01454,1.105,0.000
5.97,21.300,-0.01438,1.107,0.000
5.97,21.400,-0.01421,1.108,0.000
5.99,21.500,-0.01404,1.111,0.000
6.00,21.600,-0.01392,1.113,0.000
6.01,21.700,-0.01375,1.114,0.000
