""
"Test Method","Will_Huddleston_Load_Rate.msm"
"Sample I. D.","900-5-24C.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (mm)"

-9.93,0.040,-0.00965
-9.93,0.060,-0.00965
-9.93,0.080,-0.00965
-9.93,0.100,-0.00965
-9.93,0.120,-0.00965
-9.93,0.140,-0.00965
-9.93,0.160,-0.00965
-9.94,0.180,-0.00965
-9.95,0.200,-0.00965
-9.95,0.220,-0.00965
-9.94,0.240,-0.00965
-9.93,0.260,-0.00965
-9.94,0.280,-0.00965
-9.94,0.300,-0.00965
-9.94,0.320,-0.00965
-9.94,0.340,-0.00965
-9.94,0.360,-0.00965
-9.94,0.380,-0.00965
-9.95,0.400,-0.00965
-9.95,0.420,-0.00965
-9.95,0.440,-0.00965
-9.94,0.460,-0.00965
-9.94,0.480,-0.00965
-9.94,0.500,-0.00965
-9.95,0.520,-0.00965
-9.95,0.540,-0.00965
-9.94,0.560,-0.00965
-9.94,0.580,-0.00965
-9.94,0.600,-0.00965
-9.94,0.620,-0.00965
-9.94,0.640,-0.00965
-9.95,0.660,-0.00965
-9.95,0.680,-0.00965
-9.94,0.700,-0.00965
-9.93,0.720,-0.00965
-9.92,0.740,-0.00965
-9.93,0.760,-0.00965
-9.94,0.780,-0.00965
-9.95,0.800,-0.00965
-9.95,0.820,-0.00965
-9.95,0.840,-0.00965
-9.95,0.860,-0.00965
-9.95,0.880,-0.00965
-9.94,0.900,-0.00965
-9.94,0.920,-0.00965
-9.94,0.940,-0.00965
-9.94,0.960,-0.00965
-9.94,0.980,-0.00965
-9.94,1.000,-0.00965
-9.95,1.020,-0.00965
-9.95,1.040,-0.00965
-9.94,1.060,-0.00965
-9.94,1.080,-0.00965
-9.94,1.100,-0.00965
-9.95,1.120,-0.00965
-9.95,1.140,-0.00965
-9.95,1.160,-0.00965
-9.95,1.180,-0.00965
-9.96,1.200,-0.00965
-9.96,1.220,-0.00965
-9.95,1.240,-0.00965
-9.94,1.260,-0.00965
-9.94,1.280,-0.00965
-9.94,1.300,-0.00965
-9.95,1.320,-0.00965
-9.95,1.340,-0.00965
-9.94,1.360,-0.00965
-9.93,1.380,-0.00965
-9.93,1.400,-0.00965
-9.94,1.420,-0.00965
-9.95,1.440,-0.00965
-9.95,1.460,-0.00965
-9.94,1.480,-0.00965
-9.94,1.500,-0.00965
-9.95,1.520,-0.00965
-9.95,1.540,-0.00965
-9.94,1.560,-0.00965
-9.94,1.580,-0.00965
-9.93,1.600,-0.00965
-9.93,1.620,-0.00965
-9.93,1.640,-0.00965
-9.94,1.660,-0.00965
-9.94,1.680,-0.00965
-9.94,1.700,-0.00965
-9.93,1.720,-0.00965
-9.93,1.740,-0.00965
-9.93,1.760,-0.00965
-9.94,1.780,-0.00965
-9.94,1.800,-0.00965
-9.94,1.820,-0.00965
-9.94,1.840,-0.00965
-9.94,1.860,-0.00965
-9.94,1.880,-0.00965
-9.93,1.900,-0.00965
-9.93,1.920,-0.00965
-9.95,1.940,-0.00965
-9.95,1.960,-0.00965
-9.94,1.980,-0.00965
-9.94,2.000,-0.00965
-9.94,2.020,-0.00965
-9.94,2.040,-0.00965
-9.94,2.060,-0.00965
-9.94,2.080,-0.00965
-9.94,2.100,-0.00965
-9.94,2.120,-0.00965
-9.94,2.140,-0.00965
-9.94,2.160,-0.00965
-9.94,2.180,-0.00965
-9.93,2.200,-0.00965
-9.93,2.220,-0.00965
-9.94,2.240,-0.00965
-9.95,2.260,-0.00965
-9.95,2.280,-0.00965
-9.95,2.300,-0.00965
-9.95,2.320,-0.00965
-9.95,2.340,-0.00965
-9.95,2.360,-0.00965
-9.95,2.380,-0.00965
-9.95,2.400,-0.00965
-9.94,2.420,-0.00965
-9.94,2.440,-0.00965
-9.94,2.460,-0.00965
-9.95,2.480,-0.00965
-9.95,2.500,-0.00965
-9.95,2.520,-0.00965
-9.95,2.540,-0.00965
-9.95,2.560,-0.00965
-9.94,2.580,-0.00965
-9.94,2.600,-0.00965
-9.95,2.620,-0.00965
-9.95,2.640,-0.00965
-9.94,2.660,-0.00965
-9.93,2.680,-0.00965
-9.93,2.700,-0.00965
-9.93,2.720,-0.00965
-9.94,2.740,-0.00965
-9.94,2.760,-0.00965
-9.94,2.780,-0.00965
-9.94,2.800,-0.00965
-9.94,2.820,-0.00965
-9.93,2.840,-0.00965
-9.93,2.860,-0.00965
-9.93,2.880,-0.00965
-9.94,2.900,-0.00965
-9.94,2.920,-0.00965
-9.94,2.940,-0.00965
-9.94,2.960,-0.00965
-9.94,2.980,-0.00965
-9.94,3.000,-0.00965
-9.94,3.020,-0.00965
-9.94,3.040,-0.00965
-9.95,3.060,-0.00965
-9.94,3.080,-0.00965
-9.94,3.100,-0.00965
-9.94,3.120,-0.00965
-9.95,3.140,-0.00965
-9.95,3.160,-0.00965
-9.95,3.180,-0.00965
-9.95,3.200,-0.00965
-9.95,3.220,-0.00965
-9.94,3.240,-0.00965
-9.94,3.260,-0.00965
-9.94,3.280,-0.00965
-9.94,3.300,-0.00965
-9.94,3.320,-0.00965
-9.94,3.340,-0.00965
-9.95,3.360,-0.00965
-9.95,3.380,-0.00965
-9.95,3.400,-0.00965
-9.95,3.420,-0.00965
-9.95,3.440,-0.00965
-9.95,3.460,-0.00965
-9.94,3.480,-0.00965
-9.94,3.500,-0.00965
-9.94,3.520,-0.00965
-9.94,3.540,-0.00965
-9.95,3.560,-0.00965
-9.95,3.580,-0.00965
-9.94,3.600,-0.00965
-9.95,3.620,-0.00965
-9.95,3.640,-0.00965
-9.95,3.660,-0.00965
-9.94,3.680,-0.00965
-9.93,3.700,-0.00965
-9.93,3.720,-0.00965
-9.94,3.740,-0.00965
-9.94,3.760,-0.00965
-9.94,3.780,-0.00965
-9.94,3.800,-0.00965
-9.95,3.820,-0.00965
-9.96,3.840,-0.00965
-9.96,3.860,-0.00965
-9.95,3.880,-0.00965
-9.95,3.900,-0.00965
-9.95,3.920,-0.00965
-9.95,3.940,-0.00965
-9.95,3.960,-0.00965
-9.95,3.980,-0.00965
-9.94,4.000,-0.00965
-9.94,4.020,-0.00965
-9.94,4.040,-0.00965
-9.94,4.060,-0.00965
-9.94,4.080,-0.00965
-9.93,4.100,-0.00965
-9.93,4.120,-0.00965
-9.94,4.140,-0.00965
-9.94,4.160,-0.00965
-9.94,4.180,-0.00965
-9.95,4.200,-0.00965
-9.95,4.220,-0.00965
-9.95,4.240,-0.00965
-9.94,4.260,-0.00965
-9.94,4.280,-0.00965
-9.96,4.300,-0.00965
-9.96,4.320,-0.00965
-9.96,4.340,-0.00965
-9.94,4.360,-0.00965
-9.94,4.380,-0.00965
-9.94,4.400,-0.00965
-9.94,4.420,-0.00965
-9.94,4.440,-0.00965
-9.94,4.460,-0.00965
-9.94,4.480,-0.00965
-9.95,4.500,-0.00965
-9.96,4.520,-0.00965
-9.95,4.540,-0.00965
-9.94,4.560,-0.00965
-9.94,4.580,-0.00965
-9.94,4.600,-0.00965
-9.94,4.620,-0.00965
-9.95,4.640,-0.00965
-9.95,4.660,-0.00965
-9.94,4.680,-0.00965
-9.94,4.700,-0.00965
-9.95,4.720,-0.00965
-9.95,4.740,-0.00965
-9.94,4.760,-0.00965
-9.94,4.780,-0.00965
-9.95,4.800,-0.00965
-9.94,4.820,-0.00965
-9.94,4.840,-0.00965
-9.94,4.860,-0.00965
-9.94,4.880,-0.00965
-9.94,4.900,-0.00965
-9.94,4.920,-0.00965
-9.94,4.940,-0.00965
-9.94,4.960,-0.00965
-9.94,4.980,-0.00965
-9.94,5.000,-0.00965
-9.94,5.020,-0.00965
-9.94,5.040,-0.00965
-9.94,5.060,-0.00965
-9.93,5.080,-0.00965
-9.93,5.100,-0.00965
-9.93,5.120,-0.00965
-9.93,5.140,-0.00965
-9.94,5.160,-0.00965
-9.94,5.180,-0.00965
-9.94,5.200,-0.00965
-9.93,5.220,-0.00965
-9.93,5.240,-0.00965
-9.93,5.260,-0.00965
-9.93,5.280,-0.00965
-9.94,5.300,-0.00965
-9.94,5.320,-0.00965
-9.93,5.340,-0.00965
-9.93,5.360,-0.00965
-9.94,5.380,-0.00965
-9.94,5.400,-0.00965
-9.95,5.420,-0.00965
-9.94,5.440,-0.00965
-9.93,5.460,-0.00965
-9.94,5.480,-0.00965
-9.95,5.500,-0.00965
-9.95,5.520,-0.00965
-9.94,5.540,-0.00965
-9.93,5.560,-0.00965
-9.93,5.580,-0.00965
-9.93,5.600,-0.00965
-9.93,5.620,-0.00965
-9.94,5.640,-0.00965
-9.94,5.660,-0.00965
-9.94,5.680,-0.00965
-9.94,5.700,-0.00965
-9.93,5.720,-0.00965
-9.93,5.740,-0.00965
-9.93,5.760,-0.00965
-9.92,5.780,-0.00965
-9.93,5.800,-0.00965
-9.94,5.820,-0.00965
-9.95,5.840,-0.00965
-9.96,5.860,-0.00965
-9.95,5.880,-0.00965
-9.94,5.900,-0.00965
-9.93,5.920,-0.00965
-9.93,5.940,-0.00965
-9.94,5.960,-0.00965
-9.94,5.980,-0.00965
-9.94,6.000,-0.00965
-9.94,6.020,-0.00965
-9.93,6.040,-0.00965
-9.93,6.060,-0.00965
-9.93,6.080,-0.00965
-9.93,6.100,-0.00965
-9.94,6.120,-0.00965
-9.94,6.140,-0.00965
-9.94,6.160,-0.00965
-9.93,6.180,-0.00965
-9.93,6.200,-0.00965
-9.93,6.220,-0.00965
-9.94,6.240,-0.00965
-9.93,6.260,-0.00965
-9.93,6.280,-0.00965
-9.92,6.300,-0.00965
-9.92,6.320,-0.00965
-9.94,6.340,-0.00965
-9.95,6.360,-0.00965
-9.95,6.380,-0.00965
-9.94,6.400,-0.00965
-9.93,6.420,-0.00965
-9.93,6.440,-0.00965
-9.94,6.460,-0.00965
-9.95,6.480,-0.00965
-9.95,6.500,-0.00965
-9.94,6.520,-0.00965
-9.94,6.540,-0.00965
-9.93,6.560,-0.00965
-9.93,6.580,-0.00965
-9.93,6.600,-0.00965
-9.93,6.620,-0.00965
-9.94,6.640,-0.00965
-9.94,6.660,-0.00965
-9.95,6.680,-0.00965
-9.94,6.700,-0.00965
-9.93,6.720,-0.00965
-9.93,6.740,-0.00965
-9.94,6.760,-0.00965
-9.94,6.780,-0.00965
-9.95,6.800,-0.00965
-9.95,6.820,-0.00965
-9.94,6.840,-0.00965
-9.94,6.860,-0.00965
-9.93,6.880,-0.00965
-9.92,6.900,-0.00965
-9.93,6.920,-0.00965
-9.93,6.940,-0.00965
-9.94,6.960,-0.00965
-9.94,6.980,-0.00965
-9.94,7.000,-0.00965
-9.94,7.020,-0.00965
-9.94,7.040,-0.00965
-9.95,7.060,-0.00965
-9.94,7.080,-0.00965
-9.94,7.100,-0.00965
-9.94,7.120,-0.00965
-9.94,7.140,-0.00965
-9.93,7.160,-0.00965
-9.93,7.180,-0.00965
-9.92,7.200,-0.00965
-9.93,7.220,-0.00965
-9.94,7.240,-0.00965
-9.94,7.260,-0.00965
-9.93,7.280,-0.00965
-9.93,7.300,-0.00965
-9.92,7.320,-0.00965
-9.93,7.340,-0.00965
-9.94,7.360,-0.00965
-9.94,7.380,-0.00965
-9.94,7.400,-0.00965
-9.94,7.420,-0.00965
-9.93,7.440,-0.00965
-9.94,7.460,-0.00965
-9.95,7.480,-0.00965
-9.95,7.500,-0.00965
-9.94,7.520,-0.00965
-9.93,7.540,-0.00965
-9.93,7.560,-0.00965
-9.94,7.580,-0.00965
-9.94,7.600,-0.00965
-9.92,7.620,-0.00965
-9.92,7.640,-0.00965
-9.93,7.660,-0.00965
-9.95,7.680,-0.00965
-9.95,7.700,-0.00965
-9.95,7.720,-0.00965
-9.94,7.740,-0.00965
-9.93,7.760,-0.00965
-9.93,7.780,-0.00965
-9.94,7.800,-0.00965
-9.95,7.820,-0.00965
-9.94,7.840,-0.00965
-9.93,7.860,-0.00965
-9.93,7.880,-0.00965
-9.94,7.900,-0.00965
-9.94,7.920,-0.00965
-9.93,7.940,-0.00965
-9.94,7.960,-0.00965
-9.94,7.980,-0.00965
-9.94,8.000,-0.00965
-9.93,8.020,-0.00965
-9.93,8.040,-0.00965
-9.93,8.060,-0.00965
-9.94,8.080,-0.00965
-9.94,8.100,-0.00965
-9.94,8.120,-0.00965
-9.94,8.140,-0.00965
-9.94,8.160,-0.00965
-9.94,8.180,-0.00965
-9.94,8.200,-0.00965
-9.94,8.220,-0.00965
-9.93,8.240,-0.00965
-9.92,8.260,-0.00965
-9.93,8.280,-0.00965
-9.94,8.300,-0.00965
-9.95,8.320,-0.00965
-9.94,8.340,-0.00965
-9.93,8.360,-0.00965
-9.92,8.380,-0.00965
-9.93,8.400,-0.00965
-9.94,8.420,-0.00965
-9.94,8.440,-0.00965
-9.93,8.460,-0.00965
-9.92,8.480,-0.00965
-9.92,8.500,-0.00965
-9.93,8.520,-0.00965
-9.94,8.540,-0.00965
-9.94,8.560,-0.00965
-9.94,8.580,-0.00965
-9.93,8.600,-0.00965
-9.93,8.620,-0.00965
-9.93,8.640,-0.00965
-9.93,8.660,-0.00965
-9.94,8.680,-0.00965
-9.94,8.700,-0.00965
-9.94,8.720,-0.00965
-9.94,8.740,-0.00965
-9.94,8.760,-0.00965
-9.94,8.780,-0.00965
-9.94,8.800,-0.00965
-9.93,8.820,-0.00965
-9.93,8.840,-0.00965
-9.93,8.860,-0.00965
-9.93,8.880,-0.00965
-9.93,8.900,-0.00965
-9.93,8.920,-0.00965
-9.92,8.940,-0.00965
-9.92,8.960,-0.00965
-9.92,8.980,-0.00965
-9.92,9.000,-0.00965
-9.93,9.020,-0.00965
-9.93,9.040,-0.00965
-9.93,9.060,-0.00965
-9.93,9.080,-0.00965
-9.93,9.100,-0.00965
-9.93,9.120,-0.00965
-9.94,9.140,-0.00965
-9.94,9.160,-0.00965
-9.93,9.180,-0.00965
-9.94,9.200,-0.00965
-9.94,9.220,-0.00965
-9.95,9.240,-0.00965
-9.94,9.260,-0.00965
-9.94,9.280,-0.00965
-9.93,9.300,-0.00965
-9.93,9.320,-0.00965
-9.93,9.340,-0.00965
-9.93,9.360,-0.00965
-9.93,9.380,-0.00965
-9.93,9.400,-0.00965
-9.93,9.420,-0.00965
-9.93,9.440,-0.00965
-9.94,9.460,-0.00965
-9.94,9.480,-0.00965
-9.94,9.500,-0.00965
-9.93,9.520,-0.00965
-9.93,9.540,-0.00965
-9.93,9.560,-0.00965
-9.93,9.580,-0.00965
-9.94,9.600,-0.00965
-9.94,9.620,-0.00965
-9.94,9.640,-0.00965
-9.93,9.660,-0.00965
-9.93,9.680,-0.00965
-9.93,9.700,-0.00965
-9.93,9.720,-0.00965
-9.94,9.740,-0.00965
-9.95,9.760,-0.00965
-9.95,9.780,-0.00965
-9.94,9.800,-0.00965
-9.94,9.820,-0.00965
-9.95,9.840,-0.00965
-9.96,9.860,-0.00965
-9.96,9.880,-0.00965
-9.95,9.900,-0.00965
-9.94,9.920,-0.00965
-9.93,9.940,-0.00965
-9.93,9.960,-0.00965
-9.93,9.980,-0.00965
-9.93,10.000,-0.00965
-9.93,10.020,-0.00965
-9.94,10.040,-0.00965
-9.94,10.060,-0.00965
-9.94,10.080,-0.00965
-9.92,10.100,-0.00965
-9.92,10.120,-0.00965
-9.92,10.140,-0.00965
-9.94,10.160,-0.00965
-9.95,10.180,-0.00965
-9.95,10.200,-0.00965
-9.95,10.220,-0.00965
-9.94,10.240,-0.00965
-9.94,10.260,-0.00965
-9.94,10.280,-0.00965
-9.94,10.300,-0.00965
-9.94,10.320,-0.00965
-9.93,10.340,-0.00965
-9.93,10.360,-0.00965
-9.94,10.380,-0.00965
-9.94,10.400,-0.00965
-9.94,10.420,-0.00965
-9.94,10.440,-0.00965
-9.93,10.460,-0.00965
-9.93,10.480,-0.00965
-9.93,10.500,-0.00965
-9.93,10.520,-0.00965
-9.93,10.540,-0.00965
-9.94,10.560,-0.00965
-9.94,10.580,-0.00965
-9.94,10.600,-0.00969
-9.94,10.620,-0.00969
-9.94,10.640,-0.00969
-9.94,10.660,-0.00969
-9.94,10.680,-0.00969
-9.94,10.700,-0.00969
-9.95,10.720,-0.00969
-9.95,10.740,-0.00969
-9.95,10.760,-0.00969
-9.95,10.780,-0.00969
-9.95,10.800,-0.00969
-9.94,10.820,-0.00969
-9.94,10.840,-0.00969
-9.94,10.860,-0.00969
-9.94,10.880,-0.00969
-9.94,10.900,-0.00969
-9.94,10.920,-0.00969
-9.94,10.940,-0.00969
-9.94,10.960,-0.00969
-9.95,10.980,-0.00969
-9.95,11.000,-0.00969
-9.94,11.020,-0.00969
-9.93,11.040,-0.00969
-9.93,11.060,-0.00969
-9.93,11.080,-0.00969
-9.94,11.100,-0.00969
-9.95,11.120,-0.00969
-9.94,11.140,-0.00969
-9.94,11.160,-0.00969
-9.94,11.180,-0.00969
-9.95,11.200,-0.00969
-9.95,11.220,-0.00969
-9.95,11.240,-0.00969
-9.94,11.260,-0.00969
-9.94,11.280,-0.00969
-9.94,11.300,-0.00969
-9.95,11.320,-0.00969
-9.95,11.340,-0.00969
-9.95,11.360,-0.00969
-9.95,11.380,-0.00969
-9.95,11.400,-0.00969
-9.94,11.420,-0.00969
-9.95,11.440,-0.00969
-9.95,11.460,-0.00969
-9.95,11.480,-0.00969
-9.95,11.500,-0.00969
-9.95,11.520,-0.00969
-9.94,11.540,-0.00969
-9.94,11.560,-0.00969
-9.94,11.580,-0.00969
-9.94,11.600,-0.00969
-9.94,11.620,-0.00969
-9.94,11.640,-0.00969
-9.94,11.660,-0.00969
-9.94,11.680,-0.00969
-9.94,11.700,-0.00969
-9.94,11.720,-0.00969
-9.94,11.740,-0.00969
-9.93,11.760,-0.00969
-9.92,11.780,-0.00969
-9.93,11.800,-0.00969
-9.95,11.820,-0.00969
-9.95,11.840,-0.00969
-9.95,11.860,-0.00969
-9.94,11.880,-0.00969
-9.94,11.900,-0.00969
-9.94,11.920,-0.00969
-9.94,11.940,-0.00969
-9.95,11.960,-0.00969
-9.95,11.980,-0.00969
-9.95,12.000,-0.00969
-9.95,12.020,-0.00969
-9.95,12.040,-0.00969
-9.95,12.060,-0.00969
-9.95,12.080,-0.00969
-9.94,12.100,-0.00969
-9.94,12.120,-0.00969
-9.94,12.140,-0.00969
-9.94,12.160,-0.00969
-9.94,12.180,-0.00969
-9.94,12.200,-0.00969
-9.95,12.220,-0.00969
-9.95,12.240,-0.00969
-9.95,12.260,-0.00969
-9.95,12.280,-0.00969
-9.94,12.300,-0.00969
-9.94,12.320,-0.00969
-9.94,12.340,-0.00969
-9.94,12.360,-0.00969
-9.94,12.380,-0.00969
-9.94,12.400,-0.00969
-9.94,12.420,-0.00969
-9.94,12.440,-0.00969
-9.94,12.460,-0.00969
-9.94,12.480,-0.00969
-9.94,12.500,-0.00969
-9.93,12.520,-0.00969
-9.92,12.540,-0.00969
-9.93,12.560,-0.00969
-9.93,12.580,-0.00969
-9.93,12.600,-0.00969
-9.92,12.620,-0.00969
-9.93,12.640,-0.00969
-9.94,12.660,-0.00969
-9.94,12.680,-0.00969
-9.93,12.700,-0.00969
-9.93,12.720,-0.00969
-9.94,12.740,-0.00969
-9.95,12.760,-0.00969
-9.95,12.780,-0.00969
-9.95,12.800,-0.00969
-9.94,12.820,-0.00969
-9.94,12.840,-0.00969
-9.93,12.860,-0.00969
-9.93,12.880,-0.00969
-9.94,12.900,-0.00969
-9.94,12.920,-0.00969
-9.94,12.940,-0.00969
-9.94,12.960,-0.00969
-9.95,12.980,-0.00969
-9.94,13.000,-0.00969
-9.94,13.020,-0.00969
-9.94,13.040,-0.00969
-9.94,13.060,-0.00969
-9.94,13.080,-0.00969
-9.94,13.100,-0.00969
-9.93,13.120,-0.00969
-9.94,13.140,-0.00969
-9.94,13.160,-0.00969
-9.94,13.180,-0.00969
-9.94,13.200,-0.00969
-9.93,13.220,-0.00969
-9.92,13.240,-0.00969
-9.93,13.260,-0.00969
-9.93,13.280,-0.00969
-9.94,13.300,-0.00969
-9.94,13.320,-0.00969
-9.94,13.340,-0.00969
-9.94,13.360,-0.00969
-9.93,13.380,-0.00969
-9.93,13.400,-0.00969
-9.93,13.420,-0.00969
-9.94,13.440,-0.00969
-9.94,13.460,-0.00969
-9.93,13.480,-0.00969
-9.92,13.500,-0.00969
-9.93,13.520,-0.00969
-9.94,13.540,-0.00969
-9.95,13.560,-0.00969
-9.95,13.580,-0.00969
-9.95,13.600,-0.00969
-9.94,13.620,-0.00969
-9.93,13.640,-0.00969
-9.93,13.660,-0.00969
-9.94,13.680,-0.00969
-9.94,13.700,-0.00969
-9.94,13.720,-0.00969
-9.94,13.740,-0.00969
-9.94,13.760,-0.00969
-9.94,13.780,-0.00969
-9.95,13.800,-0.00969
-9.95,13.820,-0.00969
-9.94,13.840,-0.00969
-9.94,13.860,-0.00969
-9.93,13.880,-0.00969
-9.93,13.900,-0.00969
-9.93,13.920,-0.00969
-9.93,13.940,-0.00969
-9.93,13.960,-0.00969
-9.94,13.980,-0.00969
-9.94,14.000,-0.00969
-9.94,14.020,-0.00969
-9.94,14.040,-0.00969
-9.94,14.060,-0.00969
-9.94,14.080,-0.00969
-9.95,14.100,-0.00969
-9.95,14.120,-0.00969
-9.94,14.140,-0.00969
-9.94,14.160,-0.00969
-9.95,14.180,-0.00969
-9.95,14.200,-0.00969
-9.95,14.220,-0.00969
-9.95,14.240,-0.00969
-9.95,14.260,-0.00969
-9.95,14.280,-0.00969
-9.95,14.300,-0.00969
-9.95,14.320,-0.00969
-9.96,14.340,-0.00969
-9.96,14.360,-0.00969
-9.95,14.380,-0.00969
-9.95,14.400,-0.00969
-9.95,14.420,-0.00969
-9.95,14.440,-0.00969
-9.95,14.460,-0.00969
-9.95,14.480,-0.00969
-9.95,14.500,-0.00969
-9.94,14.520,-0.00969
-9.94,14.540,-0.00969
-9.95,14.560,-0.00969
-9.95,14.580,-0.00969
-9.95,14.600,-0.00969
-9.95,14.620,-0.00969
-9.94,14.640,-0.00969
-9.94,14.660,-0.00969
-9.95,14.680,-0.00969
-9.95,14.700,-0.00969
-9.95,14.720,-0.00969
-9.95,14.740,-0.00969
-9.95,14.760,-0.00969
-9.95,14.780,-0.00969
-9.95,14.800,-0.00969
-9.95,14.820,-0.00969
-9.94,14.840,-0.00969
-9.94,14.860,-0.00969
-9.93,14.880,-0.00969
-9.94,14.900,-0.00973
-9.95,14.920,-0.00973
-9.96,14.940,-0.00973
-9.95,14.960,-0.00973
-9.94,14.980,-0.00973
-9.94,15.000,-0.00973
-9.94,15.020,-0.00973
-9.94,15.040,-0.00973
-9.95,15.060,-0.00973
-9.94,15.080,-0.00973
-9.94,15.100,-0.00973
-9.95,15.120,-0.00973
-9.95,15.140,-0.00973
-9.95,15.160,-0.00973
-9.95,15.180,-0.00973
-9.95,15.200,-0.00973
-9.95,15.220,-0.00973
-9.94,15.240,-0.00973
-9.94,15.260,-0.00973
-9.93,15.280,-0.00973
-9.93,15.300,-0.00973
-9.94,15.320,-0.00973
-9.95,15.340,-0.00973
-9.95,15.360,-0.00973
-9.95,15.380,-0.00973
-9.94,15.400,-0.00973
-9.94,15.420,-0.00973
-9.94,15.440,-0.00973
-9.94,15.460,-0.00973
-9.95,15.480,-0.00973
-9.95,15.500,-0.00973
-9.94,15.520,-0.00973
-9.94,15.540,-0.00973
-9.94,15.560,-0.00973
-9.94,15.580,-0.00973
-9.94,15.600,-0.00973
-9.95,15.620,-0.00973
-9.95,15.640,-0.00973
-9.95,15.660,-0.00973
-9.95,15.680,-0.00973
-9.94,15.700,-0.00973
-9.94,15.720,-0.00973
-9.94,15.740,-0.00973
-9.95,15.760,-0.00973
-9.95,15.780,-0.00973
-9.95,15.800,-0.00973
-9.94,15.820,-0.00973
-9.94,15.840,-0.00973
-9.94,15.860,-0.00973
-9.94,15.880,-0.00973
-9.94,15.900,-0.00973
-9.94,15.920,-0.00973
-9.95,15.940,-0.00973
-9.95,15.960,-0.00973
-9.95,15.980,-0.00973
-9.95,16.000,-0.00973
-9.95,16.020,-0.00973
-9.94,16.040,-0.00973
-9.94,16.060,-0.00973
-9.94,16.080,-0.00973
-9.95,16.100,-0.00973
-9.95,16.120,-0.00973
-9.95,16.140,-0.00973
-9.94,16.160,-0.00973
-9.94,16.180,-0.00973
-9.94,16.200,-0.00973
-9.94,16.220,-0.00973
-9.94,16.240,-0.00973
-9.94,16.260,-0.00973
-9.94,16.280,-0.00973
-9.94,16.300,-0.00973
-9.94,16.320,-0.00973
-9.94,16.340,-0.00973
-9.93,16.360,-0.00973
-9.93,16.380,-0.00973
-9.93,16.400,-0.00973
-9.93,16.420,-0.00973
-9.94,16.440,-0.00973
-9.95,16.460,-0.00973
-9.95,16.480,-0.00973
-9.94,16.500,-0.00973
-9.94,16.520,-0.00973
-9.94,16.540,-0.00973
-9.94,16.560,-0.00973
-9.94,16.580,-0.00973
-9.94,16.600,-0.00973
-9.94,16.620,-0.00973
-9.93,16.640,-0.00973
-9.93,16.660,-0.00973
-9.93,16.680,-0.00973
-9.93,16.700,-0.00973
-9.93,16.720,-0.00973
-9.93,16.740,-0.00973
-9.94,16.760,-0.00973
-9.95,16.780,-0.00973
-9.95,16.800,-0.00973
-9.94,16.820,-0.00973
-9.94,16.840,-0.00973
-9.93,16.860,-0.00973
-9.93,16.880,-0.00973
-9.94,16.900,-0.00973
-9.94,16.920,-0.00973
-9.94,16.940,-0.00973
-9.94,16.960,-0.00973
-9.94,16.980,-0.00973
-9.94,17.000,-0.00973
-9.94,17.020,-0.00973
-9.94,17.040,-0.00973
-9.94,17.060,-0.00973
-9.94,17.080,-0.00973
-9.95,17.100,-0.00973
-9.95,17.120,-0.00973
-9.94,17.140,-0.00973
-9.93,17.160,-0.00973
-9.93,17.180,-0.00973
-9.93,17.200,-0.00973
-9.94,17.220,-0.00973
-9.95,17.240,-0.00973
-9.95,17.260,-0.00973
-9.94,17.280,-0.00973
-9.94,17.300,-0.00973
-9.93,17.320,-0.00973
-9.93,17.340,-0.00973
-9.93,17.360,-0.00973
-9.93,17.380,-0.00973
-9.94,17.400,-0.00973
-9.95,17.420,-0.00973
-9.94,17.440,-0.00973
-9.94,17.460,-0.00973
-9.94,17.480,-0.00973
-9.94,17.500,-0.00973
-9.94,17.520,-0.00973
-9.94,17.540,-0.00973
-9.93,17.560,-0.00973
-9.93,17.580,-0.00973
-9.93,17.600,-0.00973
-9.94,17.620,-0.00973
-9.94,17.640,-0.00973
-9.94,17.660,-0.00973
-9.94,17.680,-0.00973
-9.93,17.700,-0.00973
-9.93,17.720,-0.00973
-9.93,17.740,-0.00973
-9.92,17.760,-0.00973
-9.92,17.780,-0.00973
-9.93,17.800,-0.00973
-9.93,17.820,-0.00973
-9.93,17.840,-0.00973
-9.93,17.860,-0.00973
-9.93,17.880,-0.00973
-9.94,17.900,-0.00973
-9.94,17.920,-0.00973
-9.94,17.940,-0.00973
-9.94,17.960,-0.00973
-9.94,17.980,-0.00973
-9.94,18.000,-0.00973
-9.94,18.020,-0.00973
-9.94,18.040,-0.00973
-9.94,18.060,-0.00973
-9.93,18.080,-0.00973
-9.93,18.100,-0.00973
-9.93,18.120,-0.00973
-9.93,18.140,-0.00973
-9.93,18.160,-0.00973
-9.93,18.180,-0.00973
-9.93,18.200,-0.00973
-9.93,18.220,-0.00973
-9.93,18.240,-0.00973
-9.93,18.260,-0.00973
-9.94,18.280,-0.00973
-9.94,18.300,-0.00973
-9.94,18.320,-0.00973
-9.94,18.340,-0.00973
-9.94,18.360,-0.00973
-9.94,18.380,-0.00973
-9.95,18.400,-0.00973
-9.95,18.420,-0.00973
-9.95,18.440,-0.00973
-9.94,18.460,-0.00973
-9.93,18.480,-0.00973
-9.93,18.500,-0.00973
-9.94,18.520,-0.00973
-9.94,18.540,-0.00973
-9.93,18.560,-0.00973
