""
"Test Method","Will_Huddleston_Disks.msm"
"Sample I. D.","700-10-10C.mss"
"Specimen Number","1"

"Load (N)","Time (s)","Extension (mm)","Stress (MPa)","Strain (mm/mm)"

2.71,0.200,0.01324,0.373,0.000
2.70,0.300,0.01324,0.371,0.000
2.71,0.400,0.01324,0.373,0.000
2.69,0.500,0.01324,0.369,0.000
2.70,0.600,0.01324,0.372,0.000
2.71,0.700,0.01328,0.373,0.000
2.69,0.800,0.01328,0.370,0.000
2.71,0.900,0.01328,0.373,0.000
2.69,1.000,0.01332,0.370,0.000
2.69,1.100,0.01332,0.371,0.000
2.69,1.200,0.01332,0.370,0.000
2.69,1.300,0.01336,0.370,0.000
2.71,1.400,0.01336,0.372,0.000
2.70,1.500,0.01340,0.372,0.000
2.71,1.600,0.01340,0.372,0.000
2.72,1.700,0.01344,0.375,0.000
2.76,1.800,0.01349,0.379,0.000
2.79,1.900,0.01357,0.383,0.000
2.89,2.000,0.01369,0.397,0.000
2.97,2.100,0.01386,0.409,0.000
3.10,2.200,0.01407,0.426,0.000
3.18,2.300,0.01428,0.437,0.000
3.25,2.400,0.01448,0.447,0.000
3.30,2.500,0.01465,0.454,0.000
3.36,2.600,0.01486,0.462,0.000
3.40,2.700,0.01502,0.468,0.000
3.44,2.800,0.01519,0.473,0.000
3.46,2.900,0.01540,0.477,0.000
3.50,3.000,0.01552,0.482,0.000
3.54,3.100,0.01569,0.487,0.000
3.57,3.200,0.01586,0.491,0.000
3.60,3.300,0.01602,0.496,0.000
3.63,3.400,0.01615,0.499,0.000
3.67,3.500,0.01631,0.504,0.000
3.69,3.600,0.01644,0.508,0.000
3.73,3.700,0.01660,0.513,0.000
3.77,3.800,0.01673,0.518,0.000
3.79,3.900,0.01685,0.521,0.000
3.82,4.000,0.01702,0.525,0.000
3.83,4.100,0.01714,0.527,0.000
3.84,4.200,0.01727,0.529,0.000
3.88,4.300,0.01739,0.534,0.000
3.90,4.400,0.01752,0.536,0.000
3.92,4.500,0.01768,0.539,0.000
3.95,4.600,0.01781,0.543,0.000
3.98,4.700,0.01793,0.547,0.000
4.00,4.800,0.01806,0.550,0.000
4.02,4.900,0.01822,0.553,0.000
4.05,5.000,0.01835,0.557,0.000
4.08,5.100,0.01847,0.561,0.000
4.11,5.200,0.01860,0.565,0.000
4.13,5.300,0.01876,0.568,0.000
4.17,5.400,0.01889,0.574,0.000
4.18,5.500,0.01905,0.576,0.000
4.22,5.600,0.01918,0.581,0.000
4.25,5.700,0.01935,0.585,0.000
4.28,5.800,0.01947,0.589,0.000
4.31,5.900,0.01964,0.593,0.000
4.35,6.000,0.01976,0.598,0.000
4.36,6.100,0.01993,0.599,0.000
4.40,6.200,0.02009,0.605,0.000
4.43,6.300,0.02022,0.610,0.000
4.45,6.400,0.02038,0.612,0.000
4.49,6.500,0.02055,0.618,0.000
4.52,6.600,0.02068,0.622,0.000
4.55,6.700,0.02084,0.626,0.000
4.60,6.800,0.02101,0.632,0.000
4.62,6.900,0.02117,0.636,0.000
4.66,7.000,0.02134,0.641,0.000
4.69,7.100,0.02151,0.645,0.000
4.74,7.200,0.02171,0.652,0.000
4.78,7.300,0.02188,0.657,0.000
4.81,7.400,0.02209,0.661,0.000
4.85,7.500,0.02230,0.667,0.000
4.89,7.600,0.02250,0.673,0.000
4.93,7.700,0.02271,0.679,0.000
4.98,7.800,0.02292,0.685,0.000
5.02,7.900,0.02313,0.690,0.000
5.05,8.000,0.02334,0.695,0.000
5.10,8.100,0.02354,0.702,0.000
5.14,8.200,0.02379,0.707,0.000
5.20,8.300,0.02400,0.715,0.000
5.24,8.400,0.02421,0.720,0.000
5.27,8.500,0.02437,0.726,0.000
5.30,8.600,0.02458,0.730,0.000
5.35,8.700,0.02479,0.736,0.000
5.38,8.800,0.02496,0.740,0.000
5.40,8.900,0.02512,0.743,0.000
5.43,9.000,0.02529,0.747,0.000
5.46,9.100,0.02545,0.752,0.001
5.50,9.200,0.02562,0.756,0.001
5.52,9.300,0.02579,0.760,0.001
5.56,9.400,0.02595,0.764,0.001
5.57,9.500,0.02608,0.767,0.001
5.58,9.600,0.02624,0.767,0.001
5.62,9.700,0.02637,0.773,0.001
5.67,9.800,0.02654,0.780,0.001
5.67,9.900,0.02666,0.780,0.001
5.70,10.000,0.02678,0.784,0.001
5.74,10.100,0.02691,0.790,0.001
5.75,10.200,0.02703,0.791,0.001
5.78,10.300,0.02720,0.795,0.001
5.80,10.400,0.02732,0.797,0.001
5.83,10.500,0.02749,0.802,0.001
5.85,10.600,0.02762,0.804,0.001
5.89,10.700,0.02774,0.810,0.001
5.91,10.800,0.02791,0.813,0.001
5.93,10.900,0.02803,0.816,0.001
5.98,11.000,0.02820,0.822,0.001
5.98,11.100,0.02836,0.823,0.001
6.01,11.200,0.02853,0.827,0.001
6.04,11.300,0.02865,0.831,0.001
6.06,11.400,0.02878,0.833,0.001
6.09,11.500,0.02895,0.838,0.001
6.12,11.600,0.02911,0.842,0.001
6.15,11.700,0.02928,0.845,0.001
6.19,11.800,0.02944,0.851,0.001
6.20,11.900,0.02957,0.853,0.001
6.23,12.000,0.02973,0.856,0.001
6.24,12.100,0.02990,0.859,0.001
6.28,12.200,0.03007,0.863,0.001
6.30,12.300,0.03023,0.866,0.001
6.33,12.400,0.03040,0.870,0.001
6.34,12.500,0.03057,0.872,0.001
6.37,12.600,0.03073,0.876,0.001
6.40,12.700,0.03090,0.881,0.001
6.43,12.800,0.03111,0.884,0.001
6.46,12.900,0.03127,0.889,0.001
6.48,13.000,0.03148,0.891,0.001
6.50,13.100,0.03165,0.894,0.001
6.54,13.200,0.03185,0.899,0.001
6.56,13.300,0.03206,0.902,0.001
6.58,13.400,0.03227,0.905,0.001
6.63,13.500,0.03248,0.912,0.001
6.64,13.600,0.03269,0.914,0.001
6.68,13.700,0.03289,0.919,0.001
6.70,13.800,0.03310,0.921,0.001
6.74,13.900,0.03331,0.927,0.001
6.78,14.000,0.03352,0.933,0.001
6.80,14.100,0.03372,0.935,0.001
6.82,14.200,0.03393,0.939,0.001
6.85,14.300,0.03414,0.942,0.001
6.87,14.400,0.03431,0.944,0.001
6.90,14.500,0.03451,0.949,0.001
6.91,14.600,0.03468,0.951,0.001
6.93,14.700,0.03485,0.953,0.001
6.93,14.800,0.03501,0.954,0.001
6.97,14.900,0.03518,0.959,0.001
6.98,15.000,0.03530,0.961,0.001
7.02,15.100,0.03547,0.965,0.001
7.04,15.200,0.03564,0.968,0.001
7.05,15.300,0.03576,0.969,0.001
7.06,15.400,0.03593,0.972,0.001
7.07,15.500,0.03605,0.972,0.001
7.09,15.600,0.03622,0.975,0.001
7.10,15.700,0.03634,0.977,0.001
7.13,15.800,0.03647,0.980,0.001
7.15,15.900,0.03659,0.983,0.001
7.17,16.000,0.03676,0.987,0.001
7.18,16.100,0.03688,0.988,0.001
7.21,16.200,0.03705,0.992,0.001
7.22,16.300,0.03717,0.993,0.001
7.26,16.400,0.03734,0.999,0.001
7.27,16.500,0.03746,1.000,0.001
7.28,16.600,0.03763,1.001,0.001
7.31,16.700,0.03780,1.006,0.001
7.35,16.800,0.03792,1.011,0.001
7.36,16.900,0.03809,1.012,0.001
7.37,17.000,0.03825,1.014,0.001
7.40,17.100,0.03838,1.018,0.001
7.42,17.200,0.03854,1.020,0.001
7.42,17.300,0.03871,1.020,0.001
7.47,17.400,0.03884,1.027,0.001
7.46,17.500,0.03900,1.027,0.001
7.49,17.600,0.03917,1.030,0.001
7.50,17.700,0.03933,1.031,0.001
7.52,17.800,0.03950,1.034,0.001
7.55,17.900,0.03963,1.038,0.001
7.57,18.000,0.03979,1.041,0.001
7.59,18.100,0.03996,1.044,0.001
7.61,18.200,0.04012,1.046,0.001
7.62,18.300,0.04033,1.049,0.001
7.66,18.400,0.04050,1.054,0.001
7.68,18.500,0.04071,1.057,0.001
7.71,18.600,0.04087,1.061,0.001
7.74,18.700,0.04108,1.064,0.001
7.77,18.800,0.04129,1.069,0.001
7.80,18.900,0.04150,1.073,0.001
7.84,19.000,0.04170,1.078,0.001
7.87,19.100,0.04191,1.083,0.001
7.90,19.200,0.04216,1.087,0.001
7.95,19.300,0.04237,1.094,0.001
7.98,19.400,0.04258,1.097,0.001
8.00,19.500,0.04278,1.101,0.001
8.05,19.600,0.04299,1.107,0.001
8.07,19.700,0.04320,1.110,0.001
8.11,19.800,0.04337,1.116,0.001
8.15,19.900,0.04357,1.121,0.001
8.18,20.000,0.04378,1.125,0.001
8.20,20.100,0.04395,1.128,0.001
8.22,20.200,0.04411,1.131,0.001
8.26,20.300,0.04428,1.136,0.001
8.29,20.400,0.04445,1.141,0.001
8.30,20.500,0.04461,1.142,0.001
8.34,20.600,0.04474,1.147,0.001
8.37,20.700,0.04490,1.151,0.001
8.39,20.800,0.04507,1.154,0.001
8.41,20.900,0.04519,1.157,0.001
8.43,21.000,0.04532,1.160,0.001
8.45,21.100,0.04548,1.163,0.001
8.48,21.200,0.04561,1.166,0.001
